Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
29,66,96,+1:18:13,,99.0,Patten Daniel,96,Team Wiggins,1:18:13 1:18:13,+0:49,,\u25b23,8,2016
24,128,97,+1:18:29,,100.0,Putt Tanner,97,UnitedHealthcare Pro Cycling Team,1:18:29 1:18:29,+1:00,,\u25b23,8,2016
28,115,98,+1:19:08,,98.0,van Winden Dennis,98,Team LottoNL-Jumbo,1:19:08 1:19:08,+1:51,,-,8,2016
22,111,99,+1:19:22,,101.0,Groenewegen Dylan,99,Team LottoNL-Jumbo,1:19:22 1:19:22,+0:00,,\u25b22,8,2016
33,117,100,+1:20:31,,103.0,Wagner Robert,100,Team LottoNL-Jumbo,1:20:31 1:20:31,+0:25,,\u25b23,8,2016
26,3,101,+1:20:51,,104.0,Blythe Adam,101,Tinkoff,1:20:51 1:20:51,+0:35,,\u25b23,8,2016
22,166,102,+1:22:34,,106.0,Planet Charles,102,Team Novo Nordisk,1:22:34 1:22:34,+0:40,,\u25b24,8,2016
22,148,103,+1:22:57,,102.0,Wolfe Ben,103,Jelly Belly p/b Maxxis,1:22:57 1:22:57,+3:28,,\u25bc1,8,2016
29,53,104,+1:23:09,,109.0,Drucker Jean-Pierre,104,BMC Racing Team,1:23:09 1:23:09,+0:00,,\u25b25,8,2016
27,106,105,+1:23:24,,111.0,Sinkeldam Ramon,105,Team Giant - Alpecin,1:23:24 1:23:24,+0:05,,\u25b26,8,2016
21,68,106,+1:23:52,,105.0,Thompson Michael,106,Team Wiggins,1:23:52 1:23:52,+2:18,,\u25bc1,8,2016
36,103,107,+1:24:33,,110.0,Curvers Roy,107,Team Giant - Alpecin,1:24:33 1:24:33,+1:17,,\u25b23,8,2016
27,82,108,+1:25:43,,107.0,Arredondo Juli\xe1n David,108,Trek - Segafredo,1:25:43 1:25:43,+3:03,,\u25bc1,8,2016
27,165,109,+1:25:46,,113.0,Peron Andrea,109,Team Novo Nordisk,1:25:46 1:25:46,+1:28,,\u25b24,8,2016
25,175,110,+1:26:12,,115.0,Naud Pierrick,110,Rally Cycling,1:26:12 1:26:12,+0:05,,\u25b25,8,2016
32,178,111,+1:26:18,,108.0,Routley Will,111,Rally Cycling,1:26:18 1:26:18,+3:28,,\u25bc3,8,2016
29,67,112,+1:26:51,,112.0,Tennant Andrew,112,Team Wiggins,1:26:51 1:26:51,+3:03,,-,8,2016
22,144,113,+1:26:51,,114.0,Putt Christopher,113,Jelly Belly p/b Maxxis,",, 1:26:51",+2:16,,\u25b21,8,2016
27,152,114,+1:28:02,,117.0,Clark Oscar,114,Holowesko-Citadel Racing Team,1:28:02 1:28:02,+1:00,,\u25b23,8,2016
30,8,115,+1:28:05,,116.0,Trusov Nikolay,115,Tinkoff,1:28:05 1:28:05,+1:28,,\u25b21,8,2016
25,22,116,+1:29:50,,118.0,Fenn Andrew,116,Team Sky,1:29:50 1:29:50,+1:23,,\u25b22,8,2016
30,44,117,+1:30:37,,119.0,Isaychev Vladimir,117,Team Katusha,1:30:37 1:30:37,+1:28,,\u25b22,8,2016
31,31,118,+1:31:38,,126.0,Cavendish Mark,118,Team Dimension Data,1:31:38 1:31:38,+-1:50,,\u25b28,8,2016
21,64,119,+1:32:48,,123.0,Kelly Jake,119,Team Wiggins,1:32:48 1:32:48,+1:17,,\u25b24,8,2016
33,37,120,+1:33:12,,124.0,Renshaw Mark,120,Team Dimension Data,1:33:12 1:33:12,+1:36,,\u25b24,8,2016
36,61,121,+1:33:38,,121.0,Wiggins Bradley,121,Team Wiggins,1:33:38 1:33:38,+3:01,,-,8,2016
31,34,122,+1:34:00,,125.0,Farrar Tyler,122,Team Dimension Data,1:34:00 1:34:00,+2:18,,\u25b23,8,2016
30,32,123,+1:34:28,,127.0,Brammeier Matthew,123,Team Dimension Data,1:34:28 1:34:28,+2:18,,\u25b24,8,2016
31,167,124,+1:34:38,,122.0,Verschoor Martijn,124,Team Novo Nordisk,1:34:38 1:34:38,+3:50,,\u25bc2,8,2016
31,127,125,+1:34:57,,130.0,Murphy John,125,UnitedHealthcare Pro Cycling Team,1:34:57 1:34:57,+0:05,,\u25b25,8,2016
31,4,126,+1:35:43,,120.0,Gatto Oscar,126,Tinkoff,1:35:43 1:35:43,+5:36,,\u25bc6,8,2016
35,33,127,+1:36:40,,128.0,Eisel Bernhard,127,Team Dimension Data,1:36:40 1:36:40,+3:03,,\u25b21,8,2016
34,168,128,+1:38:22,,129.0,Williams Christopher,128,Team Novo Nordisk,1:38:22 1:38:22,+3:50,,\u25b21,8,2016
22,65,129,+1:39:23,,132.0,Latham Christopher,129,Team Wiggins,1:39:23 1:39:23,+1:28,,\u25b23,8,2016
23,6,130,+1:40:26,,131.0,Kol\xe1\u0159 Michael,130,Tinkoff,1:40:26 1:40:26,+2:40,,\u25b21,8,2016
22,2,131,+1:44:56,,133.0,Ba\u0161ka Erik,131,Tinkoff,1:44:56 1:44:56,+1:39,,\u25b22,8,2016
