BIB,GC,GC-Time,Prev,Rnk,Team,Time,\u25bc\u25b2,stage,year
,,+ - 22:44:24,8.0,10,Champion System Pro Cycling Team,34:30 34:30,\u25bc2,6,2013
,,+ - 22:44:24,11.0,11,Optum p/b Kelly Benefit Strategies,35:12 35:12,-,6,2013
,,+ - 22:44:24,12.0,12,Team Saxo - Tinkoff,37:39 37:39,-,6,2013
,,+ - 22:44:24,15.0,13,Vacansoleil - DCM,39:21 39:21,\u25b22,6,2013
,,+ - 22:44:24,13.0,14,Jamis - Hagens Berman,44:34 44:34,\u25bc1,6,2013
,,+ - 22:44:24,14.0,15,Bissell Pro Cycling,44:53 44:53,\u25bc1,6,2013
,,+ - 22:44:24,16.0,16,Omega Pharma - Quick-Step,47:15 47:15,-,6,2013
,,+ - 26:38:53,1.0,1,BMC Racing Team,80:09:16 80:09:16,-,7,2013
,,+ - 26:38:53,3.0,2,RadioShack - Leopard,8:09 8:09,\u25b21,7,2013
,,+ - 26:38:53,4.0,3,UnitedHealthcare Presented by Maxxis,12:02 12:02,\u25b21,7,2013
,,+ - 26:38:53,2.0,4,5-hour Energy,13:08 13:08,\u25bc2,7,2013
,,+ - 26:38:53,5.0,5,Team NetApp \u2013 Endura,14:43 14:43,-,7,2013
,,+ - 26:38:53,6.0,6,Bontrager Cycling Team,26:10 26:10,-,7,2013
,,+ - 26:38:53,7.0,7,Garmin Sharp,35:14 35:14,-,7,2013
,,+ - 26:38:53,10.0,8,Champion System Pro Cycling Team,40:06 40:06,\u25b22,7,2013
,,+ - 26:38:53,8.0,9,Orica GreenEDGE,43:51 43:51,\u25bc1,7,2013
,,+ - 26:38:53,12.0,10,Team Saxo - Tinkoff,44:47 44:47,\u25b22,7,2013
,,+ - 26:38:53,13.0,11,Vacansoleil - DCM,45:51 45:51,\u25b22,7,2013
,,+ - 26:38:53,9.0,12,Cannondale Pro Cycling Team,49:17 49:17,\u25bc3,7,2013
,,+ - 26:38:53,16.0,13,Omega Pharma - Quick-Step,53:38 53:38,\u25b23,7,2013
,,+ - 26:38:53,11.0,14,Optum p/b Kelly Benefit Strategies,58:56 58:56,\u25bc3,7,2013
,,+ - 26:38:53,15.0,15,Bissell Pro Cycling,1:00:55 1:00:55,-,7,2013
,,+ - 26:38:53,14.0,16,Jamis - Hagens Berman,1:12:58 1:12:58,\u25bc2,7,2013
,,+ - 29:43:00,1.0,1,BMC Racing Team,89:21:37 89:21:37,-,8,2013
,,+ - 29:43:00,2.0,2,RadioShack - Leopard,8:09 8:09,-,8,2013
,,+ - 29:43:00,3.0,3,UnitedHealthcare Presented by Maxxis,12:02 12:02,-,8,2013
,,+ - 29:43:00,4.0,4,5-hour Energy,13:24 13:24,-,8,2013
,,+ - 29:43:00,5.0,5,Team NetApp \u2013 Endura,14:43 14:43,-,8,2013
,,+ - 29:43:00,6.0,6,Bontrager Cycling Team,26:10 26:10,-,8,2013
,,+ - 29:43:00,7.0,7,Garmin Sharp,36:00 36:00,-,8,2013
,,+ - 29:43:00,8.0,8,Champion System Pro Cycling Team,40:25 40:25,-,8,2013
,,+ - 29:43:00,9.0,9,Orica GreenEDGE,43:51 43:51,-,8,2013
,,+ - 29:43:00,10.0,10,Team Saxo - Tinkoff,45:14 45:14,-,8,2013
,,+ - 29:43:00,11.0,11,Vacansoleil - DCM,45:51 45:51,-,8,2013
,,+ - 29:43:00,12.0,12,Cannondale Pro Cycling Team,49:36 49:36,-,8,2013
,,+ - 29:43:00,13.0,13,Omega Pharma - Quick-Step,53:38 53:38,-,8,2013
,,+ - 29:43:00,14.0,14,Optum p/b Kelly Benefit Strategies,58:56 58:56,-,8,2013
,,+ - 29:43:00,15.0,15,Bissell Pro Cycling,1:00:55 1:00:55,-,8,2013
,,+ - 29:43:00,16.0,16,Jamis - Hagens Berman,1:12:58 1:12:58,-,8,2013
