Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
31,213,7,21.0,Feillu Brice,24,Fortuneo - Oscaro,,\u25bc3,13,2017
30,188,6,23.0,Uran Rigoberto,25,Cannondale-Drapac Pro Cycling Team,,\u25bc2,13,2017
24,201,6,25.0,Martin Guillaume,26,Wanty - Groupe Gobert,,\u25bc1,13,2017
28,38,6,24.0,Pantano Jarlinson,27,Trek - Segafredo,,\u25bc3,13,2017
33,96,5,26.0,Pauwels Serge,28,Team Dimension Data,,\u25bc2,13,2017
27,69,4,28.0,Ulissi Diego,29,UAE Team Emirates,,\u25bc1,13,2017
33,46,4,27.0,Roche Nicolas,30,BMC Racing Team,,\u25bc3,13,2017
33,157,4,29.0,Navarro Daniel,31,"Cofidis, Solutions Cr\xe9dits",,\u25bc2,13,2017
26,184,3,30.0,Brown Nathan,32,Cannondale-Drapac Pro Cycling Team,,\u25bc2,13,2017
26,139,3,31.0,Wellens Tim,33,Lotto Soudal,,\u25bc2,13,2017
22,214,2,34.0,Gesbert Elie,34,Fortuneo - Oscaro,,-,13,2017
27,186,2,32.0,Phinney Taylor,35,Cannondale-Drapac Pro Cycling Team,,\u25bc3,13,2017
33,177,2,33.0,Quemeneur Perrig,36,Direct Energie,,\u25bc3,13,2017
23,128,2,35.0,Politt Nils,37,Team Katusha - Alpecin,,\u25bc2,13,2017
26,27,2,37.0,Herrada Jes\xfas,38,Movistar Team,,\u25bc1,13,2017
34,32,2,36.0,de Kort Koen,39,Trek - Segafredo,,\u25bc3,13,2017
29,178,2,,Sicard Romain,40,Direct Energie,,-,13,2017
30,212,1,40.0,Bouet Maxime,41,Fortuneo - Oscaro,,\u25bc1,13,2017
27,202,1,39.0,Backaert Frederik,42,Wanty - Groupe Gobert,,\u25bc3,13,2017
26,208,1,38.0,van Keirsbulck Guillaume,43,Wanty - Groupe Gobert,,\u25bc5,13,2017
24,89,1,41.0,Yates Simon,44,ORICA-Scott,,\u25bc3,13,2017
27,24,1,,Betancur Carlos,45,Movistar Team,,-,13,2017
32,48,1,45.0,Van Avermaet Greg,46,BMC Racing Team,,\u25bc1,13,2017
24,57,1,43.0,Lutsenko Alexey,47,Astana Pro Team,,\u25bc4,13,2017
30,216,1,44.0,Perichon Pierre-Luc,48,Fortuneo - Oscaro,,\u25bc4,13,2017
33,26,1,42.0,Erviti Imanol,49,Movistar Team,,\u25bc7,13,2017
25,143,94,1.0,Barguil Warren,1,Team Sunweb,,-,14,2017
30,134,36,3.0,De Gendt Thomas,2,Lotto Soudal,,\u25b21,14,2017
27,6,33,2.0,Landa Mikel,3,Team Sky,,\u25bc1,14,2017
27,166,30,4.0,Roglic Primoz,4,Team LottoNL-Jumbo,,-,14,2017
29,19,28,5.0,Vuillermoz Alexis,5,AG2R La Mondiale,,-,14,2017
32,1,25,6.0,Froome Christopher,6,Team Sky,,-,14,2017
30,105,23,7.0,Martin Daniel,7,Quick-Step Floors,,-,14,2017
27,51,22,8.0,Aru Fabio,8,Astana Pro Team,,-,14,2017
34,31,22,9.0,Contador Alberto,9,Trek - Segafredo,,-,14,2017
36,93,20,10.0,Cummings Stephen,10,Team Dimension Data,,-,14,2017
30,37,18,11.0,Mollema Bauke,11,Trek - Segafredo,,-,14,2017
27,78,17,12.0,Pinot Thibaut,12,FDJ,,-,14,2017
33,7,16,13.0,Nieve Mikel,13,Team Sky,,-,14,2017
26,141,16,14.0,Matthews Michael,14,Team Sunweb,,-,14,2017
26,11,15,15.0,Bardet Romain,15,AG2R La Mondiale,,-,14,2017
23,133,15,16.0,Benoot Tiesj,16,Lotto Soudal,,-,14,2017
29,16,14,17.0,Gautier Cyril,17,AG2R La Mondiale,,-,14,2017
24,173,11,18.0,Calmejane Lilian,18,Direct Energie,,-,14,2017
31,43,10,19.0,De Marchi Alessandro,19,BMC Racing Team,,-,14,2017
31,12,10,20.0,Bakelants Jan,20,AG2R La Mondiale,,-,14,2017
27,5,10,21.0,Kwiatkowski Michal,21,Team Sky,,-,14,2017
27,21,8,22.0,Quintana Nairo,22,Movistar Team,,-,14,2017
31,213,7,24.0,Feillu Brice,23,Fortuneo - Oscaro,,\u25b21,14,2017
31,159,7,23.0,Simon Julien,24,"Cofidis, Solutions Cr\xe9dits",,\u25bc1,14,2017
30,188,6,25.0,Uran Rigoberto,25,Cannondale-Drapac Pro Cycling Team,,-,14,2017
24,201,6,26.0,Martin Guillaume,26,Wanty - Groupe Gobert,,-,14,2017
28,38,6,27.0,Pantano Jarlinson,27,Trek - Segafredo,,-,14,2017
33,96,5,28.0,Pauwels Serge,28,Team Dimension Data,,-,14,2017
33,157,4,31.0,Navarro Daniel,29,"Cofidis, Solutions Cr\xe9dits",,\u25b22,14,2017
33,46,4,30.0,Roche Nicolas,30,BMC Racing Team,,-,14,2017
28,69,4,29.0,Ulissi Diego,31,UAE Team Emirates,,\u25bc2,14,2017
26,184,3,32.0,Brown Nathan,32,Cannondale-Drapac Pro Cycling Team,,-,14,2017
26,139,3,33.0,Wellens Tim,33,Lotto Soudal,,-,14,2017
33,177,2,36.0,Quemeneur Perrig,34,Direct Energie,,\u25b22,14,2017
22,214,2,34.0,Gesbert Elie,35,Fortuneo - Oscaro,,\u25bc1,14,2017
27,186,2,35.0,Phinney Taylor,36,Cannondale-Drapac Pro Cycling Team,,\u25bc1,14,2017
23,128,2,37.0,Politt Nils,37,Team Katusha - Alpecin,,-,14,2017
