Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
32,181,,,65.0,3,McEwen Robbie,2,Lotto - Domo,,\u25b21,2,2004
34,145,,,55.0,2,Kirsipuu Jaan,3,AG2R Pr\xe9voyance,,\u25bc1,2,2004
30,83,,,48.0,4,Hondo Danilo,4,Gerolsteiner,,-,2,2004
27,147,,,48.0,6,Nazon Jean-Patrick,5,AG2R Pr\xe9voyance,,\u25b21,2,2004
33,19,,,36.0,10,Zabel Erik,6,T-Mobile Team,,\u25b24,2,2004
30,41,,,36.0,9,Petacchi Alessandro,7,Fassa Bortolo,,\u25b22,2,2004
25,163,,,31.0,7,Cooke Baden,8,Fdjeux.com,,\u25bc1,2,2004
30,91,,,28.0,25,O'Grady Stuart,9,Cofidis,,\u25b216,2,2004
23,43,,,23.0,5,Cancellara Fabian,10,Fassa Bortolo,,\u25bc5,2,2004
24,126,,,23.0,15,Pineau J\xe9rome,11,Brioches La Boulang\xe8re,,\u25b24,2,2004
25,205,,,23.0,18,Calzati Sylvain,12,R.a.g.t Semence - Mg Rover,,\u25b26,2,2004
29,62,,,19.0,8,Arvesen Kurt-Asle,13,CSC ProTeam,,\u25bc5,2,2004
24,95,,,18.0,12,Engoulvent Jimmy,14,Cofidis,,\u25bc2,2,2004
34,189,,,18.0,29,Vierhouten Aart,15,Lotto - Domo,,\u25b214,2,2004
29,175,,,17.0,,Glomser Gerrit,16,Saeco,,-,2,2004
23,103,,,16.0,33,Boonen Tom,17,Quickstep - Davitamon,,\u25b216,2,2004
37,191,,,16.0,,Cipollini Mario,18,Domina Vacanze,,-,2,2004
23,113,,,16.0,11,Davis Allan,19,Liberty Seguros,,\u25bc8,2,2004
30,89,,,15.0,,Wrolich Peter,20,Gerolsteiner,,-,2,2004
30,25,,,14.0,13,Gutierrez Jose Enrique,21,Phonak Hearing Systems,,\u25bc8,2,2004
26,93,,,14.0,14,Casper Jimmy,22,Cofidis,,\u25bc8,2,2004
24,94,,,12.0,,Edaleine Christophe,23,Cofidis,,-,2,2004
32,1,,,,16*,Armstrong Lance,24*,US Postal Service,,-,2,2004
26,72,,,12.0,22,Becke Daniel,25,Illes Balears - Banesto,,\u25bc3,2,2004
36,141,,,12.0,27,Brochard Laurent,26,AG2R Pr\xe9voyance,,\u25b21,2,2004
24,194,,,12.0,17,Marinangeli Sergio,27,Domina Vacanze,,\u25bc10,2,2004
