Age,BIB,GC,GC-Time,Rider,Rnk,Team,Time,Time won/lost,UCI,stage,year
32,145,71.0,+0:50,Kochetkov Pavel,71,Team Katusha - Alpecin,0:50 0:50,+0:50,,1,2018
27,122,72.0,+0:52,Fraile Omar,72,Astana Pro Team,0:52 0:52,+0:52,,1,2018
28,138,73.0,+0:52,Vermote Julien,73,Team Dimension Data,",, 0:52",+0:52,,1,2018
25,126,74.0,+0:52,Cort Nielsen Magnus,74,Astana Pro Team,",, 0:52",+0:52,,1,2018
33,48,75.0,+0:52,Vachon Florian,75,Team Fortuneo - Samsic,",, 0:52",+0:52,,1,2018
35,113,76.0,+0:52,Burghardt Marcus,76,BORA - hansgrohe,",, 0:52",+0:52,,1,2018
33,112,77.0,+0:52,Bodnar Maciej,77,BORA - hansgrohe,",, 0:52",+0:52,,1,2018
36,46,78.0,+0:52,Moinard Ama\xebl,78,Team Fortuneo - Samsic,",, 0:52",+0:52,,1,2018
26,118,79.0,+0:52,P\xf6stlberger Lukas,79,BORA - hansgrohe,",, 0:52",+0:52,,1,2018
24,195,80.0,+0:52,Gogl Michael,80,Trek - Segafredo,",, 0:52",+0:52,,1,2018
31,12,81.0,+0:52,Clarke Simon,81,Team EF Education First-Drapac p/b Cannondale,",, 0:52",+0:52,,1,2018
34,96,82.0,+0:52,Marcato Marco,82,UAE-Team Emirates,",, 0:52",+0:52,,1,2018
33,81,83.0,+1:01,Porte Richie,83,BMC Racing Team,1:01 1:01,+1:01,,1,2018
25,61,84.0,+1:01,Yates Adam,84,Mitchelton-Scott,",, 1:01",+1:01,,1,2018
31,16,85.0,+1:01,Rolland Pierre,85,Team EF Education First-Drapac p/b Cannondale,",, 1:01",+1:01,,1,2018
29,158,86.0,+1:01,Vichot Arthur,86,Groupama - FDJ,",, 1:01",+1:01,,1,2018
29,214,87.0,+1:01,Minnaard Marco,87,Wanty - Groupe Gobert,",, 1:01",+1:01,,1,2018
29,55,88.0,+1:01,Izagirre Ion,88,Bahrain Merida Pro Cycling Team,",, 1:01",+1:01,,1,2018
24,168,89.0,+1:01,Tolhoek Antwan,89,Team LottoNL-Jumbo,",, 1:01",+1:01,,1,2018
35,193,90.0,+1:01,de Kort Koen,90,Trek - Segafredo,",, 1:01",+1:01,,1,2018
33,1,91.0,+1:01,Froome Christopher,91,Team Sky,",, 1:01",+1:01,,1,2018
26,192,92.0,+1:01,Bernard Julien,92,Trek - Segafredo,",, 1:01",+1:01,,1,2018
37,37,93.0,+1:01,ten Dam Laurens,93,Team Sunweb,",, 1:01",+1:01,,1,2018
35,58,94.0,+1:01,Pozzovivo Domenico,94,Bahrain Merida Pro Cycling Team,",, 1:01",+1:01,,1,2018
31,188,95.0,+1:01,Taaram\xe4e Rein,95,Direct Energie,",, 1:01",+1:01,,1,2018
31,143,96.0,+1:01,Ki\u0161erlovski Robert,96,Team Katusha - Alpecin,",, 1:01",+1:01,,1,2018
31,125,97.0,+1:01,Kangert Tanel,97,Astana Pro Team,",, 1:01",+1:01,,1,2018
30,92,98.0,+1:01,Atapuma John Darwin,98,UAE-Team Emirates,",, 1:01",+1:01,,1,2018
30,93,99.0,+1:01,Durasek Kristijan,99,UAE-Team Emirates,",, 1:01",+1:01,,1,2018
31,42,100.0,+1:01,Bouet Maxime,100,Team Fortuneo - Samsic,",, 1:01",+1:01,,1,2018
30,203,101.0,+1:01,Edet Nicolas,101,"Cofidis, Solutions Cr\xe9dits",",, 1:01",+1:01,,1,2018
33,67,102.0,+1:01,Impey Daryl,102,Mitchelton-Scott,",, 1:01",+1:01,,1,2018
25,211,103.0,+1:01,Martin Guillaume,103,Wanty - Groupe Gobert,",, 1:01",+1:01,,1,2018
35,94,104.0,+1:12,Ferrari Roberto,104,UAE-Team Emirates,1:12 1:12,+1:12,,1,2018
34,134,105.0,+1:14,Pauwels Serge,105,Team Dimension Data,1:14 1:14,+1:14,,1,2018
35,135,106.0,+1:14,Renshaw Mark,106,Team Dimension Data,",, 1:14",+1:14,,1,2018
31,24,107.0,+1:14,Frank Mathias,107,AG2R La Mondiale,",, 1:14",+1:14,,1,2018
32,212,108.0,+1:22,Degand Thomas,108,Wanty - Groupe Gobert,1:22 1:22,+1:22,,1,2018
30,187,109.0,+1:22,Sicard Romain,109,Direct Energie,",, 1:22",+1:22,,1,2018
34,68,110.0,+1:24,Nieve Mikel,110,Mitchelton-Scott,1:24 1:24,+1:24,,1,2018
31,72,111.0,+1:25,Amador Andrey,111,Movistar Team,1:25 1:25,+1:25,,1,2018
28,71,112.0,+1:25,Quintana Nairo,112,Movistar Team,",, 1:25",+1:25,,1,2018
21,2,113.0,+1:25,Bernal Egan Arley,113,Team Sky,",, 1:25",+1:25,,1,2018
29,184,114.0,+1:25,Cousin J\xe9r\xf4me,114,Direct Energie,",, 1:25",+1:25,,1,2018
37,73,115.0,+1:27,Bennati Daniele,115,Movistar Team,1:27 1:27,+1:27,,1,2018
27,218,116.0,+1:28,van Keirsbulck Guillaume,116,Wanty - Groupe Gobert,1:28 1:28,+1:28,,1,2018
26,33,117.0,+1:28,Arndt Nikias,117,Team Sunweb,",, 1:28",+1:28,,1,2018
34,165,118.0,+1:28,Martens Paul,118,Team LottoNL-Jumbo,",, 1:28",+1:28,,1,2018
24,164,119.0,+1:28,Jansen Amund Grondahl,119,Team LottoNL-Jumbo,",, 1:28",+1:28,,1,2018
32,34,120.0,+1:32,Geschke Simon,120,Team Sunweb,1:32 1:32,+1:32,,1,2018
31,202,121.0,+1:32,Claeys Dimitri,121,"Cofidis, Solutions Cr\xe9dits",",, 1:32",+1:32,,1,2018
31,86,122.0,+1:37,Schar Michael,122,BMC Racing Team,1:37 1:37,+1:37,,1,2018
23,43,123.0,+1:37,Gesbert Elie,123,Team Fortuneo - Samsic,",, 1:37",+1:37,,1,2018
24,115,124.0,+1:40,M\xfchlberger Gregor,124,BORA - hansgrohe,1:40 1:40,+1:40,,1,2018
30,153,125.0,+1:40,Guarnieri Jacopo,125,Groupama - FDJ,",, 1:40",+1:40,,1,2018
29,35,126.0,+1:40,Haga Chad,126,Team Sunweb,",, 1:40",+1:40,,1,2018
24,5,127.0,+1:48,Moscon Gianni,127,Team Sky,1:48 1:48,+1:48,,1,2018
34,74,128.0,+2:02,Erviti Imanol,128,Movistar Team,2:02 2:02,+2:02,,1,2018
33,146,129.0,+2:10,Martin Tony,129,Team Katusha - Alpecin,2:10 2:10,+2:10,,1,2018
24,26,130.0,+2:21,Latour Pierre,130,AG2R La Mondiale,2:21 2:21,+2:21,,1,2018
31,174,131.0,+2:26,De Gendt Thomas,131,Lotto Soudal,2:26 2:26,+2:26,,1,2018
30,28,132.0,+2:26,Vuillermoz Alexis,132,AG2R La Mondiale,",, 2:26",+2:26,,1,2018
22,14,133.0,+2:29,Martinez Daniel Felipe,133,Team EF Education First-Drapac p/b Cannondale,2:29 2:29,+2:29,,1,2018
