Age,Avg,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
27,,47,62,+9:49,,58,Petacchi Alessandro,62,Fassa Bortolo,9:49 9:49,+4:01,\u25bc4,5,2001
28,,94,63,+10:39,,61,Garcia Jose Vicente,63,Ibanesto.com,10:39 10:39,+4:38,\u25bc2,5,2001
26,,138,64,+10:46,,68,S\xf8rensen Nicki,64,CSC ProTeam - Tiscali,10:46 10:46,+3:01,\u25b24,5,2001
32,,187,65,+11:10,,63,Mengin Christophe,65,La Fran\xe7aise des Jeux,11:10 11:10,+5:00,\u25bc2,5,2001
27,,163,66,+11:25,,71,Bouyer Franck,66,Bonjour,11:25 11:25,+3:09,\u25b25,5,2001
29,,68,67,+12:35,,66,Van Hyfte Paul,67,Lotto - Adecco,12:35 12:35,+5:14,\u25bc1,5,2001
24,,176,68,+12:55,,64,Hunter Robert,68,Lampre - Daikin,12:55 12:55,+5:58,\u25bc4,5,2001
28,,6,69,+12:58,,72,Kjaergaard Steffen,69,US Postal Service,12:58 12:58,+2:11,\u25b23,5,2001
23,,209,70,+13:06,,62,Talabardon S\xe9bastien,70,BigMat - Auber 93,13:06 13:06,+7:00,\u25bc8,5,2001
29,,48,71,+13:39,,70,Pozzi Oscar,71,Fassa Bortolo,13:39 13:39,+5:38,\u25bc1,5,2001
27,,56,72,+14:22,,77,Lotz Marc,72,Rabobank ProTeam,14:22 14:22,+2:03,\u25b25,5,2001
27,,158,73,+14:23,,78,Tauler Toni,73,Kelme - Costa Blanca,14:23 14:23,+1:38,\u25b25,5,2001
35,,3,74,+14:36,,74,Ekimov Viatcheslav,74,US Postal Service,14:36 14:36,+2:46,-,5,2001
29,,184,75,+14:40,,67,Guesdon Fr\xe9d\xe9ric,75,La Fran\xe7aise des Jeux,14:40 14:40,+7:00,\u25bc8,5,2001
22,,164,76,+14:47,,73,Chavanel Sylvain,76,Bonjour,14:47 14:47,+3:09,\u25bc3,5,2001
26,,52,77,+14:50,,75,de Groot Bram,77,Rabobank ProTeam,14:50 14:50,+2:53,\u25bc2,5,2001
32,,89,78,+15:11,,76,Zanini Stefano,78,Mapei - Quickstep,15:11 15:11,+2:58,\u25bc2,5,2001
27,,197,79,+17:14,,79,Rodriguez Fred,79,Domo - Farm Frites,17:14 17:14,+3:48,-,5,2001
25,,79,80,+17:20,,80,Trentin Guido,80,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",17:20 17:20,+2:55,-,5,2001
26,,77,81,+18:11,,82,Moncouti\xe9 David,81,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",18:11 18:11,+2:55,\u25b21,5,2001
30,,133,82,+18:45,,81,Cerezo Francisco,82,CSC ProTeam - Tiscali,18:45 18:45,+3:54,\u25bc1,5,2001
23,,207,83,+19:19,,87,Lamouller Lo\xefc,83,BigMat - Auber 93,19:19 19:19,+2:56,\u25b24,5,2001
31,,143,84,+19:38,,83,Bouvard Gilles,84,Jean Delatour,19:38 19:38,+4:22,\u25bc1,5,2001
29,,102,85,+19:41,,118,Bessy Fr\xe9d\xe9ric,85,Cr\xe9dit Agricole,19:41 19:41,+0:14,\u25b233,5,2001
32,,35,86,+19:56,,102,Garc\xeda Felix Manuel,86,Festina,19:56 19:56,+0:55,\u25b216,5,2001
28,,166,87,+20:11,,85,Perreaudeau Olivier,87,Bonjour,20:11 20:11,+4:36,\u25bc2,5,2001
28,,114,88,+20:16,,84,Del Olmo Txema,88,Euskaltel - Euskadi,20:16 20:16,+4:45,\u25bc4,5,2001
27,,165,89,+20:18,,86,Nazon Damien,89,Bonjour,20:18 20:18,+4:04,\u25bc3,5,2001
26,,154,90,+20:25,,93,Gonzalez Jimenez Aitor,90,Kelme - Costa Blanca,20:25 20:25,+1:38,\u25b23,5,2001
30,,156,91,+20:28,,96,Pascual Javier,91,Kelme - Costa Blanca,20:28 20:28,+1:38,\u25b25,5,2001
34,,36,92,+20:36,,109,Lino Pascal,92,Festina,20:36 20:36,+1:30,\u25b217,5,2001
32,,73,93,+21:49,,98,Cuesta \xcd\xf1igo,93,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",21:49 21:49,+2:55,\u25b25,5,2001
33,,75,94,+21:50,,99,Lelli Massimiliano,94,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",21:50 21:50,+2:55,\u25b25,5,2001
27,,74,95,+21:55,,101,Kivilev Andrei,95,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",21:55 21:55,+2:55,\u25b26,5,2001
27,,83,96,+22:03,,107,Bettini Paolo,96,Mapei - Quickstep,22:03 22:03,+2:58,\u25b211,5,2001
28,,137,97,+22:04,,104,Piil Jakob,97,CSC ProTeam - Tiscali,22:04 22:04,+3:01,\u25b27,5,2001
27,,78,98,+22:09,,113,Rinero Christophe,98,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",22:09 22:09,+2:55,\u25b215,5,2001
29,,76,99,+22:19,,95,Mattan Nico,99,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",22:19 22:19,+3:30,\u25bc4,5,2001
29,,136,100,+22:39,,90,Larsen Nicolai Bo,100,CSC ProTeam - Tiscali,22:39 22:39,+4:18,\u25bc10,5,2001
25,,95,101,+22:57,,111,Jim\xe9nez Eladio,101,Ibanesto.com,22:57 22:57,+3:45,\u25b210,5,2001
33,,42,102,+23:06,,108,Baldato Fabio,102,Fassa Bortolo,23:06 23:06,+4:01,\u25b26,5,2001
31,,19,103,+23:07,,92,Zabel Erik,103,Team Telekom,23:07 23:07,+4:37,\u25bc11,5,2001
36,,174,104,+23:23,,88,Dierckxsens Ludo,104,Lampre - Daikin,23:23 23:23,+5:58,\u25bc16,5,2001
29,,99,105,+23:33,,119,Piepoli Leonardo,105,Ibanesto.com,23:33 23:33,+3:57,\u25b214,5,2001
31,,23,106,+23:38,,89,Gonzalez Alvaro,106,O.N.C.E. - Eroski,23:38 23:38,+5:48,\u25bc17,5,2001
26,,61,107,+23:39,,91,Verbrugghe Rik,107,Lotto - Adecco,23:39 23:39,+5:14,\u25bc16,5,2001
31,,144,108,+23:43,,116,Goubert Stephane,108,Jean Delatour,23:43 23:43,+4:22,\u25b28,5,2001
24,,119,109,+23:49,,105,Zubeldia Haimar,109,Euskaltel - Euskadi,23:49 23:49,+4:45,\u25bc4,5,2001
32,,117,110,+23:53,,110,Laiseka jaio Roberto,110,Euskaltel - Euskadi,23:53 23:53,+4:45,-,5,2001
23,,189,111,+23:55,,97,Vogondy Nicolas,111,La Fran\xe7aise des Jeux,23:55 23:55,+5:02,\u25bc14,5,2001
27,,111,112,+23:59,,112,Etxebarria David,112,Euskaltel - Euskadi,23:59 23:59,+4:45,-,5,2001
29,,118,113,+24:00,,115,Lopez De Munain Alberto,113,Euskaltel - Euskadi,24:00 24:00,+4:45,\u25b22,5,2001
27,,188,114,+24:01,,103,Schnider Daniel,114,La Fran\xe7aise des Jeux,24:01 24:01,+4:58,\u25bc11,5,2001
26,,124,115,+24:07,,114,Botcharov Alexandre,115,AG2R Pr\xe9voyance,24:07 24:07,+4:52,\u25bc1,5,2001
26,,129,116,+24:13,,117,Turpin Ludovic,116,AG2R Pr\xe9voyance,24:13 24:13,+4:52,\u25b21,5,2001
27,,66,117,+24:18,,106,Mikhailov Guennady,117,Lotto - Adecco,24:18 24:18,+5:14,\u25bc11,5,2001
33,,204,118,+24:31,,100,Capelle Christophe,118,BigMat - Auber 93,24:31 24:31,+5:35,\u25bc18,5,2001
28,,108,119,+24:33,,135,Vaughters Jonathan,119,Cr\xe9dit Agricole,24:33 24:33,+0:00,\u25b216,5,2001
31,,206,120,+24:58,,122,Jan Xavier,120,BigMat - Auber 93,24:58 24:58,+2:56,\u25b22,5,2001
29,,112,121,+24:59,,120,Castresana Angel,121,Euskaltel - Euskadi,24:59 24:59,+4:45,\u25bc1,5,2001
27,,103,122,+25:08,,127,Hinault S\xe9bastien,122,Cr\xe9dit Agricole,25:08 25:08,+1:05,\u25b25,5,2001
28,,152,123,+25:44,,130,Rafael Cardenas F\xe9lix,123,Kelme - Costa Blanca,25:44 25:44,+1:38,\u25b27,5,2001
30,,185,124,+25:49,,94,Magnien Emmanuel,124,La Fran\xe7aise des Jeux,25:49 25:49,+7:00,\u25bc30,5,2001
29,,208,125,+26:08,,124,Sivakov Alexei,125,BigMat - Auber 93,26:08 26:08,+2:56,\u25bc1,5,2001
27,,126,126,+26:13,,121,Demarbaix Sebastien,126,AG2R Pr\xe9voyance,26:13 26:13,+5:28,\u25bc5,5,2001
25,,57,127,+26:15,,132,Niermann Grischa,127,Rabobank ProTeam,26:15 26:15,+2:08,\u25b25,5,2001
32,,59,128,+26:20,,134,Wauters Marc,128,Rabobank ProTeam,26:20 26:20,+1:47,\u25b26,5,2001
33,,34,129,+26:20,,137,Chanteur Pascal,129,Festina,",, 26:20",+1:31,\u25b28,5,2001
30,,193,130,+26:31,,123,Knaven Servais,130,Domo - Farm Frites,26:31 26:31,+3:48,\u25bc7,5,2001
28,,132,131,+26:58,,126,Blaudzun Michael,131,CSC ProTeam - Tiscali,26:58 26:58,+3:01,\u25bc5,5,2001
28,,58,132,+27:27,,144,Verheyen Geert,132,Rabobank ProTeam,27:27 27:27,+1:47,\u25b212,5,2001
32,,55,133,+27:27,,145,den Bakker Maarten,133,Rabobank ProTeam,",, 27:27",+1:47,\u25b212,5,2001
27,,167,134,+27:56,,128,Renier Franck,134,Bonjour,27:56 27:56,+3:52,\u25bc6,5,2001
35,,196,135,+28:20,,131,Museeuw Johan,135,Domo - Farm Frites,28:20 28:20,+4:14,\u25bc4,5,2001
29,,46,136,+28:21,,133,Loda Nicola,136,Fassa Bortolo,28:21 28:21,+4:01,\u25bc3,5,2001
26,,72,137,+28:40,,146,Atienza Daniel,137,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",28:40 28:40,+2:55,\u25b29,5,2001
23,,96,138,+29:07,,139,Menchov Denis,138,Ibanesto.com,29:07 29:07,+4:06,\u25b21,5,2001
26,,45,139,+29:34,,142,Ivanov Serguei,139,Fassa Bortolo,29:34 29:34,+4:01,\u25b23,5,2001
23,,104,140,+29:49,,157,Hushovd Thor,140,Cr\xe9dit Agricole,29:49 29:49,+0:00,\u25b217,5,2001
31,,127,141,+29:51,,138,Kirsipuu Jaan,141,AG2R Pr\xe9voyance,29:51 29:51,+4:52,\u25bc3,5,2001
28,,191,142,+29:52,,141,Vainsteins Romans,142,Domo - Farm Frites,29:52 29:52,+4:28,\u25bc1,5,2001
32,,178,143,+30:03,,129,Svorada Jan,143,Lampre - Daikin,30:03 30:03,+5:58,\u25bc14,5,2001
25,,69,144,+30:22,,140,Vermaut Steve,144,Lotto - Adecco,30:22 30:22,+5:14,\u25bc4,5,2001
27,,106,145,+30:26,,125,Morin Anthony,145,Cr\xe9dit Agricole,30:26 30:26,+7:00,\u25bc20,5,2001
25,,172,146,+30:35,,136,Belohvosciks Raivis,146,Lampre - Daikin,30:35 30:35,+5:58,\u25bc10,5,2001
25,,125,147,+30:54,,147,Capelle Ludovic,147,AG2R Pr\xe9voyance,30:54 30:54,+4:52,-,5,2001
28,,147,148,+31:03,,150,Roux Laurent,148,Jean Delatour,31:03 31:03,+4:22,\u25b22,5,2001
28,,115,149,+31:04,,149,Etxebarria Unai,149,Euskaltel - Euskadi,31:04 31:04,+4:45,-,5,2001
33,,179,150,+31:32,,143,Verstrepen Johan,150,Lampre - Daikin,31:32 31:32,+5:58,\u25bc7,5,2001
31,,122,151,+31:45,,148,Agnolutto Christophe,151,AG2R Pr\xe9voyance,31:45 31:45,+5:28,\u25bc3,5,2001
28,,146,152,+32:20,,151,Oriol Christophe,152,Jean Delatour,32:20 32:20,+5:30,\u25bc1,5,2001
28,,135,153,+32:46,,156,Jalabert Nicolas,153,CSC ProTeam - Tiscali,32:46 32:46,+3:01,\u25b23,5,2001
28,,8,154,+32:57,,167,Rubiera Jos\xe9 Luis,154,US Postal Service,32:57 32:57,+1:26,\u25b213,5,2001
25,,186,155,+33:06,,154,McGee Bradley,155,La Fran\xe7aise des Jeux,33:06 33:06,+4:58,\u25bc1,5,2001
26,,175,156,+33:34,,153,Frutti Matteo,156,Lampre - Daikin,33:34 33:34,+5:58,\u25bc3,5,2001
25,,202,157,+33:48,,163,Auger Guillaume,157,BigMat - Auber 93,33:48 33:48,+2:56,\u25b26,5,2001
31,,195,158,+33:54,,159,Milesi Marco,158,Domo - Farm Frites,33:54 33:54,+3:48,\u25b21,5,2001
32,,205,159,+33:55,,161,Gouvenou Thierry,159,BigMat - Auber 93,33:55 33:55,+3:34,\u25b22,5,2001
28,,81,160,+33:58,,164,Nardello Daniele,160,Mapei - Quickstep,33:58 33:58,+2:58,\u25b24,5,2001
29,,192,161,+34:05,,160,Cassani Enrico,161,Domo - Farm Frites,34:05 34:05,+3:48,\u25bc1,5,2001
26,,105,162,+34:06,,152,Jenner Christopher,162,Cr\xe9dit Agricole,34:06 34:06,+7:00,\u25bc10,5,2001
34,,183,163,+34:39,,155,Durand Jacky,163,La Fran\xe7aise des Jeux,34:39 34:39,+4:58,\u25bc8,5,2001
29,,38,164,+35:06,,158,Pretot Arnaud,164,Festina,35:06 35:06,+5:17,\u25bc6,5,2001
29,,142,165,+35:40,,166,Bernard J\xe9r\xf4me,165,Jean Delatour,35:40 35:40,+4:22,\u25b21,5,2001
32,,128,166,+36:45,,165,Maignan Gilles,166,AG2R Pr\xe9voyance,36:45 36:45,+5:28,\u25bc1,5,2001
29,,149,167,+37:11,,168,Trastour Olivier,167,Jean Delatour,37:11 37:11,+4:47,\u25b21,5,2001
30,,203,168,+37:32,,162,Auger Ludovic,168,BigMat - Auber 93,37:32 37:32,+7:00,\u25bc6,5,2001
33,,84,169,+37:48,,172,Bramati Davide,169,Mapei - Quickstep,37:48 37:48,+3:54,\u25b23,5,2001
25,,177,170,+38:31,,169,Pinotti Marco,170,Lampre - Daikin,38:31 38:31,+5:58,\u25bc1,5,2001
30,,85,171,+38:50,,173,Fornaciari Paolo,171,Mapei - Quickstep,38:50 38:50,+4:43,\u25b22,5,2001
23,,182,172,+39:00,,171,Casper Jimmy,172,La Fran\xe7aise des Jeux,39:00 39:00,+5:08,\u25bc1,5,2001
36,,139,173,+39:15,,176,S\xf8rensen Rolf,173,CSC ProTeam - Tiscali,39:15 39:15,+3:04,\u25b23,5,2001
32,,148,174,+39:42,,174,Seigneur Eddy,174,Jean Delatour,39:42 39:42,+5:30,-,5,2001
27,,53,175,+40:50,,170,de Jongh Steven,175,Rabobank ProTeam,40:50 40:50,+7:00,\u25bc5,5,2001
30,,54,176,+40:52,,180,Dekker Erik,176,Rabobank ProTeam,40:52 40:52,+1:47,\u25b24,5,2001
29,,64,177,+41:05,,175,Blijlevens Jeroen,177,Lotto - Adecco,41:05 41:05,+6:24,\u25bc2,5,2001
26,,123,178,+41:48,,177,Berges Stephane,178,AG2R Pr\xe9voyance,41:48 41:48,+5:16,\u25bc1,5,2001
30,,134,179,+42:03,,179,Garcia Marcelino,179,CSC ProTeam - Tiscali,42:03 42:03,+4:18,-,5,2001
22,,173,180,+43:05,,178,Bertogliati Rubens,180,Lampre - Daikin,43:05 43:05,+5:58,\u25bc2,5,2001
28,,198,181,+44:25,,181,van Heeswijk Max,181,Domo - Farm Frites,44:25 44:25,+4:51,-,5,2001
29,,88,182,+44:29,,182,Steels Tom,182,Mapei - Quickstep,44:29 44:29,+4:43,-,5,2001
32,,87,183,+44:51,,183,Leysen Bart,183,Mapei - Quickstep,44:51 44:51,+4:43,-,5,2001
28,,171,184,+46:11,,184,Serpellini Marco,184,Lampre - Daikin,46:11 46:11,+5:58,-,5,2001
24,,71,185,+47:02,,185,Millar David,185,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",47:02 47:02,+4:50,-,5,2001
31,,127,133,+29:31,100.0,,Kirsipuu Jaan,1,AG2R Pr\xe9voyance,4:50:39 4:50:39,,,6,2001
27,,165,85,+20:06,70.0,,Nazon Damien,2,Bonjour,",, ,,",,,6,2001
32,,178,137,+29:55,50.0,,Svorada Jan,3,Lampre - Daikin,",, ,,",,,6,2001
31,,19,101,+23:07,40.0,,Zabel Erik,4,Team Telekom,",, ,,",,,6,2001
27,,107,1,+0:00,32.0,,O'Grady Stuart,5,Cr\xe9dit Agricole,",, ,,",,,6,2001
23,,182,166,+39:00,26.0,,Casper Jimmy,6,La Fran\xe7aise des Jeux,",, ,,",,,6,2001
29,,76,97,+22:19,22.0,,Mattan Nico,7,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",",, ,,",,,6,2001
33,,204,98,+22:31,18.0,,Capelle Christophe,8,BigMat - Auber 93,",, ,,",,,6,2001
29,,208,120,+26:08,14.0,,Sivakov Alexei,9,BigMat - Auber 93,",, ,,",,,6,2001
28,,191,136,+29:52,10.0,,Vainsteins Romans,10,Domo - Farm Frites,",, ,,",,,6,2001
27,,111,109,+23:59,8.0,,Etxebarria David,11,Euskaltel - Euskadi,",, ,,",,,6,2001
30,,203,161,+37:32,6.0,,Auger Ludovic,12,BigMat - Auber 93,",, ,,",,,6,2001
25,,202,153,+33:48,4.0,,Auger Guillaume,13,BigMat - Auber 93,",, ,,",,,6,2001
26,,124,112,+24:07,2.0,,Botcharov Alexandre,14,AG2R Pr\xe9voyance,",, ,,",,,6,2001
32,,205,154,+33:55,1.0,,Gouvenou Thierry,15,BigMat - Auber 93,",, ,,",,,6,2001
32,,169,33,+4:24,,,Simon Fran\xe7ois,16,Bonjour,",, ,,",,,6,2001
26,,45,134,+29:34,,,Ivanov Serguei,17,Fassa Bortolo,",, ,,",,,6,2001
28,,132,125,+26:58,,,Blaudzun Michael,18,CSC ProTeam - Tiscali,",, ,,",,,6,2001
27,,155,18,+2:17,,,Gutierrez Jose Enrique,19,Kelme - Costa Blanca,",, ,,",,,6,2001
27,,47,60,+9:49,,,Petacchi Alessandro,20,Fassa Bortolo,",, ,,",,,6,2001
29,,51,24,+2:47,,,Boogerd Michael,21,Rabobank ProTeam,",, ,,",,,6,2001
27,,197,76,+17:14,,,Rodriguez Fred,22,Domo - Farm Frites,",, ,,",,,6,2001
27,,66,114,+24:18,,,Mikhailov Guennady,23,Lotto - Adecco,",, ,,",,,6,2001
29,,101,3,+0:27,,,Julich Bobby,24,Cr\xe9dit Agricole,",, ,,",,,6,2001
29,,109,2,+0:26,,,Voigt Jens,25,Cr\xe9dit Agricole,",, ,,",,,6,2001
25,,125,142,+30:54,,,Capelle Ludovic,26,AG2R Pr\xe9voyance,",, ,,",,,6,2001
33,,141,46,+4:59,,,Brochard Laurent,27,Jean Delatour,",, ,,",,,6,2001
28,,39,57,+6:51,,,Teutenberg Sven,28,Festina,",, ,,",,,6,2001
26,,154,88,+20:25,,,Gonzalez Jimenez Aitor,29,Kelme - Costa Blanca,",, ,,",,,6,2001
30,,31,8,+1:17,,,Moreau Christophe,30,Festina,",, ,,",,,6,2001
30,,161,30,+3:48,,,Rous Didier,31,Bonjour,",, ,,",,,6,2001
28,,199,40,+4:51,,,Wadecki Piotr,32,Domo - Farm Frites,",, ,,",,,6,2001
29,,112,117,+24:59,,,Castresana Angel,33,Euskaltel - Euskadi,",, ,,",,,6,2001
30,,201,28,+3:44,,,Heulot Stephane,34,BigMat - Auber 93,",, ,,",,,6,2001
27,,11,19,+2:20,,,Ullrich Jan,35,Team Telekom,",, ,,",,,6,2001
27,,37,14,+1:50,,,Perez Luis,36,Festina,",, ,,",,,6,2001
27,,24,4,+0:57,,,Gonzalez De Galdeano Igor,37,O.N.C.E. - Eroski,",, ,,",,,6,2001
24,,157,22,+2:39,,,Sevilla Oscar,38,Kelme - Costa Blanca,",, ,,",,,6,2001
26,,62,53,+6:15,,,Aerts Mario,39,Lotto - Adecco,",, ,,",,,6,2001
27,,21,5,+1:07,,,Beloki Joseba,40,O.N.C.E. - Eroski,",, ,,",,,6,2001
22,,25,9,+1:20,,,Guti\xe9rrez Jos\xe9 Iv\xe1n,41,O.N.C.E. - Eroski,",, ,,",,,6,2001
28,,33,12,+1:33,,,Casero Angel Luis,42,Festina,",, ,,",,,6,2001
33,,34,123,+26:20,,,Chanteur Pascal,43,Festina,",, ,,",,,6,2001
30,,18,39,+4:44,,,Wesemann Steffen,44,Team Telekom,",, ,,",,,6,2001
30,,156,89,+20:28,,,Pascual Javier,45,Kelme - Costa Blanca,",, ,,",,,6,2001
27,,2,21,+2:34,,,Heras Roberto,46,US Postal Service,",, ,,",,,6,2001
29,,1,15*,+1:53,,,Armstrong Lance,47*,US Postal Service,",, ,,",,,6,2001
32,,35,84,+19:56,,,Garc\xeda Felix Manuel,48,Festina,",, ,,",,,6,2001
28,,5,45,+4:57,,,Hincapie George,49,US Postal Service,",, ,,",,,6,2001
26,,27,13,+1:42,,,Pradera Mikel,50,O.N.C.E. - Eroski,",, ,,",,,6,2001
25,,9,58,+7:14,,,Vande Velde Christian,51,US Postal Service,",, ,,",,,6,2001
30,,44,47,+5:00,,,Belli Wladimir,52,Fassa Bortolo,",, ,,",,,6,2001
28,,151,17,+2:11,,,Botero Santiago,53,Kelme - Costa Blanca,",, ,,",,,6,2001
27,,17,23,+2:45,,,Vinokourov Alexandre,54,Team Telekom,",, ,,",,,6,2001
27,,74,93,+21:55,,,Kivilev Andrei,55,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",",, ,,",,,6,2001
31,,63,55,+6:22,,,Baguet Serge,56,Lotto - Adecco,",, ,,",,,6,2001
24,,176,66,+12:55,,,Hunter Robert,57,Lampre - Daikin,",, ,,",,,6,2001
31,,143,82,+19:38,,,Bouvard Gilles,59,Jean Delatour,",, ,,",,,6,2001
28,,113,50,+6:00,,,Chaurreau I\xf1igo,60,Euskaltel - Euskadi,",, ,,",,,6,2001
29,,46,130,+28:21,,,Loda Nicola,61,Fassa Bortolo,",, ,,",,,6,2001
28,,162,31,+4:15,,,Beneteau Walter,62,Bonjour,",, ,,",,,6,2001
30,,97,37,+4:42,,,Odriozola Jon,63,Ibanesto.com,",, ,,",,,6,2001
25,,91,36,+4:40,,,Mancebo Francisco,64,Ibanesto.com,",, ,,",,,6,2001
28,,135,150,+32:46,,,Jalabert Nicolas,65,CSC ProTeam - Tiscali,",, ,,",,,6,2001
28,,58,126,+27:27,,,Verheyen Geert,66,Rabobank ProTeam,",, ,,",,,6,2001
35,,3,72,+14:36,,,Ekimov Viatcheslav,67,US Postal Service,",, ,,",,,6,2001
27,,86,29,+3:44,,,Garzelli Stefano,68,Mapei - Quickstep,",, ,,",,,6,2001
33,,75,92,+21:50,,,Lelli Massimiliano,69,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",",, ,,",,,6,2001
32,,89,75,+15:11,,,Zanini Stefano,70,Mapei - Quickstep,",, ,,",,,6,2001
32,,131,25,+3:19,,,Jalabert Laurent,71,CSC ProTeam - Tiscali,",, ,,",,,6,2001
27,,145,48,+5:08,,,Halgand Patrice,72,Jean Delatour,",, ,,",,,6,2001
31,,82,26,+3:33,,,Bartoli Michele,73,Mapei - Quickstep,",, ,,",,,6,2001
28,,29,10,+1:23,,,Serrano Marcos Antonio,74,O.N.C.E. - Eroski,",, ,,",,,6,2001
27,,92,42,+4:54,,,Blanco Santiago,75,Ibanesto.com,",, ,,",,,6,2001
25,,32,11,+1:24,,,Brard Florent,76,Festina,",, ,,",,,6,2001
35,,196,129,+28:20,,,Museeuw Johan,77,Domo - Farm Frites,",, ,,",,,6,2001
26,,15,20,+2:32,,,Kl\xf6den Andr\xe9as,78,Team Telekom,",, ,,",,,6,2001
29,,98,,+ - 25:45:00,,,Rodriguez Javier Pascual,79,Ibanesto.com,",, ,,",,,6,2001
25,,79,77,+17:20,,,Trentin Guido,80,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",",, ,,",,,6,2001
24,,26,7,+1:12,,,Jaksche Jorg,81,O.N.C.E. - Eroski,",, ,,",,,6,2001
28,,108,115,+24:33,,,Vaughters Jonathan,82,Cr\xe9dit Agricole,",, ,,",,,6,2001
29,,67,54,+6:17,,,van de Wouwer Kurt,83,Lotto - Adecco,",, ,,",,,6,2001
27,,78,96,+22:09,,,Rinero Christophe,84,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",",, ,,",,,6,2001
28,,115,144,+31:04,,,Etxebarria Unai,85,Euskaltel - Euskadi,",, ,,",,,6,2001
27,,167,128,+27:56,,,Renier Franck,86,Bonjour,",, ,,",,,6,2001
27,,188,111,+24:01,,,Schnider Daniel,87,La Fran\xe7aise des Jeux,",, ,,",,,6,2001
27,,56,70,+14:22,,,Lotz Marc,88,Rabobank ProTeam,",, ,,",,,6,2001
32,,59,122,+26:20,,,Wauters Marc,89,Rabobank ProTeam,",, ,,",,,6,2001
30,,54,172,+40:52,,,Dekker Erik,90,Rabobank ProTeam,",, ,,",,,6,2001
31,,168,32,+4:22,,,Robin Jean-Cyril,91,Bonjour,",, ,,",,,6,2001
29,,192,157,+34:05,,,Cassani Enrico,92,Domo - Farm Frites,",, ,,",,,6,2001
25,,69,139,+30:22,,,Vermaut Steve,93,Lotto - Adecco,",, ,,",,,6,2001
34,,12,41,+4:54,,,Bolts Udo,94,Team Telekom,",, ,,",,,6,2001
36,,14,56,+6:29,,,Heppner Jens,95,Team Telekom,",, ,,",,,6,2001
30,,133,80,+18:45,,,Cerezo Francisco,96,CSC ProTeam - Tiscali,",, ,,",,,6,2001
27,,49,38,+4:43,,,Tosatto Matteo,97,Fassa Bortolo,",, ,,",,,6,2001
33,,179,146,+31:30,,,Verstrepen Johan,98,Lampre - Daikin,",, ,,",,,6,2001
30,,185,119,+25:49,,,Magnien Emmanuel,99,La Fran\xe7aise des Jeux,",, ,,",,,6,2001
25,,172,140,+30:35,,,Belohvosciks Raivis,100,Lampre - Daikin,",, ,,",,,6,2001
28,,114,87,+20:16,,,Del Olmo Txema,101,Euskaltel - Euskadi,",, ,,",,,6,2001
26,,138,62,+10:46,,,S\xf8rensen Nicki,102,CSC ProTeam - Tiscali,",, ,,",,,6,2001
30,,193,124,+26:31,,,Knaven Servais,103,Domo - Farm Frites,",, ,,",,,6,2001
27,,121,49,+5:57,,,Salmon Benoit,104,AG2R Pr\xe9voyance,",, ,,",,,6,2001
30,,85,165,+38:50,,,Fornaciari Paolo,105,Mapei - Quickstep,",, ,,",,,6,2001
28,,81,155,+33:58,,,Nardello Daniele,106,Mapei - Quickstep,",, ,,",,,6,2001
25,,181,52,+6:14,,,Montgomery Sven,107,La Fran\xe7aise des Jeux,",, ,,",,,6,2001
27,,163,64,+11:25,,,Bouyer Franck,108,Bonjour,",, ,,",,,6,2001
22,,173,175,+43:05,,,Bertogliati Rubens,109,Lampre - Daikin,",, ,,",,,6,2001
25,,177,164,+38:31,,,Pinotti Marco,110,Lampre - Daikin,",, ,,",,,6,2001
33,,84,162,+37:48,,,Bramati Davide,111,Mapei - Quickstep,",, ,,",,,6,2001
29,,68,65,+12:35,,,Van Hyfte Paul,112,Lotto - Adecco,",, ,,",,,6,2001
24,,119,106,+23:49,,,Zubeldia Haimar,113,Euskaltel - Euskadi,",, ,,",,,6,2001
26,,72,132,+28:40,,,Atienza Daniel,114,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",",, ,,",,,6,2001
32,,73,91,+21:49,,,Cuesta \xcd\xf1igo,115,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",",, ,,",,,6,2001
27,,83,94,+22:03,,,Bettini Paolo,116,Mapei - Quickstep,",, ,,",,,6,2001
26,,28,6,+1:08,,,Sastre Carlos,117,O.N.C.E. - Eroski,",, ,,",,,6,2001
25,,57,121,+26:15,,,Niermann Grischa,118,Rabobank ProTeam,",, ,,",,,6,2001
