Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
29,184,126,+ 76:35:54,,131,Guesdon Fr\xe9d\xe9ric,126,La Fran\xe7aise des Jeux,71:08:43 71:08:43,+25:45,\u25b25,16,2001
34,183,127,+ 76:36:42,,132,Durand Jacky,127,La Fran\xe7aise des Jeux,71:09:31 71:09:31,+25:56,\u25b25,16,2001
28,171,128,+ 76:37:19,,133,Serpellini Marco,128,Lampre - Daikin,71:10:08 71:10:08,+26:08,\u25b25,16,2001
23,209,129,+ 76:37:31,,134,Talabardon S\xe9bastien,129,BigMat - Auber 93,71:10:20 71:10:20,+26:08,\u25b25,16,2001
26,175,130,+ 76:42:07,,136,Frutti Matteo,130,Lampre - Daikin,71:14:56 71:14:56,+26:08,\u25b26,16,2001
32,178,131,+ 76:48:28,,137,Svorada Jan,131,Lampre - Daikin,71:21:17 71:21:17,+26:08,\u25b26,16,2001
33,179,132,+ 76:49:51,,138,Verstrepen Johan,132,Lampre - Daikin,71:22:40 71:22:40,+26:08,\u25b26,16,2001
32,205,133,+ 76:53:06,,135,Gouvenou Thierry,133,BigMat - Auber 93,71:25:55 71:25:55,+38:35,\u25b22,16,2001
28,198,134,+ 76:55:28,,139,van Heeswijk Max,134,Domo - Farm Frites,71:28:17 71:28:17,+26:08,\u25b25,16,2001
28,191,135,+ 76:56:05,,140,Vainsteins Romans,135,Domo - Farm Frites,71:28:54 71:28:54,+26:08,\u25b25,16,2001
26,123,136,+ 76:57:23,,141,Berges Stephane,136,AG2R Pr\xe9voyance,71:30:12 71:30:12,+26:08,\u25b25,16,2001
30,203,137,+ 76:57:53,,142,Auger Ludovic,137,BigMat - Auber 93,71:30:42 71:30:42,+26:08,\u25b25,16,2001
25,202,138,+ 77:00:26,,143,Auger Guillaume,138,BigMat - Auber 93,71:33:15 71:33:15,+26:08,\u25b25,16,2001
27,103,139,+ 77:03:24,,144,Hinault S\xe9bastien,139,Cr\xe9dit Agricole,71:36:13 71:36:13,+26:03,\u25b25,16,2001
28,166,140,+ 77:03:47,,145,Perreaudeau Olivier,140,Bonjour,71:36:36 71:36:36,+25:58,\u25b25,16,2001
29,192,141,+ 77:07:36,,146,Cassani Enrico,141,Domo - Farm Frites,71:40:25 71:40:25,+26:08,\u25b25,16,2001
26,105,142,+ 77:08:18,,147,Jenner Christopher,142,Cr\xe9dit Agricole,71:41:07 71:41:07,+26:08,\u25b25,16,2001
36,139,143,+ 77:10:10,,148,S\xf8rensen Rolf,143,CSC ProTeam - Tiscali,71:42:59 71:42:59,+26:08,\u25b25,16,2001
33,84,144,+ 77:10:31,,149,Bramati Davide,144,Mapei - Quickstep,71:43:20 71:43:20,+26:08,\u25b25,16,2001
22,173,145,+ 77:12:36,,150,Bertogliati Rubens,145,Lampre - Daikin,71:45:25 71:45:25,+26:08,\u25b25,16,2001
23,182,146,+ 77:19:16,,151,Casper Jimmy,146,La Fran\xe7aise des Jeux,71:52:05 71:52:05,+26:08,\u25b25,16,2001
29,1,1*,+ 77:53:17,,1*,Armstrong Lance,1*,US Postal Service,73:39:41 73:39:41,+0:13,-,17,2001
27,11,2,+ 77:58:22,,2,Ullrich Jan,2,Team Telekom,73:44:46 73:44:46,+0:13,-,17,2001
27,74,3,+ 77:58:30,,3,Kivilev Andrei,3,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",73:44:54 73:44:54,+0:13,-,17,2001
27,21,4,+ 77:59:50,,4,Beloki Joseba,4,O.N.C.E. - Eroski,73:46:14 73:46:14,+0:13,-,17,2001
32,169,5,+ 78:04:11,,5,Simon Fran\xe7ois,5,Bonjour,73:50:35 73:50:35,+0:13,-,17,2001
27,24,6,+ 78:05:21,,6,Gonzalez De Galdeano Igor,6,O.N.C.E. - Eroski,73:51:45 73:51:45,+0:13,-,17,2001
24,157,7,+ 78:07:12,,7,Sevilla Oscar,7,Kelme - Costa Blanca,73:53:36 73:53:36,+0:13,-,17,2001
29,51,8,+ 78:09:32,,8,Boogerd Michael,8,Rabobank ProTeam,73:55:56 73:55:56,+0:13,-,17,2001
28,151,9,+ 78:11:29,,9,Botero Santiago,9,Kelme - Costa Blanca,73:57:53 73:57:53,+0:13,-,17,2001
28,29,10,+ 78:12:37,,10,Serrano Marcos Antonio,10,O.N.C.E. - Eroski,73:59:01 73:59:01,+0:13,-,17,2001
28,86,11,+ 78:13:25,,11,Garzelli Stefano,11,Mapei - Quickstep,73:59:49 73:59:49,+0:13,-,17,2001
30,161,12,+ 78:15:14,,12,Rous Didier,12,Bonjour,74:01:38 74:01:38,+0:13,-,17,2001
27,2,13,+ 78:15:17,,13,Heras Roberto,13,US Postal Service,74:01:41 74:01:41,+0:13,-,17,2001
25,91,14,+ 78:17:43,,14,Mancebo Francisco,14,Ibanesto.com,74:04:07 74:04:07,+0:13,-,17,2001
28,113,15,+ 78:18:02,,15,Chaurreau I\xf1igo,15,Euskaltel - Euskadi,74:04:26 74:04:26,+0:13,-,17,2001
27,17,16,+ 78:23:49,,16,Vinokourov Alexandre,16,Team Telekom,74:10:13 74:10:13,+0:13,-,17,2001
26,124,17,+ 78:26:42,,17,Botcharov Alexandre,17,AG2R Pr\xe9voyance,74:13:06 74:13:06,+0:33,-,17,2001
32,131,18,+ 78:35:34,,18,Jalabert Laurent,18,CSC ProTeam - Tiscali,74:21:58 74:21:58,+0:13,-,17,2001
26,28,19,+ 78:38:18,,19,Sastre Carlos,19,O.N.C.E. - Eroski,74:24:42 74:24:42,+0:13,-,17,2001
28,194,20,+ 78:38:25,,20,Merckx Axel,20,Domo - Farm Frites,74:24:49 74:24:49,+0:13,-,17,2001
29,101,21,+ 78:38:44,,21,Julich Bobby,21,Cr\xe9dit Agricole,74:25:08 74:25:08,+0:13,-,17,2001
30,93,22,+ 78:40:31,,22,Brozyna Tomasz,22,Ibanesto.com,74:26:55 74:26:55,+0:13,-,17,2001
31,44,23,+ 78:43:18,,23,Belli Wladimir,23,Fassa Bortolo,74:29:42 74:29:42,+0:13,-,17,2001
33,141,24,+ 78:44:21,,24,Brochard Laurent,24,Jean Delatour,74:30:45 74:30:45,+0:13,-,17,2001
26,62,25,+ 78:46:23,,25,Aerts Mario,25,Lotto - Adecco,74:32:47 74:32:47,+0:13,-,17,2001
