Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,Pnt,year,stage
18,16.0,\u25bc2,64,Hushovd Thor,24,Cr\xe9dit Agricole,1.0,2002,7
1,1.0,-,98,Mengin Christophe,33,La Fran\xe7aise des Jeux,42.0,2002,8
2,2.0,-,183,Berges Stephane,27,AG2R Pr\xe9voyance,26.0,2002,8
3,3.0,-,155,Dierckxsens Ludo,37,Lampre - Daikin,15.0,2002,8
4,5.0,\u25b21,118,Renier Franck,28,Bonjour,13.0,2002,8
5,4.0,\u25bc1,201,Halgand Patrice,28,Jean Delatour,12.0,2002,8
6,,-,152,Belohvosciks Raivis,26,Lampre - Daikin,10.0,2002,8
7,6.0,\u25bc1,66,Morin Anthony,28,Cr\xe9dit Agricole,8.0,2002,8
8,7.0,\u25bc1,114,Chavanel Sylvain,23,Bonjour,6.0,2002,8
9,8.0,\u25bc1,78,van Bon L\xe9on,30,Domo - Farm Frites,6.0,2002,8
10,9.0,\u25bc1,208,Lefevre Laurent,26,Jean Delatour,5.0,2002,8
11,,-,197,Ivanov Ruslan,28,Alessio,5.0,2002,8
12,10.0,\u25bc2,72,Bruylandts Dave,26,Domo - Farm Frites,3.0,2002,8
13,12.0,\u25bc1,56,Sandst\xf8d Michael,34,CSC ProTeam - Tiscali,3.0,2002,8
14,11.0,\u25bc3,95,Durand Jacky,35,La Fran\xe7aise des Jeux,3.0,2002,8
15,,-,104,Dekker Erik,31,Rabobank ProTeam,3.0,2002,8
16,16.0,-,207,Goubert Stephane,32,Jean Delatour,2.0,2002,8
17,13.0,\u25bc4,81,Basso Ivan,24,Fassa Bortolo,1.0,2002,8
18,14.0,\u25bc4,71,Virenque Richard,32,Domo - Farm Frites,1.0,2002,8
19,15.0,\u25bc4,75,Konecny Tomas,28,Domo - Farm Frites,1.0,2002,8
20,,-,106,Kroon Karsten,26,Rabobank ProTeam,1.0,2002,8
21,17.0,\u25bc4,185,Flickinger Andy,23,AG2R Pr\xe9voyance,1.0,2002,8
22,18.0,\u25bc4,64,Hushovd Thor,24,Cr\xe9dit Agricole,1.0,2002,8
1,1.0,-,98,Mengin Christophe,33,La Fran\xe7aise des Jeux,42.0,2002,9
2,2.0,-,183,Berges Stephane,27,AG2R Pr\xe9voyance,26.0,2002,9
3,3.0,-,155,Dierckxsens Ludo,37,Lampre - Daikin,15.0,2002,9
4,4.0,-,118,Renier Franck,28,Bonjour,13.0,2002,9
5,5.0,-,201,Halgand Patrice,28,Jean Delatour,12.0,2002,9
6,6.0,-,152,Belohvosciks Raivis,26,Lampre - Daikin,10.0,2002,9
7,7.0,-,66,Morin Anthony,28,Cr\xe9dit Agricole,8.0,2002,9
8,8.0,-,114,Chavanel Sylvain,23,Bonjour,6.0,2002,9
9,9.0,-,78,van Bon L\xe9on,30,Domo - Farm Frites,6.0,2002,9
10,10.0,-,208,Lefevre Laurent,26,Jean Delatour,5.0,2002,9
11,11.0,-,197,Ivanov Ruslan,28,Alessio,5.0,2002,9
12,12.0,-,72,Bruylandts Dave,26,Domo - Farm Frites,3.0,2002,9
13,14.0,\u25b21,95,Durand Jacky,35,La Fran\xe7aise des Jeux,3.0,2002,9
14,13.0,\u25bc1,56,Sandst\xf8d Michael,34,CSC ProTeam - Tiscali,3.0,2002,9
15,15.0,-,104,Dekker Erik,31,Rabobank ProTeam,3.0,2002,9
16,16.0,-,207,Goubert Stephane,32,Jean Delatour,2.0,2002,9
17,17.0,-,81,Basso Ivan,24,Fassa Bortolo,1.0,2002,9
18,18.0,-,71,Virenque Richard,32,Domo - Farm Frites,1.0,2002,9
19,19.0,-,75,Konecny Tomas,28,Domo - Farm Frites,1.0,2002,9
20,20.0,-,106,Kroon Karsten,26,Rabobank ProTeam,1.0,2002,9
21,21.0,-,185,Flickinger Andy,23,AG2R Pr\xe9voyance,1.0,2002,9
22,22.0,-,64,Hushovd Thor,24,Cr\xe9dit Agricole,1.0,2002,9
1,1.0,-,98,Mengin Christophe,33,La Fran\xe7aise des Jeux,42.0,2002,10
2,5.0,\u25b23,201,Halgand Patrice,28,Jean Delatour,27.0,2002,10
3,2.0,\u25bc1,183,Berges Stephane,27,AG2R Pr\xe9voyance,26.0,2002,10
4,3.0,\u25bc1,155,Dierckxsens Ludo,37,Lampre - Daikin,18.0,2002,10
5,4.0,\u25bc1,118,Renier Franck,28,Bonjour,13.0,2002,10
6,6.0,-,152,Belohvosciks Raivis,26,Lampre - Daikin,10.0,2002,10
7,7.0,-,66,Morin Anthony,28,Cr\xe9dit Agricole,8.0,2002,10
8,,-,91,Vogondy Nicolas,24,La Fran\xe7aise des Jeux,6.0,2002,10
9,8.0,\u25bc1,114,Chavanel Sylvain,23,Bonjour,6.0,2002,10
10,9.0,\u25bc1,78,van Bon L\xe9on,30,Domo - Farm Frites,6.0,2002,10
11,10.0,\u25bc1,208,Lefevre Laurent,26,Jean Delatour,5.0,2002,10
12,11.0,\u25bc1,197,Ivanov Ruslan,28,Alessio,5.0,2002,10
13,12.0,\u25bc1,72,Bruylandts Dave,26,Domo - Farm Frites,3.0,2002,10
14,13.0,\u25bc1,95,Durand Jacky,35,La Fran\xe7aise des Jeux,3.0,2002,10
15,14.0,\u25bc1,56,Sandst\xf8d Michael,34,CSC ProTeam - Tiscali,3.0,2002,10
