Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
28,104,+21:59,106,Hutarovich Yauheni,104,FDJ - BigMat,21:59 21:59,+0:00,\u25b22,4,2012
31,105,+22:05,102,Bazayev Assan,105,Astana Pro Team,22:05 22:05,+0:48,\u25bc3,4,2012
30,106,+22:09,107,Reynes Vicente,106,Lotto Belisol Team,22:09 22:09,+0:00,\u25b21,4,2012
30,107,+23:52,108,Efimkin Alexander,107,Team Type 1 - SANOFI,23:52 23:52,+0:00,\u25b21,4,2012
28,108,+24:06,109,Terpstra Niki,108,Omega Pharma - Quick-Step,24:06 24:06,+0:00,\u25b21,4,2012
22,109,+24:36,114,Rowe Luke,109,Sky Procycling,24:36 24:36,+0:00,\u25b25,4,2012
29,110,+24:36,115,King Edward,110,Liquigas - Cannondale,",, 24:36",+0:00,\u25b25,4,2012
27,111,+24:46,116,Bazzana Alessandro,111,Team Type 1 - SANOFI,24:46 24:46,+0:00,\u25b25,4,2012
24,112,+24:56,117,Guarnieri Jacopo,112,Astana Pro Team,24:56 24:56,+0:00,\u25b25,4,2012
24,113,+24:58,110,Meyer Cameron,113,Orica GreenEDGE,24:58 24:58,+0:48,\u25bc3,4,2012
30,114,+24:59,118,Colli Daniele,114,Team Type 1 - SANOFI,24:59 24:59,+0:00,\u25b24,4,2012
31,115,+25:01,111,Cancellara Fabian,115,RadioShack - Nissan,25:01 25:01,+0:48,\u25bc4,4,2012
27,116,+25:21,113,Breschel Matti,116,Rabobank Cycling Team,25:21 25:21,+0:48,\u25bc3,4,2012
27,117,+26:20,119,K\xfcnzli Raimond,117,Spidertech Powered by C10,26:20 26:20,+0:48,\u25b22,4,2012
24,118,+26:49,121,Sicard Romain,118,Euskaltel - Euskadi,26:49 26:49,+0:00,\u25b23,4,2012
23,119,+27:04,122,Agostini Stefano,119,Liquigas - Cannondale,27:04 27:04,+0:00,\u25b23,4,2012
31,120,+27:20,120,Boonen Tom,120,Omega Pharma - Quick-Step,27:20 27:20,+0:48,-,4,2012
25,121,+29:19,124,Boeckmans Kris,121,Vacansoleil - DCM,29:19 29:19,+0:00,\u25b23,4,2012
38,122,+29:39,123,O'Grady Stuart,122,Orica GreenEDGE,29:39 29:39,+0:48,\u25b21,4,2012
28,123,+29:42,125,Farrar Tyler,123,Team Garmin - Barracuda,29:42 29:42,+0:00,\u25b22,4,2012
22,124,+29:50,127,Trentin Matteo,124,Omega Pharma - Quick-Step,29:50 29:50,+0:00,\u25b23,4,2012
27,125,+30:56,128,M\xf8rk\xf8v Michael,125,Team Saxo Bank - Tinkoff Bank,30:56 30:56,+0:48,\u25b23,4,2012
28,126,+31:00,129,Vigano Davide,126,Lampre - ISD,31:00 31:00,+0:00,\u25b23,4,2012
29,127,+32:25,131,Bonnet William,127,FDJ - BigMat,32:25 32:25,+0:00,\u25b24,4,2012
27,128,+32:27,132,Mortensen Martin,128,Vacansoleil - DCM,32:27 32:27,+0:00,\u25b24,4,2012
29,129,+32:27,133,Kaisen Olivier,129,Lotto Belisol Team,",, 32:27",+0:00,\u25b24,4,2012
27,130,+32:29,134,Pineau C\xe9dric,130,FDJ - BigMat,32:29 32:29,+0:00,\u25b24,4,2012
26,131,+32:43,136,Bole Grega,131,Lampre - ISD,32:43 32:43,+0:00,\u25b25,4,2012
25,132,+33:01,137,Fairly Caleb,132,Spidertech Powered by C10,33:01 33:01,+0:00,\u25b25,4,2012
26,133,+33:22,130,Konovalovas Ignatas,133,Movistar Team,33:22 33:22,+1:20,\u25bc3,4,2012
22,134,+33:28,135,Boily David,134,Spidertech Powered by C10,33:28 33:28,+0:48,\u25b21,4,2012
25,135,+33:51,138,Vinther Troels,135,Team Saxo Bank - Tinkoff Bank,33:51 33:51,+0:00,\u25b23,4,2012
24,136,+33:52,139,B\xe9rard Julien,136,AG2R La Mondiale,33:52 33:52,+0:00,\u25b23,4,2012
38,137,+34:02,140,Hondo Danilo,137,Lampre - ISD,34:02 34:02,+0:00,\u25b23,4,2012
32,138,+35:36,141,Boucher David,138,FDJ - BigMat,35:36 35:36,+0:00,\u25b23,4,2012
23,139,+37:22,142,Viviani Elia,139,Liquigas - Cannondale,37:22 37:22,+0:00,\u25b23,4,2012
23,140,+37:37,144,Boivin Guillaume,140,Spidertech Powered by C10,37:37 37:37,+0:00,\u25b24,4,2012
35,141,+38:22,143,Paolini Luca,141,Team Katusha,38:22 38:22,+0:48,\u25b22,4,2012
31,142,+38:28,145,Steegmans Gert,142,Omega Pharma - Quick-Step,38:28 38:28,+0:48,\u25b23,4,2012
22,143,+40:43,146,Novikov Nikita,143,Vacansoleil - DCM,40:43 40:43,+0:00,\u25b23,4,2012
30,144,+41:02,147,Sohrabi Mehdi,144,Lotto Belisol Team,41:02 41:02,+0:00,\u25b23,4,2012
24,145,+42:33,148,Anderson Ryan,145,Spidertech Powered by C10,42:33 42:33,+0:00,\u25b23,4,2012
29,146,+42:51,149,Anton Igor,146,Euskaltel - Euskadi,42:51 42:51,+0:00,\u25b23,4,2012
32,147,+42:53,150,Urtasun Pablo,147,Euskaltel - Euskadi,42:53 42:53,+0:00,\u25b23,4,2012
23,148,+43:05,151,Robert Fr\xe9derique,148,Lotto Belisol Team,43:05 43:05,+0:00,\u25b23,4,2012
25,1,+0:00,1,Costa Rui,1,Movistar Team,25:23:38 25:23:38,+0:00,-,5,2012
32,2,+0:08,2,Schleck Fr\xe4nk,2,RadioShack - Nissan,0:08 0:08,+0:00,-,5,2012
26,3,+0:15,3,Kreuziger Roman,3,Astana Pro Team,0:15 0:15,+0:00,-,5,2012
22,4,+0:19,4,Pinot Thibaut,4,FDJ - BigMat,0:19 0:19,+0:00,-,5,2012
27,5,+0:21,5,Roche Nicolas,5,AG2R La Mondiale,0:21 0:21,+0:00,-,5,2012
28,6,+0:21,6,L\xf6fkvist Thomas,6,Sky Procycling,",, 0:21",+0:00,-,5,2012
32,7,+0:23,7,Valverde Alejandro,7,Movistar Team,0:23 0:23,+0:00,-,5,2012
33,8,+0:24,8,Gadret John,8,AG2R La Mondiale,0:24 0:24,+0:00,-,5,2012
28,9,+0:26,9,Nieve Mikel,9,Euskaltel - Euskadi,0:26 0:26,+0:00,-,5,2012
34,10,+0:29,10,Danielson Thomas,10,Team Garmin - Barracuda,0:29 0:29,+0:00,-,5,2012
25,11,+0:32,11,Ki\u0161erlovski Robert,11,Astana Pro Team,0:32 0:32,+0:00,-,5,2012
27,12,+0:33,12,Fuglsang Jakob,12,RadioShack - Nissan,0:33 0:33,+0:00,-,5,2012
38,13,+0:37,13,Leipheimer Levi,13,Omega Pharma - Quick-Step,0:37 0:37,+0:00,-,5,2012
27,14,+0:40,14,S\xf8rensen Chris Anker,14,Team Saxo Bank - Tinkoff Bank,0:40 0:40,+0:00,-,5,2012
31,15*,+0:41,15*,Caruso Giampaolo,15*,Team Katusha,0:41 0:41,+0:00,-,5,2012
25,16,+0:47,16,Kruijswijk Steven,16,Rabobank Cycling Team,0:47 0:47,+0:00,-,5,2012
30,17,+0:57,17,Cunego Damiano,17,Lampre - ISD,0:57 0:57,+0:00,-,5,2012
29,18,+0:58,18,Gusev Vladimir,18,Team Katusha,0:58 0:58,+0:00,-,5,2012
26,19,+1:09,20,Gesink Robert,19,Rabobank Cycling Team,1:09 1:09,+0:00,\u25b21,5,2012
21,20,+1:13,19,Moser Moreno,20,Liquigas - Cannondale,1:13 1:13,+0:12,\u25bc1,5,2012
27,21,+1:15,21,Cataldo Dario,21,Omega Pharma - Quick-Step,1:15 1:15,+0:00,-,5,2012
25,22,+1:37,22,Frank Mathias,22,BMC Racing Team,1:37 1:37,+0:00,-,5,2012
24,23,+1:39,23,Izagirre Gorka,23,Euskaltel - Euskadi,1:39 1:39,+0:00,-,5,2012
24,24,+1:43,24,Poels Wout,24,Vacansoleil - DCM,1:43 1:43,+0:00,-,5,2012
33,25,+1:45,25,Bertogliati Rubens,25,Team Type 1 - SANOFI,1:45 1:45,+0:00,-,5,2012
25,26,+1:47,26,Kangert Tanel,26,Astana Pro Team,1:47 1:47,+0:00,-,5,2012
32,27,+1:55,27,Astarloza Mikel,27,Euskaltel - Euskadi,1:55 1:55,+0:00,-,5,2012
25,28,+1:59,28,De Clercq Bart,28,Lotto Belisol Team,1:59 1:59,+0:00,-,5,2012
22,29,+1:59,29,Slagter Tom-Jelte,29,Rabobank Cycling Team,",, 1:59",+0:00,-,5,2012
29,30,+2:13,31,Gerdemann Linus,30,RadioShack - Nissan,2:13 2:13,+0:00,\u25b21,5,2012
22,31,+2:13,30,Puccio Salvatore,31,Sky Procycling,",, 2:13",+0:12,\u25bc1,5,2012
32,32,+2:27,32,Muravyev Dmitriy,32,Astana Pro Team,2:27 2:27,+0:12,-,5,2012
27,33,+2:33,33,El Fares Julien,33,Team Type 1 - SANOFI,2:33 2:33,+0:00,-,5,2012
21,34,+2:44,34,Preidler Georg,34,Team Type 1 - SANOFI,2:44 2:44,+0:00,-,5,2012
29,35,+2:46,35,Monfort Maxime,35,RadioShack - Nissan,2:46 2:46,+0:00,-,5,2012
31,36,+2:46,36,ten Dam Laurens,36,Rabobank Cycling Team,",, 2:46",+0:00,-,5,2012
36,37,+3:02,37,Barry Michael,37,Sky Procycling,3:02 3:02,+0:00,-,5,2012
25,38,+3:18,38,Peterson Tom,38,Team Garmin - Barracuda,3:18 3:18,+0:00,-,5,2012
28,39,+4:12,39,Burghardt Marcus,39,BMC Racing Team,4:12 4:12,+0:00,-,5,2012
29,40,+4:25,40,Hoogerland Johnny,40,Vacansoleil - DCM,4:25 4:25,+0:00,-,5,2012
27,41,+4:58,41,Rojas Jos\xe9 Joaqu\xedn,41,Movistar Team,4:58 4:58,+0:00,-,5,2012
27,42,+5:00,42,Gavazzi Francesco,42,Astana Pro Team,5:00 5:00,+-1:57,-,5,2012
31,43,+5:44,43,Albasini Michael,43,Orica GreenEDGE,5:44 5:44,+-1:57,-,5,2012
36,44,+6:26,44,Kl\xf6den Andr\xe9as,44,RadioShack - Nissan,6:26 6:26,+0:30,-,5,2012
26,45,+6:33,47,Kohler Martin,45,BMC Racing Team,6:33 6:33,+0:12,\u25b22,5,2012
35,46,+6:38,49,Gustov Volodymyr,46,Team Saxo Bank - Tinkoff Bank,6:38 6:38,+0:12,\u25b23,5,2012
26,47,+6:56,48,Cusin Remi,47,Team Type 1 - SANOFI,6:56 6:56,+0:30,\u25b21,5,2012
30,48,+7:26,51,Perez Ruben,48,Euskaltel - Euskadi,7:26 7:26,+0:12,\u25b23,5,2012
26,49,+8:40,55,Stybar Zdenek,49,Omega Pharma - Quick-Step,8:40 8:40,+0:00,\u25b26,5,2012
27,50,+8:47,56,Van Avermaet Greg,50,BMC Racing Team,8:47 8:47,+0:00,\u25b26,5,2012
28,51,+9:09,54,Roy J\xe9r\xe9my,51,FDJ - BigMat,9:09 9:09,+0:30,\u25b23,5,2012
24,52,+9:15,57,Howes Alex,52,Team Garmin - Barracuda,9:15 9:15,+0:00,\u25b25,5,2012
28,53,+9:33,61,Marcato Marco,53,Vacansoleil - DCM,9:33 9:33,+-1:57,\u25b28,5,2012
36,54,+9:39,62,Freire Oscar,54,Team Katusha,9:39 9:39,+-1:57,\u25b28,5,2012
33,55,+9:53,63,Elmiger Martin,55,AG2R La Mondiale,9:53 9:53,+0:00,\u25b28,5,2012
32,56,+10:20,58,Rast Gregory,56,RadioShack - Nissan,10:20 10:20,+0:53,\u25b22,5,2012
27,57,+10:47,64,Possoni Morris,57,Lampre - ISD,10:47 10:47,+0:39,\u25b27,5,2012
30,58,+10:48,45,Minard S\xe9bastien,58,AG2R La Mondiale,10:48 10:48,+4:49,\u25bc13,5,2012
26,59,+10:56,46,Isaychev Vladimir,59,Team Katusha,10:56 10:56,+4:49,\u25bc13,5,2012
32,60,+12:03,50,Paulinho S\xe9rgio,60,Team Saxo Bank - Tinkoff Bank,12:03 12:03,+4:49,\u25bc10,5,2012
27,61,+12:08,66,Langeveld Sebastian,61,Orica GreenEDGE,12:08 12:08,+0:36,\u25b25,5,2012
22,62,+12:16,69,Sagan Peter,62,Liquigas - Cannondale,12:16 12:16,+-1:47,\u25b27,5,2012
31,63,+12:35,67,Mori Manuele,63,Lampre - ISD,12:35 12:35,+0:45,\u25b24,5,2012
28,64,+12:38,65,Montaguti Matteo,64,AG2R La Mondiale,12:38 12:38,+2:05,\u25b21,5,2012
31,65,+12:43,68,Kolobnev Alexandr,65,Team Katusha,12:43 12:43,+0:45,\u25b23,5,2012
25,66,+13:00,52,Oss Daniel,66,Liquigas - Cannondale,13:00 13:00,+4:49,\u25bc14,5,2012
24,67,+13:00,70,Valls Rafael,67,Vacansoleil - DCM,",, 13:00",+0:30,\u25b23,5,2012
28,68,+13:09,71,Megias Javier,68,Team Type 1 - SANOFI,13:09 13:09,+0:25,\u25b23,5,2012
36,69,+13:31,75,Kroon Karsten,69,Team Saxo Bank - Tinkoff Bank,13:31 13:31,+0:12,\u25b26,5,2012
31,70,+13:43,74,Karpets Vladimir,70,Movistar Team,13:43 13:43,+0:30,\u25b24,5,2012
24,71,+13:47,80,Swift Ben,71,Sky Procycling,13:47 13:47,+-1:51,\u25b29,5,2012
31,72,+13:50,79,Wegmann Fabian,72,Team Garmin - Barracuda,13:50 13:50,+0:00,\u25b27,5,2012
27,73,+14:11,78,Didier Laurent,73,RadioShack - Nissan,14:11 14:11,+0:30,\u25b25,5,2012
27,74,+14:19,59,Dekker Thomas,74,Team Garmin - Barracuda,14:19 14:19,+4:49,\u25bc15,5,2012
29,75,+14:23,60,Duggan Timothy,75,Liquigas - Cannondale,14:23 14:23,+4:49,\u25bc15,5,2012
31,76,+14:37,81,Cummings Stephen,76,BMC Racing Team,14:37 14:37,+0:39,\u25b25,5,2012
25,77,+15:29,84,Mollema Bauke,77,Rabobank Cycling Team,15:29 15:29,+0:30,\u25b27,5,2012
32,78,+17:31,87,Geslin Anthony,78,FDJ - BigMat,17:31 17:31,+0:00,\u25b29,5,2012
27,79,+17:45,72,Velits Peter,79,Omega Pharma - Quick-Step,17:45 17:45,+4:49,\u25bc7,5,2012
28,80,+17:53,73,Bookwalter Brent,80,BMC Racing Team,17:53 17:53,+4:49,\u25bc7,5,2012
28,81,+18:06,53,Euser Lucas,81,,18:06 18:06,+9:40,\u25bc28,5,2012
28,82,+18:10,76,Nordhaug Lars Petter,82,Sky Procycling,18:10 18:10,+4:49,\u25bc6,5,2012
32,83,+19:03,82,Kessiakoff Fredrik,83,Astana Pro Team,19:03 19:03,+4:49,\u25bc1,5,2012
24,84,+19:07,83,Bonnafond Guillaume,84,AG2R La Mondiale,19:07 19:07,+4:49,\u25bc1,5,2012
34,85,+19:21,89,Hayman Mathew,85,Sky Procycling,19:21 19:21,+0:53,\u25b24,5,2012
31,86,+19:55,97,Davis Allan,86,Orica GreenEDGE,19:55 19:55,+-1:53,\u25b211,5,2012
30,87,+20:12,94,Wynants Maarten,87,Rabobank Cycling Team,20:12 20:12,+0:30,\u25b27,5,2012
32,88,+20:20,96,Nuyens Nick,88,Team Saxo Bank - Tinkoff Bank,20:20 20:20,+0:30,\u25b28,5,2012
28,89,+20:26,99,Chainel Steve,89,FDJ - BigMat,20:26 20:26,+0:00,\u25b210,5,2012
30,90,+21:15,101,Mondory Lloyd,90,AG2R La Mondiale,21:15 21:15,+-1:57,\u25b211,5,2012
38,91,+21:22,103,Petacchi Alessandro,91,Lampre - ISD,21:22 21:22,+0:00,\u25b212,5,2012
33,92,+21:49,85,Guti\xe9rrez Jos\xe9 Iv\xe1n,92,Movistar Team,21:49 21:49,+4:49,\u25bc7,5,2012
38,93,+22:17,86,Horrach Joan,93,Team Katusha,22:17 22:17,+4:49,\u25bc7,5,2012
28,94,+22:18,104,Hutarovich Yauheni,94,FDJ - BigMat,22:18 22:18,+0:19,\u25b210,5,2012
33,95,+22:35,100,Cooke Baden,95,Orica GreenEDGE,22:35 22:35,+1:27,\u25b25,5,2012
30,96,+22:52,106,Reynes Vicente,96,Lotto Belisol Team,22:52 22:52,+0:43,\u25b210,5,2012
37,97,+23:28,91,Bruseghin Marzio,97,Movistar Team,23:28 23:28,+4:49,\u25bc6,5,2012
36,98,+24:18,92,Niermann Grischa,98,Rabobank Cycling Team,24:18 24:18,+4:49,\u25bc6,5,2012
28,99,+24:18,108,Terpstra Niki,99,Omega Pharma - Quick-Step,",, 24:18",+0:12,\u25b29,5,2012
28,100,+24:31,93,Dall'Antonia Tiziano,100,Liquigas - Cannondale,24:31 24:31,+4:49,\u25bc7,5,2012
31,101,+24:39,95,Vansummeren Johan,101,Team Garmin - Barracuda,24:39 24:39,+4:49,\u25bc6,5,2012
27,102,+24:43,111,Bazzana Alessandro,102,Team Type 1 - SANOFI,24:43 24:43,+-1:57,\u25b29,5,2012
22,103,+24:48,109,Rowe Luke,103,Sky Procycling,24:48 24:48,+0:12,\u25b26,5,2012
30,104,+24:59,114,Colli Daniele,104,Team Type 1 - SANOFI,24:59 24:59,+0:00,\u25b210,5,2012
27,105,+25:18,116,Breschel Matti,105,Rabobank Cycling Team,25:18 25:18,+-1:57,\u25b211,5,2012
35,106,+26:08,102,Zandio Xabier,106,Sky Procycling,26:08 26:08,+4:49,\u25bc4,5,2012
31,107,+26:54,105,Bazayev Assan,107,Astana Pro Team,26:54 26:54,+4:49,\u25bc2,5,2012
31,108,+27:32,120,Boonen Tom,108,Omega Pharma - Quick-Step,27:32 27:32,+0:12,\u25b212,5,2012
21,109,+27:42,77,Herrada Jes\xfas,109,Movistar Team,27:42 27:42,+14:06,\u25bc32,5,2012
30,110,+28:14,90,Vandborg Brian,110,Spidertech Powered by C10,28:14 28:14,+9:40,\u25bc20,5,2012
30,111,+28:41,107,Efimkin Alexander,111,Team Type 1 - SANOFI,28:41 28:41,+4:49,\u25bc4,5,2012
29,112,+29:25,110,King Edward,112,Liquigas - Cannondale,29:25 29:25,+4:49,\u25bc2,5,2012
24,113,+29:45,112,Guarnieri Jacopo,113,Astana Pro Team,29:45 29:45,+4:49,\u25bc1,5,2012
31,114,+29:50,115,Cancellara Fabian,114,RadioShack - Nissan,29:50 29:50,+4:49,\u25b21,5,2012
24,115,+30:06,98,Lodewyck Klaas,115,BMC Racing Team,30:06 30:06,+9:40,\u25bc17,5,2012
25,116,+30:52,121,Boeckmans Kris,116,Vacansoleil - DCM,30:52 30:52,+1:33,\u25b25,5,2012
24,117,+31:38,118,Sicard Romain,117,Euskaltel - Euskadi,31:38 31:38,+4:49,\u25b21,5,2012
34,118,+31:53,88,Bertagnolli Leonardo,118,Lampre - ISD,31:53 31:53,+14:06,\u25bc30,5,2012
23,119,+31:53,119,Agostini Stefano,119,Liquigas - Cannondale,",, 31:53",+4:49,-,5,2012
28,120,+32:03,126,Vigano Davide,120,Lampre - ISD,32:03 32:03,+1:03,\u25b26,5,2012
38,121,+34:14,137,Hondo Danilo,121,Lampre - ISD,34:14 34:14,+0:12,\u25b216,5,2012
38,122,+34:28,122,O'Grady Stuart,122,Orica GreenEDGE,34:28 34:28,+4:49,-,5,2012
28,123,+34:31,123,Farrar Tyler,123,Team Garmin - Barracuda,34:31 34:31,+4:49,-,5,2012
24,124,+34:38,113,Meyer Cameron,124,Orica GreenEDGE,34:38 34:38,+9:40,\u25bc11,5,2012
22,125,+34:39,124,Trentin Matteo,125,Omega Pharma - Quick-Step,34:39 34:39,+4:49,\u25bc1,5,2012
25,126,+35:21,135,Vinther Troels,126,Team Saxo Bank - Tinkoff Bank,35:21 35:21,+1:30,\u25b29,5,2012
24,127,+35:35,136,B\xe9rard Julien,127,AG2R La Mondiale,35:35 35:35,+1:43,\u25b29,5,2012
27,128,+36:00,117,K\xfcnzli Raimond,128,Spidertech Powered by C10,36:00 36:00,+9:40,\u25bc11,5,2012
29,129,+37:14,127,Bonnet William,129,FDJ - BigMat,37:14 37:14,+4:49,\u25bc2,5,2012
27,130,+37:16,128,Mortensen Martin,130,Vacansoleil - DCM,37:16 37:16,+4:49,\u25bc2,5,2012
23,131,+38:10,139,Viviani Elia,131,Liquigas - Cannondale,38:10 38:10,+0:48,\u25b28,5,2012
31,132,+38:58,142,Steegmans Gert,132,Omega Pharma - Quick-Step,38:58 38:58,+0:30,\u25b210,5,2012
27,133,+40:36,125,M\xf8rk\xf8v Michael,133,Team Saxo Bank - Tinkoff Bank,40:36 40:36,+9:40,\u25bc8,5,2012
29,134,+42:07,129,Kaisen Olivier,134,Lotto Belisol Team,42:07 42:07,+9:40,\u25bc5,5,2012
27,135,+42:09,130,Pineau C\xe9dric,135,FDJ - BigMat,42:09 42:09,+9:40,\u25bc5,5,2012
32,136,+42:31,138,Boucher David,136,FDJ - BigMat,42:31 42:31,+6:55,\u25b22,5,2012
25,137,+42:41,132,Fairly Caleb,137,Spidertech Powered by C10,42:41 42:41,+9:40,\u25bc5,5,2012
22,138,+43:08,134,Boily David,138,Spidertech Powered by C10,43:08 43:08,+9:40,\u25bc4,5,2012
35,139,+43:11,141,Paolini Luca,139,Team Katusha,43:11 43:11,+4:49,\u25b22,5,2012
22,140,+44:33,143,Novikov Nikita,140,Vacansoleil - DCM,44:33 44:33,+3:50,\u25b23,5,2012
26,141,+46:49,131,Bole Grega,141,Lampre - ISD,46:49 46:49,+14:06,\u25bc10,5,2012
23,142,+47:17,140,Boivin Guillaume,142,Spidertech Powered by C10,47:17 47:17,+9:40,\u25bc2,5,2012
26,143,+47:28,133,Konovalovas Ignatas,143,Movistar Team,47:28 47:28,+14:06,\u25bc10,5,2012
29,144,+47:40,146,Anton Igor,144,Euskaltel - Euskadi,47:40 47:40,+4:49,\u25b22,5,2012
30,145,+50:42,144,Sohrabi Mehdi,145,Lotto Belisol Team,50:42 50:42,+9:40,\u25bc1,5,2012
24,146,+52:13,145,Anderson Ryan,146,Spidertech Powered by C10,52:13 52:13,+9:40,\u25bc1,5,2012
32,147,+52:33,147,Urtasun Pablo,147,Euskaltel - Euskadi,52:33 52:33,+9:40,-,5,2012
23,148,+52:45,148,Robert Fr\xe9derique,148,Lotto Belisol Team,52:45 52:45,+9:40,-,5,2012
25,1,+0:00,1,Costa Rui,1,Movistar Team,26:10:55 26:10:55,+0:00,-,6,2012
26,2,+0:50,3,Kreuziger Roman,2,Astana Pro Team,0:50 0:50,+0:35,\u25b21,6,2012
26,3,+0:55,19,Gesink Robert,3,Rabobank Cycling Team,0:55 0:55,+-1:46,\u25b216,6,2012
32,4,+1:04,7,Valverde Alejandro,4,Movistar Team,1:04 1:04,+0:41,\u25b23,6,2012
32,5,+1:04,2,Schleck Fr\xe4nk,5,RadioShack - Nissan,",, 1:04",+0:56,\u25bc3,6,2012
34,6,+1:12,10,Danielson Thomas,6,Team Garmin - Barracuda,1:12 1:12,+0:43,\u25b24,6,2012
38,7,+1:15,13,Leipheimer Levi,7,Omega Pharma - Quick-Step,1:15 1:15,+0:38,\u25b26,6,2012
29,8,+1:17,18,Gusev Vladimir,8,Team Katusha,1:17 1:17,+0:19,\u25b210,6,2012
28,9,+1:22,6,L\xf6fkvist Thomas,9,Sky Procycling,1:22 1:22,+1:01,\u25bc3,6,2012
25,10,+1:27,16,Kruijswijk Steven,10,Rabobank Cycling Team,1:27 1:27,+0:40,\u25b26,6,2012
27,11,+1:34,12,Fuglsang Jakob,11,RadioShack - Nissan,1:34 1:34,+1:01,\u25b21,6,2012
28,12,+1:36,9,Nieve Mikel,12,Euskaltel - Euskadi,1:36 1:36,+1:10,\u25bc3,6,2012
25,13,+1:40,26,Kangert Tanel,13,Astana Pro Team,1:40 1:40,+-1:53,\u25b213,6,2012
22,14,+1:42,4,Pinot Thibaut,14,FDJ - BigMat,1:42 1:42,+1:23,\u25bc10,6,2012
27,15,+1:52,5,Roche Nicolas,15,AG2R La Mondiale,1:52 1:52,+1:31,\u25bc10,6,2012
27,16,+1:52,14,S\xf8rensen Chris Anker,16,Team Saxo Bank - Tinkoff Bank,",, 1:52",+1:12,\u25bc2,6,2012
21,17,+1:59,20,Moser Moreno,17,Liquigas - Cannondale,1:59 1:59,+0:46,\u25b23,6,2012
25,18,+2:03,22,Frank Mathias,18,BMC Racing Team,2:03 2:03,+0:26,\u25b24,6,2012
27,19,+2:09,21,Cataldo Dario,19,Omega Pharma - Quick-Step,2:09 2:09,+0:54,\u25b22,6,2012
25,20,+2:24,11,Ki\u0161erlovski Robert,20,Astana Pro Team,2:24 2:24,+1:52,\u25bc9,6,2012
29,21,+2:25,35,Monfort Maxime,21,RadioShack - Nissan,2:25 2:25,+-1:39,\u25b214,6,2012
33,22,+2:39,8,Gadret John,22,AG2R La Mondiale,2:39 2:39,+2:15,\u25bc14,6,2012
24,23,+2:43,24,Poels Wout,23,Vacansoleil - DCM,2:43 2:43,+1:00,\u25b21,6,2012
25,24,+2:45,28,De Clercq Bart,24,Lotto Belisol Team,2:45 2:45,+0:46,\u25b24,6,2012
32,25,+2:48,27,Astarloza Mikel,25,Euskaltel - Euskadi,2:48 2:48,+0:53,\u25b22,6,2012
33,26,+2:50,25,Bertogliati Rubens,26,Team Type 1 - SANOFI,2:50 2:50,+1:05,\u25bc1,6,2012
30,27,+2:56,17,Cunego Damiano,27,Lampre - ISD,2:56 2:56,+1:59,\u25bc10,6,2012
29,28,+2:57,30,Gerdemann Linus,28,RadioShack - Nissan,2:57 2:57,+0:44,\u25b22,6,2012
24,29,+2:57,23,Izagirre Gorka,29,Euskaltel - Euskadi,",, 2:57",+1:18,\u25bc6,6,2012
31,30,+3:11,36,ten Dam Laurens,30,Rabobank Cycling Team,3:11 3:11,+0:25,\u25b26,6,2012
31,31*,+3:27,15*,Caruso Giampaolo,31*,Team Katusha,3:27 3:27,+2:46,-,6,2012
32,32,+4:07,32,Muravyev Dmitriy,32,Astana Pro Team,4:07 4:07,+1:40,-,6,2012
27,33,+4:15,33,El Fares Julien,33,Team Type 1 - SANOFI,4:15 4:15,+1:42,-,6,2012
36,34,+4:27,37,Barry Michael,34,Sky Procycling,4:27 4:27,+1:25,\u25b23,6,2012
22,35,+4:33,29,Slagter Tom-Jelte,35,Rabobank Cycling Team,4:33 4:33,+2:34,\u25bc6,6,2012
21,36,+5:04,34,Preidler Georg,36,Team Type 1 - SANOFI,5:04 5:04,+2:20,\u25bc2,6,2012
22,37,+5:24,31,Puccio Salvatore,37,Sky Procycling,5:24 5:24,+3:11,\u25bc6,6,2012
28,38,+5:49,39,Burghardt Marcus,38,BMC Racing Team,5:49 5:49,+1:37,\u25b21,6,2012
36,39,+6:23,44,Kl\xf6den Andr\xe9as,39,RadioShack - Nissan,6:23 6:23,+-1:57,\u25b25,6,2012
27,40,+6:31,41,Rojas Jos\xe9 Joaqu\xedn,40,Movistar Team,6:31 6:31,+1:33,\u25b21,6,2012
25,41,+7:00,38,Peterson Tom,41,Team Garmin - Barracuda,7:00 7:00,+3:42,\u25bc3,6,2012
29,42,+7:03,40,Hoogerland Johnny,42,Vacansoleil - DCM,7:03 7:03,+2:38,\u25bc2,6,2012
26,43,+7:21,45,Kohler Martin,43,BMC Racing Team,7:21 7:21,+0:48,\u25b22,6,2012
27,44,+7:34,42,Gavazzi Francesco,44,Astana Pro Team,7:34 7:34,+2:34,\u25bc2,6,2012
35,45,+8:36,46,Gustov Volodymyr,45,Team Saxo Bank - Tinkoff Bank,8:36 8:36,+1:58,\u25b21,6,2012
28,46,+8:53,51,Roy J\xe9r\xe9my,46,FDJ - BigMat,8:53 8:53,+-1:44,\u25b25,6,2012
31,47,+9:10,43,Albasini Michael,47,Orica GreenEDGE,9:10 9:10,+3:26,\u25bc4,6,2012
26,48,+9:36,49,Stybar Zdenek,48,Omega Pharma - Quick-Step,9:36 9:36,+0:56,\u25b21,6,2012
