Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
30,17,+0:57,17,Cunego Damiano,17,Lampre - ISD,0:57 0:57,+0:00,-,2,2012
29,18,+0:58,18,Gusev Vladimir,18,Team Katusha,0:58 0:58,+0:00,-,2,2012
21,19,+1:01,19,Moser Moreno,19,Liquigas - Cannondale,1:01 1:01,+0:00,-,2,2012
26,20,+1:09,20,Gesink Robert,20,Rabobank Cycling Team,1:09 1:09,+0:00,-,2,2012
27,21,+1:15,21,Cataldo Dario,21,Omega Pharma - Quick-Step,1:15 1:15,+0:00,-,2,2012
35,22,+1:33,22,Gustov Volodymyr,22,Team Saxo Bank - Tinkoff Bank,1:33 1:33,+0:00,-,2,2012
25,23,+1:37,23,Frank Mathias,23,BMC Racing Team,1:37 1:37,+0:00,-,2,2012
24,24,+1:39,25,Izagirre Gorka,24,Euskaltel - Euskadi,1:39 1:39,+0:00,\u25b21,2,2012
24,25,+1:43,26,Poels Wout,25,Vacansoleil - DCM,1:43 1:43,+0:00,\u25b21,2,2012
33,26,+1:45,27,Bertogliati Rubens,26,Team Type 1 - SANOFI,1:45 1:45,+0:00,\u25b21,2,2012
25,27,+1:47,28,Kangert Tanel,27,Astana Pro Team,1:47 1:47,+0:00,\u25b21,2,2012
32,28,+1:55,29,Astarloza Mikel,28,Euskaltel - Euskadi,1:55 1:55,+0:00,\u25b21,2,2012
25,29,+1:59,31,De Clercq Bart,29,Lotto Belisol Team,1:59 1:59,+0:00,\u25b22,2,2012
22,30,+1:59,32,Slagter Tom-Jelte,30,Rabobank Cycling Team,",, 1:59",+0:00,\u25b22,2,2012
24,31,+2:04,33,Valls Rafael,31,Vacansoleil - DCM,2:04 2:04,+0:00,\u25b22,2,2012
27,32,+2:13,35,Velits Peter,32,Omega Pharma - Quick-Step,2:13 2:13,+0:00,\u25b23,2,2012
29,33,+2:13,36,Gerdemann Linus,33,RadioShack - Nissan,",, 2:13",+0:00,\u25b23,2,2012
32,34,+2:15,37,Muravyev Dmitriy,34,Astana Pro Team,2:15 2:15,+0:00,\u25b23,2,2012
37,35,+2:17,38,Bruseghin Marzio,35,Movistar Team,2:17 2:17,+0:00,\u25b23,2,2012
28,36,+2:21,39,Bookwalter Brent,36,BMC Racing Team,2:21 2:21,+0:00,\u25b23,2,2012
31,37,+2:27,30,Cummings Stephen,37,BMC Racing Team,2:27 2:27,+0:28,\u25bc7,2,2012
21,38,+2:27,41,Herrada Jes\xfas,38,Movistar Team,",, 2:27",+0:00,\u25b23,2,2012
31,39,+2:30,42,Karpets Vladimir,39,Movistar Team,2:30 2:30,+0:00,\u25b23,2,2012
27,40,+2:33,43,El Fares Julien,40,Team Type 1 - SANOFI,2:33 2:33,+0:00,\u25b23,2,2012
22,41,+2:42,44,Juul-Jensen Christopher,41,Team Saxo Bank - Tinkoff Bank,2:42 2:42,+0:00,\u25b23,2,2012
21,42,+2:44,45,Preidler Georg,42,Team Type 1 - SANOFI,2:44 2:44,+0:00,\u25b23,2,2012
29,43,+2:46,46,Monfort Maxime,43,RadioShack - Nissan,2:46 2:46,+0:00,\u25b23,2,2012
31,44,+2:46,47,ten Dam Laurens,44,Rabobank Cycling Team,",, 2:46",+0:00,\u25b23,2,2012
36,45,+3:02,49,Barry Michael,45,Sky Procycling,3:02 3:02,+0:00,\u25b24,2,2012
25,46,+3:18,51,Peterson Tom,46,Team Garmin - Barracuda,3:18 3:18,+0:00,\u25b25,2,2012
28,47,+3:33,52,Euser Lucas,47,,3:33 3:33,+0:00,\u25b25,2,2012
28,48,+3:46,53,Roy J\xe9r\xe9my,48,FDJ - BigMat,3:46 3:46,+0:00,\u25b25,2,2012
31,49,+4:10,56,Vansummeren Johan,49,Team Garmin - Barracuda,4:10 4:10,+0:00,\u25b27,2,2012
