Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,UCI.1,stage,year
35,,148,108.0,+29:31,,Zaugg Oliver,126,IAM Cycling,",, 23:34",,,5,2016
31,,82,132.0,+34:59,,Fr\xf6hlinger Johannes,127,Team Giant - Alpecin,",, 23:34",,,5,2016
26,,212,106.0,+29:26,,Stachowiak Adam,128,VERVA ActiveJet Pro Cycling Team,",, 23:34",,,5,2016
26,,213,109.0,+29:35,,Polnicky Jiri,129,VERVA ActiveJet Pro Cycling Team,",, 23:34",,,5,2016
31,,93,86.0,+25:38,,Breschel Matti,130,Cannondale Pro Cycling Team,",, 23:34",,,5,2016
29,,188,99.0,+29:04,,Marycz Jaroslaw,131,CCC Sprandi Polkowice,",, 23:34",,,5,2016
27,,64,142.0,+39:11,,Castelijns Twan,132,Team LottoNL-Jumbo,",, 23:34",,,5,2016
32,,124,151.0,+44:26,,Farrar Tyler,133,Team Dimension Data,",, 23:34",,,5,2016
26,,62,88.0,+26:12,,Van Asbroeck Tom,134,Team LottoNL-Jumbo,",, 23:34",,,5,2016
28,,138,97.0,+28:45,,R\xe9za K\xe9vin,135,FDJ,",, 23:34",,,5,2016
30,,105,75.0,+23:11,,Roelandts Jurgen,136,Lotto Soudal,",, 23:34",,,5,2016
28,,24,119.0,+31:06,,Bewley Sam,137,Orica GreenEDGE,",, 23:34",,,5,2016
33,,117,76.0,+23:19,,Richeze Ariel Maximiliano,138,Etixx - Quick Step,",, 23:34",,,5,2016
32,,73,155.0,+47:41,,Bono Matteo,139,Lampre - Merida,",, 23:34",,,5,2016
28,,196,84.0,+25:27,,Pasqualon Andrea,140,Team Roth,",, 23:34",,,5,2016
30,,14,148.0,+42:45,,Reijnen Kiel,141,Trek - Segafredo,",, 23:34",,,5,2016
25,,95,107.0,+29:29,,Skuji\u0146\u0161 Toms,142,Cannondale Pro Cycling Team,",, 23:34",,,5,2016
26,,142,128.0,+34:02,,Br\xe4ndle Matthias,143,IAM Cycling,",, 23:34",,,5,2016
23,,27,103.0,+29:22,,Cort Nielsen Magnus,144,Orica GreenEDGE,23:48 23:48,,,5,2016
38,,25,90.0,+26:27,,Hayman Mathew,145,Orica GreenEDGE,",, 23:48",,,5,2016
25,,116,116.0,+30:36,,Lampaert Yves,146,Etixx - Quick Step,",, 23:48",,,5,2016
31,,72,105.0,+29:25,,Arashiro Yukiya,147,Lampre - Merida,23:51 23:51,,,5,2016
30,,152,136.0,+37:43,,Boom Lars,148,Astana Pro Team,24:05 24:05,,,5,2016
32,,143,113.0,+30:03,,Devenyns Dries,149,IAM Cycling,24:31 24:31,,,5,2016
30,,128,130.0,+34:45,,Thomson Jay Robert,150,Team Dimension Data,26:48 26:48,,,5,2016
27,,153,125.0,+33:09,,de Vreese Laurens,151,Astana Pro Team,27:55 27:55,,,5,2016
31,,44,122.0,+31:30,,Gatto Oscar,152,Tinkoff,29:46 29:46,,,5,2016
26,,74,150.0,+44:07,,Cimolai Davide,153,Lampre - Merida,",, 29:46",,,5,2016
27,,208,159.0,+1:01:22,,de Vries Berden,154,Roompot - Oranje Peloton,",, 29:46",,,5,2016
33,,158,156.0,+49:17,,Westra Lieuwe,155,Astana Pro Team,",, 29:46",,,5,2016
28,,45,140.0,+38:28,,Rovny Ivan,156,Tinkoff,",, 29:46",,,5,2016
31,,42,149.0,+43:22,,Bodnar Maciej,157,Tinkoff,",, 29:46",,,5,2016
23,,43,123.0,+32:29,,McCarthy Jay,158,Tinkoff,",, 29:46",,,5,2016
26,,204,135.0,+37:34,,Kreder Raymond,159,Roompot - Oranje Peloton,",, 29:46",,,5,2016
22,,58,,+ - 18:04:54,,van Poppel Danny,DNF,Team Sky,-3:41:52 -3:41:52,,,5,2016
28,,84,,+ - 18:04:54,,Ji Cheng,DNF,Team Giant - Alpecin,",, -3:41:52",,,5,2016
25,,85,,+ - 18:04:54,,Ludvigsson Tobias,DNF,Team Giant - Alpecin,",, -3:41:52",,,5,2016
22,,112,,+ - 18:04:54,,Contreras Rodrigo,DNF,Etixx - Quick Step,",, -3:41:52",,,5,2016
31,,123,,+ - 18:04:54,,Brammeier Matthew,DNF,Team Dimension Data,",, -3:41:52",,,5,2016
22,,135,,+ - 18:04:54,,Lecuisinier Pierre-Henri,DNF,FDJ,",, -3:41:52",,,5,2016
27,,174,,+ - 18:04:54,,Dowsett Alex,DNF,Movistar Team,",, -3:41:52",,,5,2016
24,,214,,+ - 18:04:54,,Hnik Karel,DNF,VERVA ActiveJet Pro Cycling Team,",, -3:41:52",,,5,2016
25,,134,,+ - 18:04:54,,Le Bon Johan,DNF,FDJ,",, -3:41:52",,,5,2016
22,,136,,+ - 18:04:54,,Maison J\xe9r\xe9my,DNF,FDJ,",, -3:41:52",,,5,2016
31,,107,,+ - 18:04:54,,Vanendert Jelle,DNS,Lotto Soudal,",, -3:41:52",,,5,2016
35,,201,42.0,+22:56,50.0,Weening Pieter,1,Roompot - Oranje Peloton,4:33:47 4:33:47,6.0,60.0,6,2016
33,,117,41.0,+21:13,30.0,Richeze Ariel Maximiliano,2,Etixx - Quick Step,2:37 2:37,4.0,25.0,6,2016
29,,186,53.0,+29:10,18.0,Paterski Maciej,3,CCC Sprandi Polkowice,3:57 3:57,2.0,10.0,6,2016
29,,94,52.0,+29:00,13.0,Koren Kristijan,4,Cannondale Pro Cycling Team,4:13 4:13,1.0,,6,2016
25,,65,1.0,+0:00,10.0,Kelderman Wilco,5,Team LottoNL-Jumbo,4:31 4:31,1.0,,6,2016
27,,91,3.0,+0:19,7.0,Talansky Andrew,6,Cannondale Pro Cycling Team,",, 4:31",,,6,2016
24,,81,2.0,+0:16,4.0,Barguil Warren,7,Team Giant - Alpecin,",, 4:31",,,6,2016
27,,171,4.0,+0:34,3.0,Izagirre Ion,8,Movistar Team,4:35 4:35,,,6,2016
22,,151,5.0,+0:39,2.0,Lopez Miguel Angel,9,Astana Pro Team,4:36 4:36,,,6,2016
29,,1,7.0,+0:52,1.0,Spilak Simon,10,Team Katusha,4:39 4:39,,,6,2016
25,,92,32.0,+14:31,,Dombrowski Joe,11,Cannondale Pro Cycling Team,4:42 4:42,,,6,2016
25,,218,22.0,+6:51,,Sim\xf3n Jordi,12,VERVA ActiveJet Pro Cycling Team,4:57 4:57,,,6,2016
27,,146,10.0,+1:03,,Pantano Jarlinson,13,IAM Cycling,5:00 5:00,,,6,2016
28,,176,9.0,+0:59,,Izagirre Gorka,14,Movistar Team,5:03 5:03,,,6,2016
22,,164,6.0,+0:51,,Latour Pierre,15,AG2R La Mondiale,5:22 5:22,,,6,2016
30,,51,8.0,+0:56,,Thomas Geraint,16,Team Sky,",, 5:22",,,6,2016
22,,103,17.0,+5:34,,Benoot Tiesj,17,Lotto Soudal,5:28 5:28,,,6,2016
29,,71,11.0,+1:34,,Costa Rui,18,Lampre - Merida,5:30 5:30,,,6,2016
26,,3,12.0,+2:07,,Chernetski Sergei,19,Team Katusha,5:32 5:32,,,6,2016
27,,194,77.0,+36:00,,Br\xfcngger Nico,20,Team Roth,5:44 5:44,,,6,2016
24,,77,20.0,+6:00,,Polanc Jan,21,Lampre - Merida,5:49 5:49,,,6,2016
29,,184,14.0,+5:01,,De La Parte V\xedctor,22,CCC Sprandi Polkowice,5:50 5:50,,,6,2016
33,,34,33.0,+14:39,,Gilbert Philippe,23,BMC Racing Team,6:03 6:03,,,6,2016
28,,138,56.0,+30:16,,R\xe9za K\xe9vin,24,FDJ,",, 6:03",,,6,2016
30,,211,16.0,+5:24,,Cie\u015blik Pawe\u0142,25,VERVA ActiveJet Pro Cycling Team,",, 6:03",,,6,2016
22,,185,19.0,+5:57,,Grossschartner Felix,26,CCC Sprandi Polkowice,6:17 6:17,,,6,2016
28,,32,15.0,+5:06,,Atapuma John Darwin,27,BMC Racing Team,6:22 6:22,,,6,2016
27,,31,13.0,+2:09,,van Garderen Tejay,28,BMC Racing Team,",, 6:22",,,6,2016
25,,122,24.0,+7:02,,Berhane Natnael,29,Team Dimension Data,",, 6:22",,,6,2016
30,,102,21.0,+6:09,,Arm\xe9e Sander,30,Lotto Soudal,6:30 6:30,,,6,2016
37,,144,27.0,+12:01,,Elmiger Martin,31,IAM Cycling,6:57 6:57,,,6,2016
28,,104,47.0,+25:12,,Ligthart Pim,32,Lotto Soudal,",, 6:57",,,6,2016
27,,172,34.0,+15:38,,Anacona Winner,33,Movistar Team,7:42 7:42,,,6,2016
25,,106,55.0,+30:11,,Van der Sande Tosh,34,Lotto Soudal,7:46 7:46,,,6,2016
23,,115,18.0,+5:42,,Vakoc Petr,35,Etixx - Quick Step,8:06 8:06,,,6,2016
33,,113,110.0,+45:18,,Keisse Iljo,36,Etixx - Quick Step,",, 8:06",,,6,2016
36,,13,113.0,+45:47,,Rast Gregory,37,Trek - Segafredo,8:35 8:35,,,6,2016
36,,15,26.0,+11:56,,Schleck Fr\xe4nk,38,Trek - Segafredo,",, 8:35",,,6,2016
29,,175,45.0,+24:03,,Castroviejo Jonathan,39,Movistar Team,8:48 8:48,,,6,2016
22,,63,35.0,+17:11,,Bouwman Koen,40,Team LottoNL-Jumbo,9:56 9:56,,,6,2016
21,,131,57.0,+30:26,,Eiking Odd Christian,41,FDJ,10:06 10:06,,,6,2016
28,,16,30.0,+13:48,,Stetina Peter,42,Trek - Segafredo,10:18 10:18,,,6,2016
30,,83,28.0,+12:22,,Geschke Simon,43,Team Giant - Alpecin,10:51 10:51,,,6,2016
35,,56,40.0,+20:43,,Lopez David,44,Team Sky,",, 10:51",,,6,2016
34,,55,25.0,+8:36,,Kiryienka Vasil,45,Team Sky,",, 10:51",,,6,2016
36,,155,23.0,+6:58,,Scarponi Michele,46,Astana Pro Team,",, 10:51",,,6,2016
35,,5,43.0,+23:18,,Lagutin Sergey,47,Team Katusha,11:01 11:01,,,6,2016
39,,161,75.0,+35:53,,Peraud Jean-Christophe,48,AG2R La Mondiale,",, 11:01",,,6,2016
26,,118,82.0,+37:21,,Vermote Julien,49,Etixx - Quick Step,11:12 11:12,,,6,2016
24,,133,29.0,+12:47,,Elissonde Kenny,50,FDJ,11:15 11:15,,,6,2016
25,,52,31.0,+14:22,,Boswell Ian,51,Team Sky,",, 11:15",,,6,2016
28,,154,48.0,+26:14,,Malacarne Davide,52,Astana Pro Team,11:26 11:26,,,6,2016
23,,178,59.0,+30:55,,S\xfctterlin Jasha,53,Movistar Team,11:31 11:31,,,6,2016
22,,215,67.0,+34:05,,Koch Jonas,54,VERVA ActiveJet Pro Cycling Team,11:55 11:55,,,6,2016
30,,38,37.0,+18:02,,Wyss Danilo,55,BMC Racing Team,12:27 12:27,,,6,2016
29,,36,38.0,+18:06,,Schar Michael,56,BMC Racing Team,",, 12:27",,,6,2016
35,,148,84.0,+37:54,,Zaugg Oliver,57,IAM Cycling,12:54 12:54,,,6,2016
28,,54,66.0,+33:54,,K\xf6nig Leopold,58,Team Sky,",, 12:54",,,6,2016
23,,98,93.0,+40:17,,Zepuntke Ruben,59,Cannondale Pro Cycling Team,13:36 13:36,,,6,2016
20,,87,36.0,+17:45,,Oomen Sam,60,Team Giant - Alpecin,13:45 13:45,,,6,2016
26,,213,87.0,+38:49,,Polnicky Jiri,61,VERVA ActiveJet Pro Cycling Team,",, 13:45",,,6,2016
32,,4,81.0,+37:11,,Kozonchuk Dmitry,62,Team Katusha,14:07 14:07,,,6,2016
27,,66,64.0,+32:53,,Lindeman Bert-Jan,63,Team LottoNL-Jumbo,15:17 15:17,,,6,2016
35,,157,127.0,+51:16,,Vanotti Alessandro,64,Astana Pro Team,15:29 15:29,,,6,2016
31,,132,73.0,+35:25,,Pineau C\xe9dric,65,FDJ,15:44 15:44,,,6,2016
35,,162,39.0,+18:25,,Dupont Hubert,66,AG2R La Mondiale,15:49 15:49,,,6,2016
23,,173,58.0,+30:46,,Arcas Jorge,67,Movistar Team,16:51 16:51,,,6,2016
35,,166,60.0,+31:02,,Riblon Christophe,68,AG2R La Mondiale,17:53 17:53,,,6,2016
25,,183,94.0,+40:28,,Hirt Jan,69,CCC Sprandi Polkowice,18:35 18:35,,,6,2016
29,,147,70.0,+34:42,,Wyss Marcel,70,IAM Cycling,19:01 19:01,,,6,2016
30,,145,88.0,+39:19,,Hollenstein Reto,71,IAM Cycling,",, 19:01",,,6,2016
30,,191,130.0,+52:19,,Kohler Martin,72,Team Roth,",, 19:01",,,6,2016
26,,142,119.0,+48:32,,Br\xe4ndle Matthias,73,IAM Cycling,",, 19:01",,,6,2016
30,,111,80.0,+37:06,,Stybar Zdenek,74,Etixx - Quick Step,",, 19:01",,,6,2016
21,,8,85.0,+38:16,,Restrepo Jhonatan,75,Team Katusha,",, 19:01",,,6,2016
24,,207,106.0,+44:19,,van der Lijke Nick,76,Roompot - Oranje Peloton,",, 19:01",,,6,2016
35,,57,65.0,+33:07,,Knees Christian,77,Team Sky,",, 19:01",,,6,2016
32,,73,141.0,+1:02:11,,Bono Matteo,78,Lampre - Merida,",, 19:01",,,6,2016
36,,12,146.0,+1:07:04,,Devolder Stijn,79,Trek - Segafredo,",, 19:01",,,6,2016
21,,114,108.0,+44:59,,Gaviria Fernando,80,Etixx - Quick Step,",, 19:01",,,6,2016
27,,193,105.0,+44:06,,Krizek Matthias,81,Team Roth,",, 19:01",,,6,2016
23,,197,139.0,+1:01:12,,St\xfcssi Colin,82,Team Roth,",, 19:01",,,6,2016
31,,82,122.0,+49:29,,Fr\xf6hlinger Johannes,83,Team Giant - Alpecin,",, 19:01",,,6,2016
26,,204,128.0,+52:04,,Kreder Raymond,84,Roompot - Oranje Peloton,",, 19:01",,,6,2016
36,,78,49.0,+26:39,,Niemiec Przemyslaw,85,Lampre - Merida,",, 19:01",,,6,2016
27,,108,111.0,+45:35,,Wallays Jelle,86,Lotto Soudal,",, 19:01",,,6,2016
32,,53,51.0,+28:03,,Go\u0142a\u015b Micha\u0142,87,Team Sky,",, 19:01",,,6,2016
29,,187,102.0,+43:46,,Ponzi Simone,88,CCC Sprandi Polkowice,",, 19:01",,,6,2016
22,,202,68.0,+34:29,,Tolhoek Antwan,89,Roompot - Oranje Peloton,",, 19:01",,,6,2016
24,,17,92.0,+40:17,,Stuyven Jasper,90,Trek - Segafredo,",, 19:01",,,6,2016
25,,116,109.0,+45:06,,Lampaert Yves,91,Etixx - Quick Step,",, 19:01",,,6,2016
28,,75,69.0,+34:37,,Durasek Kristijan,92,Lampre - Merida,",, 19:01",,,6,2016
27,,153,116.0,+47:39,,de Vreese Laurens,93,Astana Pro Team,",, 19:01",,,6,2016
31,,93,91.0,+40:08,,Breschel Matti,94,Cannondale Pro Cycling Team,",, 19:01",,,6,2016
28,,196,90.0,+39:57,,Pasqualon Andrea,95,Team Roth,",, 19:01",,,6,2016
35,,11,100.0,+42:49,,Cancellara Fabian,96,Trek - Segafredo,",, 19:01",,,6,2016
35,,21,86.0,+38:45,,Albasini Michael,97,Orica GreenEDGE,",, 19:01",,,6,2016
24,,37,101.0,+43:40,,Teuns Dylan,98,BMC Racing Team,",, 19:01",,,6,2016
37,,68,63.0,+31:25,,Tankink Bram,99,Team LottoNL-Jumbo,",, 19:01",,,6,2016
26,,62,95.0,+40:42,,Van Asbroeck Tom,100,Team LottoNL-Jumbo,",, 19:01",,,6,2016
27,,208,148.0,+1:15:52,,de Vries Berden,101,Roompot - Oranje Peloton,",, 19:01",,,6,2016
38,,25,96.0,+40:57,,Hayman Mathew,102,Orica GreenEDGE,",, 19:01",,,6,2016
28,,203,120.0,+49:02,,Kreder Michel,103,Roompot - Oranje Peloton,",, 19:01",,,6,2016
27,,64,131.0,+53:41,,Castelijns Twan,104,Team LottoNL-Jumbo,",, 19:01",,,6,2016
32,,67,83.0,+37:35,,Martens Paul,105,Team LottoNL-Jumbo,",, 19:01",,,6,2016
31,,205,78.0,+36:31,,Duijn Huub,106,Roompot - Oranje Peloton,",, 19:01",,,6,2016
27,,125,89.0,+39:37,,Janse van Rensburg Reinardt,107,Team Dimension Data,",, 19:01",,,6,2016
28,,24,112.0,+45:36,,Bewley Sam,108,Orica GreenEDGE,",, 19:01",,,6,2016
26,,212,104.0,+43:56,,Stachowiak Adam,109,VERVA ActiveJet Pro Cycling Team,",, 19:01",,,6,2016
33,,28,72.0,+35:07,,Txurruka Amets,110,Orica GreenEDGE,",, 19:01",,,6,2016
26,,26,44.0,+23:37,,Juul-Jensen Christopher,111,Orica GreenEDGE,",, 19:01",,,6,2016
25,,23,99.0,+41:46,,Durbridge Luke,112,Orica GreenEDGE,",, 19:01",,,6,2016
25,,22,62.0,+31:24,,Matthews Michael,113,Orica GreenEDGE,",, 19:01",,,6,2016
23,,86,54.0,+30:10,,Lunke Sindre Skj\xf8stad,114,Team Giant - Alpecin,",, 19:01",,,6,2016
24,,2,74.0,+35:37,,Bystr\xf8m Sven Erik,115,Team Katusha,",, 19:01",,,6,2016
34,,165,107.0,+44:52,,Minard S\xe9bastien,116,AG2R La Mondiale,",, 19:01",,,6,2016
25,,33,50.0,+27:24,,Dillier Silvan,117,BMC Racing Team,",, 19:01",,,6,2016
21,,7,46.0,+24:22,,Mamykin Matvey,118,Team Katusha,",, 19:01",,,6,2016
30,,14,135.0,+57:15,,Reijnen Kiel,119,Trek - Segafredo,",, 19:01",,,6,2016
28,,18,79.0,+36:36,,Zoidl Riccardo,120,Trek - Segafredo,",, 19:01",,,6,2016
25,,216,118.0,+48:26,,Gradek Kamil,121,VERVA ActiveJet Pro Cycling Team,",, 19:01",,,6,2016
35,,88,76.0,+35:59,,ten Dam Laurens,122,Team Giant - Alpecin,",, 19:01",,,6,2016
