Rnk,Prev,\u25bc\u25b2,BIB,Rider,Age,Team,GC,GC-Time,Time,Time won/lost,year,stage
84,11,\u25bc73,107,Matthews Michael,24,Orica GreenEDGE,84,+10:17,10:17 10:17,+10:09,2015,2
85,13,\u25bc72,34,Drucker Jean-Pierre,28,BMC Racing Team,85,+10:18,10:18 10:18,+10:09,2015,2
86,28,\u25bc58,128,Roelandts Jurgen,29,Lotto Soudal,86,+10:18,",, 10:18",+10:06,2015,2
87,18,\u25bc69,146,Stybar Zdenek,29,Etixx - Quick Step,87,+10:19,10:19 10:19,+10:09,2015,2
88,23,\u25bc65,67,Vanmarcke Sep,26,Team LottoNL-Jumbo,88,+10:20,10:20 10:20,+10:09,2015,2
89,33,\u25bc56,186,Marcato Marco,31,Wanty - Groupe Gobert,89,+10:23,10:23 10:23,+10:09,2015,2
90,34,\u25bc56,164,Gaudin Damien,28,AG2R La Mondiale,90,+10:24,10:24 10:24,+10:09,2015,2
91,36,\u25bc55,81,Degenkolb John,26,Team Giant - Alpecin,91,+10:24,",, 10:24",+10:09,2015,2
92,38,\u25bc54,64,Martens Paul,31,Team LottoNL-Jumbo,92,+10:25,10:25 10:25,+10:09,2015,2
93,56,\u25bc37,165,Turgot S\xe9bastien,31,AG2R La Mondiale,93,+10:27,10:27 10:27,+10:09,2015,2
94,61,\u25bc33,125,De Gendt Thomas,28,Lotto Soudal,94,+10:28,10:28 10:28,+10:09,2015,2
95,68,\u25bc27,16,Rast Gregory,35,Trek Factory Racing,95,+10:29,10:29 10:29,+10:09,2015,2
96,73,\u25bc23,141,Kwiatkowski Michal,25,Etixx - Quick Step,96,+10:30,10:30 10:30,+10:09,2015,2
97,74,\u25bc23,154,Agnoli Valerio,30,Astana Pro Team,97,+10:30,",, 10:30",+10:09,2015,2
98,84,\u25bc14,183,Baugnies Jerome,28,Wanty - Groupe Gobert,98,+10:32,10:32 10:32,+10:09,2015,2
99,86,\u25bc13,73,Haller Marco,24,Team Katusha,99,+10:32,",, 10:32",+10:09,2015,2
100,89,\u25bc11,75,Kuznetsov Viacheslav,25,Team Katusha,100,+10:33,10:33 10:33,+10:09,2015,2
101,93,\u25bc8,103,Clarke Simon,28,Orica GreenEDGE,101,+10:34,10:34 10:34,+10:09,2015,2
102,95,\u25bc7,92,Bettiol Alberto,21,Team Cannondale - Garmin,102,+10:34,",, 10:34",+10:09,2015,2
103,98,\u25bc5,153,Fominykh Daniil,23,Astana Pro Team,103,+10:35,10:35 10:35,+10:09,2015,2
104,118,\u25b214,97,Mohoric Matej,20,Team Cannondale - Garmin,104,+10:39,10:39 10:39,+10:09,2015,2
105,125,\u25b220,173,Rutkiewicz Marek,34,CCC Sprandi Polkowice,105,+10:41,10:41 10:41,+10:09,2015,2
106,130,\u25b224,87,Jones Carter,26,Team Giant - Alpecin,106,+10:42,10:42 10:42,+10:09,2015,2
107,137,\u25b230,168,Domont Axel,24,AG2R La Mondiale,107,+10:43,10:43 10:43,+10:09,2015,2
108,2,\u25bc106,11,Cancellara Fabian,34,Trek Factory Racing,108,+13:17,13:17 13:17,+13:15,2015,2
109,20,\u25bc89,95,King Benjamin,26,Team Cannondale - Garmin,109,+13:25,13:25 13:25,+13:15,2015,2
110,25,\u25bc85,98,Moser Moreno,24,Team Cannondale - Garmin,110,+13:27,13:27 13:27,+13:15,2015,2
111,27,\u25bc84,42,Bennati Daniele,34,Tinkoff - Saxo,111,+13:27,",, 13:27",+13:15,2015,2
112,39,\u25bc73,142,Cavendish Mark,30,Etixx - Quick Step,112,+13:31,13:31 13:31,+13:15,2015,2
113,40,\u25bc73,68,Teunissen Mike,22,Team LottoNL-Jumbo,113,+13:31,",, 13:31",+13:15,2015,2
114,53,\u25bc61,105,Hayman Mathew,37,Orica GreenEDGE,114,+13:32,13:32 13:32,+13:15,2015,2
115,69,\u25bc46,88,Preidler Georg,24,Team Giant - Alpecin,115,+13:35,13:35 13:35,+13:15,2015,2
116,71,\u25bc45,124,de Buyst Jasper,21,Lotto Soudal,116,+13:35,",, 13:35",+13:15,2015,2
117,80,\u25bc37,145,Renshaw Mark,32,Etixx - Quick Step,117,+13:38,13:38 13:38,+13:15,2015,2
118,81,\u25bc37,63,Lindeman Bert-Jan,25,Team LottoNL-Jumbo,118,+13:38,",, 13:38",+13:15,2015,2
119,83,\u25bc36,45,Brutt Pavel,33,Tinkoff - Saxo,119,+13:38,",, 13:38",+13:15,2015,2
120,90,\u25bc30,84,de Kort Koen,32,Team Giant - Alpecin,120,+13:39,13:39 13:39,+13:15,2015,2
121,102,\u25bc19,43,Trusov Nikolay,29,Tinkoff - Saxo,121,+13:42,13:42 13:42,+13:15,2015,2
122,106,\u25bc16,133,Chavanel S\xe9bastien,32,FDJ,122,+13:43,13:43 13:43,+13:15,2015,2
123,115,\u25bc8,126,Dehaes Kenny,30,Lotto Soudal,123,+13:44,13:44 13:44,+13:15,2015,2
124,122,\u25bc2,166,Kadri Blel,28,AG2R La Mondiale,124,+13:46,13:46 13:46,+13:15,2015,2
125,123,\u25bc2,185,Antonini Simone,24,Wanty - Groupe Gobert,125,+13:46,",, 13:46",+13:15,2015,2
126,126,-,2,Bonifazio Niccolo,21,Lampre - Merida,126,+13:47,13:47 13:47,+13:15,2015,2
