Rnk,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
22,Valls Rafael,22,Footon-Servetto,,16.0,22,+5:43,5:43 5:43,+5:43,2010,8
23,Castroviejo Jonathan,23,Euskaltel - Euskadi,,14.0,23,+6:00,6:00 6:00,+6:00,2010,8
24,Danielson Thomas,32,Team Garmin - Transitions,,12.0,24,+7:43,7:43 7:43,+7:43,2010,8
25,Fr\xf6hlinger Johannes,25,Milram,,10.0,25,+9:34,9:34 9:34,+9:34,2010,8
26,Casar Sandy,31,Francaise des Jeux,,9.0,26,+10:20,10:20 10:20,+10:20,2010,8
27,Oroz Juan Jos\xe9,29,Euskaltel - Euskadi,,8.0,27,+10:21,10:21 10:21,+10:21,2010,8
28,Rojas Jos\xe9 Joaqu\xedn,25,Caisse d'Epargne,,7.0,28,+11:24,11:24 11:24,+11:24,2010,8
29,Mollema Bauke,23,Rabobank ProTeam,,6.0,29,+11:45,11:45 11:45,+11:45,2010,8
30,Hincapie George,36,BMC Racing Team,,5.0,30,+11:48,11:48 11:48,+11:48,2010,8
31,Flecha Juan Antonio,32,Sky Procycling,,5.0,31,+14:46,14:46 14:46,+14:46,2010,8
32,Pauwels Serge,26,Sky Procycling,,5.0,32,+15:26,15:26 15:26,+15:26,2010,8
33,Costa Rui,23,Caisse d'Epargne,,5.0,33,+18:13,18:13 18:13,+18:13,2010,8
34,Guti\xe9rrez Jos\xe9 Iv\xe1n,31,Caisse d'Epargne,,5.0,34,+18:34,18:34 18:34,+18:34,2010,8
35,Sanchez Luis Leon,26,Caisse d'Epargne,,5.0,35,+20:06,20:06 20:06,+20:06,2010,8
36,Poels Wout,22,Vacansoleil,,5.0,36,+21:54,21:54 21:54,+21:54,2010,8
37,Chavanel Sylvain,30,Quickstep - Innergetic,,5.0,37,+22:30,22:30 22:30,+22:30,2010,8
38,Marcato Marco,26,Vacansoleil,,5.0,38,+22:39,22:39 22:39,+22:39,2010,8
39,Renev Sergey,25,Astana,,5.0,39,+22:57,22:57 22:57,+22:57,2010,8
40,Txurruka Amets,27,Euskaltel - Euskadi,,5.0,40,+23:00,23:00 23:00,+23:00,2010,8
41,Lastras Pablo,34,Caisse d'Epargne,,5.0,41,+23:29,23:29 23:29,+23:29,2010,8
42,Van Avermaet Greg,25,Omega Pharma-Lotto,,5.0,42,+23:30,23:30 23:30,+23:30,2010,8
43,Carlstr\xf6m Kjell,33,Sky Procycling,,5.0,43,+23:38,23:38 23:38,+23:38,2010,8
