Rnk,Rider,Age,Team,Pnt,Time won/lost,year,stage
29,van Mechelen Wouter,24,Chocolade Jacques / Topsport Vlaanderen,,+0:00,2006,5
30,Barbe Koen,25,Chocolade Jacques / Topsport Vlaanderen,,+0:00,2006,5
31,Murn Uros,30,Phonak Hearing Systems,,+0:00,2006,5
32,Eisel Bernhard,24,Fran\xe7aise des Jeux,,+0:00,2006,5
33,Ordowski Volker,32,Gerolsteiner,,+0:00,2006,5
34,Mori Massimiliano,32,Naturino - Sapore Di Mare,,+0:00,2006,5
35,Steegmans Gert,25,Davitamon - Lotto,,+0:00,2006,5
36,Omloop Geert,31,Unibet.com,,+0:00,2006,5
37,Knees Christian,24,Milram,,+0:00,2006,5
38,Pedersen Martin,22,CSC ProTeam,,+0:00,2006,5
39,Grillo Paride,23,Ceramica Panaria - Navigare,,+0:00,2006,5
40,Reinerink Rik,32,Skil - Shimano,,+0:00,2006,5
41,Ascani Luca,22,Naturino - Sapore Di Mare,,+0:00,2006,5
42,M\xfcller Martin,31,Milram,,+0:00,2006,5
43,Dymovkikh Alexandr,22,,,+0:00,2006,5
44,Michaelsen Lars,36,CSC ProTeam,,+0:00,2006,5
45,L\xf6wik Gerben,28,Rabobank ProTeam,,+0:00,2006,5
46,Boven Jan,33,Rabobank ProTeam,,+0:00,2006,5
47,Fischer Murilo Antonio,26,Naturino - Sapore Di Mare,,+0:00,2006,5
48,Dekkers Hans,24,Agritubel,,+0:00,2006,5
49,Duclos-Lassalle Herv\xe9,26,Cofidis,,+0:00,2006,5
50,Van Impe Kevin,24,Quickstep - Innergetic,,+0:00,2006,5
51,F\xf6rster Robert,28,Gerolsteiner,,+0:00,2006,5
52,Jegou Lilian,30,Fran\xe7aise des Jeux,,+0:00,2006,5
53,Wrolich Peter,31,Gerolsteiner,,+0:00,2006,5
54,Ljungqvist Marcus,31,CSC ProTeam,,+0:00,2006,5
55,Da Cruz Carlos,31,Fran\xe7aise des Jeux,,+0:00,2006,5
56,Finot Fr\xe9d\xe9ric,28,Fran\xe7aise des Jeux,,+0:00,2006,5
57,Vastaranta Jukka,21,Rabobank ProTeam,,+0:00,2006,5
58,Weissinger Ren\xe9,27,Skil - Shimano,,+0:00,2006,5
59,Gardeyn Gorik,25,Unibet.com,,+0:00,2006,5
60,Priamo Matteo,23,Ceramica Panaria - Navigare,,+0:00,2006,5
61,Brown Graeme,26,Rabobank ProTeam,,+0:00,2006,5
62,De Vocht Wim,23,Davitamon - Lotto,,+0:00,2006,5
63,Delage Micka\xebl,20,Fran\xe7aise des Jeux,,+0:00,2006,5
64,H\xf8j Frank,33,Gerolsteiner,,+0:00,2006,5
65,Boucher David,25,Unibet.com,,+0:00,2006,5
66,Marinangeli Sergio,25,Naturino - Sapore Di Mare,,+0:00,2006,5
67,Cohnen Stefan,23,Naturino - Sapore Di Mare,,+0:00,2006,5
68,Minard S\xe9bastien,23,Cofidis,,+0:00,2006,5
69,Westphal Carlo,20,Team Wiesenhof Akud,,+0:00,2006,5
70,Verbist Evert,21,Chocolade Jacques / Topsport Vlaanderen,,+0:00,2006,5
71,Veneberg Thorwald,28,Rabobank ProTeam,,+0:00,2006,5
72,Vanheule Bart,22,Chocolade Jacques / Topsport Vlaanderen,,+0:00,2006,5
73,Martinez Perez Francisco Jose,22,Andaluc\xeda - Paul Vers\xe1n,,+0:00,2006,5
74,Klostergaard Kasper,22,CSC ProTeam,,+0:00,2006,5
75,Eeckhout Niko,35,Chocolade Jacques / Topsport Vlaanderen,,+0:00,2006,5
76,Monnerais Cyrille,22,Fran\xe7aise des Jeux,,+0:00,2006,5
77,Johnson Benjamin,23,Agritubel,,+0:00,2006,5
78,Aldape Moises,24,Ceramica Panaria - Navigare,,+0:00,2006,5
79,Mattan Nico,34,Davitamon - Lotto,,+0:00,2006,5
80,Baranauskas Aivaras,25,Agritubel,,+0:00,2006,5
81,Krauss Sven,23,Gerolsteiner,,+0:00,2006,5
82,Heijboer Mathieu,23,Cofidis,,+0:00,2006,5
83,Lancaster Brett,26,Ceramica Panaria - Navigare,,+0:00,2006,5
84,den Bakker Maarten,37,Milram,,+0:00,2006,5
85,Martens Paul,22,Skil - Shimano,,+0:00,2006,5
86,Klinger Tim,21,Team Wiesenhof Akud,,+0:00,2006,5
87,Sinner Benoit,21,Agritubel,,+0:00,2006,5
88,Vitoria David,21,Phonak Hearing Systems,,+0:00,2006,5
89,de Maar Marc,21,Rabobank ProTeam,,+0:00,2006,5
90,Horner Chris,34,Saunier Duval - Prodir,,+0:00,2006,5
91,Gajek Artur,20,Team Wiesenhof Akud,,+0:00,2006,5
92,Tesar Lubor,34,Team Wiesenhof Akud,,+0:00,2006,5
93,Hunt Jeremy,31,Unibet.com,,+0:00,2006,5
94,Mizurov Andrey,32,,,+0:00,2006,5
95,Chernyshov Ilya,20,,,+0:00,2006,5
96,Bouquet Camille,26,Unibet.com,,+0:00,2006,5
97,Kuyckx Jan,26,Davitamon - Lotto,,+0:00,2006,5
98,Patanchon Fabien,22,Fran\xe7aise des Jeux,,+0:00,2006,5
99,Wallaard Arno,26,Skil - Shimano,,+0:00,2006,5
100,Grabsch Ralf,32,Milram,,+0:00,2006,5
101,Stalder Florian,23,Phonak Hearing Systems,,+0:00,2006,5
102,Galdos Aitor,26,Ceramica Panaria - Navigare,,+0:00,2006,5
103,Fothen Thomas,22,Gerolsteiner,,+0:00,2006,5
104,Roche Nicolas,21,Cofidis,,+0:00,2006,5
105,Hesjedal Ryder,25,Phonak Hearing Systems,,+0:00,2006,5
106,Haselbacher Rene,28,Gerolsteiner,,+0:00,2006,5
107,Monier Damien,23,Cofidis,,+0:00,2006,5
108,Canouet Gilles,30,Agritubel,,+0:00,2006,5
109,Scheirlinckx Staf,26,Cofidis,,+0:00,2006,5
110,Thijs Erwin,35,Unibet.com,,+0:00,2006,5
111,van de Wouwer Kurt,34,Unibet.com,,+0:00,2006,5
112,Laverde Luis Felipe,26,Ceramica Panaria - Navigare,,+0:00,2006,5
113,Ghyllebert Pieter,23,Chocolade Jacques / Topsport Vlaanderen,,+0:00,2006,5
114,Crosbie Nicolas,25,Agritubel,,+0:00,2006,5
115,Odebrecht Felix,21,Team Wiesenhof Akud,,+0:00,2006,5
116,Rubiano Miguel Angel,21,Ceramica Panaria - Navigare,,+0:00,2006,5
117,Colombo Gabriele,33,Naturino - Sapore Di Mare,,+0:00,2006,5
118,Zaitsev Alexey,19,,,+0:00,2006,5
119,Leben Christian,20,Team Wiesenhof Akud,,+0:00,2006,5
120,Gabriel Fr\xe9d\xe9ric,35,Unibet.com,,+0:00,2006,5
121,Mares Martin,24,Naturino - Sapore Di Mare,,+0:00,2006,5
122,Lyalko Alexey,21,,,+0:00,2006,5
123,Gruzdev Dmitriy,19,,,+0:00,2006,5
