Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
25,,153,88.0,+0:43,,Br\xe4ndle Matthias,87,IAM Cycling,",, 0:33",,1,2015
26,,124,61.0,+0:40,,Salomein Jarl,88,Topsport Vlaanderen - Baloise,",, 0:33",,1,2015
29,,47,89.0,+0:43,,Velits Peter,89,BMC Racing Team,",, 0:33",,1,2015
28,,168,90.0,+0:54,,Voss Paul,90,Bora - Argon 18,0:44 0:44,,1,2015
28,,43,91.0,+0:54,,De Marchi Alessandro,91,BMC Racing Team,",, 0:44",,1,2015
31,,154,92.0,+0:56,,Devenyns Dries,92,IAM Cycling,0:46 0:46,,1,2015
35,,33,93.0,+1:00,,Popovych Yaroslav,93,Trek Factory Racing,0:50 0:50,,1,2015
21,,77,94.0,+1:00,,S\xe9n\xe9chal Florian,94,"Cofidis, Solutions Cr\xe9dits",",, 0:50",,1,2015
24,,166,95.0,+1:02,,Schwarzmann Michael,95,Bora - Argon 18,0:52 0:52,,1,2015
26,,135,96.0,+1:26,,Keukeleire Jens,96,Orica GreenEDGE,1:16 1:16,,1,2015
37,,138,97.0,+1:26,,Tuft Svein,97,Orica GreenEDGE,",, 1:16",,1,2015
32,,125,98.0,+1:26,,Van Hecke Preben,98,Topsport Vlaanderen - Baloise,",, 1:16",,1,2015
24,,117,99.0,+1:26,,Le Bon Johan,99,FDJ,",, 1:16",,1,2015
24,,175,100.0,+1:26,,Ruffoni Nicola,100,Bardiani - CSF Pro Team,",, 1:16",,1,2015
28,,83,101.0,+1:26,,Ciolek Gerald,101,MTN - Qhubeka,",, 1:16",,1,2015
24,,102,102.0,+1:26,,Fenn Andrew,102,Team Sky,",, 1:16",,1,2015
29,,28,103.0,+1:26,,Trusov Nikolay,103,Tinkoff - Saxo,",, 1:16",,1,2015
26,,93,104.0,+1:26,,de Vreese Laurens,104,Astana Pro Team,",, 1:16",,1,2015
30,,13,105.0,+1:26,,de Backer Bert,105,Team Giant - Alpecin,",, 1:16",,1,2015
29,,143,106.0,+1:26,,Costa M\xe1rio,106,Lampre - Merida,",, 1:16",,1,2015
33,,24,107.0,+1:26,,Brutt Pavel,107,Tinkoff - Saxo,",, 1:16",,1,2015
24,,14,108.0,+1:26,,Preidler Georg,108,Team Giant - Alpecin,",, 1:16",,1,2015
25,,56,109.0,+1:26,,Sanz Enrique,109,Movistar Team,",, 1:16",,1,2015
28,,158,110.0,+1:26,,van Genechten Jonas,110,IAM Cycling,",, 1:16",,1,2015
27,,87,111.0,+1:26,,Venter Jaco,111,MTN - Qhubeka,",, 1:16",,1,2015
23,,126,112.0,+1:26,,Van Hoecke Gijs,112,Topsport Vlaanderen - Baloise,",, 1:16",,1,2015
29,,27,113.0,+1:26,,M\xf8rk\xf8v Michael,113,Tinkoff - Saxo,",, 1:16",,1,2015
30,,65,114.0,+1:26,,Kozonchuk Dmitry,114,Team Katusha,",, 1:16",,1,2015
27,,163,115.0,+1:26,,Dempster Zakkari,115,Bora - Argon 18,",, 1:16",,1,2015
29,,155,116.0,+1:26,,Hollenstein Reto,116,IAM Cycling,",, 1:16",,1,2015
21,,38,117.0,+1:26,,van Poppel Danny,117,Trek Factory Racing,",, 1:16",,1,2015
23,,122,118.0,+1:26,,Campenaerts Victor,118,Topsport Vlaanderen - Baloise,",, 1:16",,1,2015
24,,25,119.0,+1:26,,Hansen Jesper,119,Tinkoff - Saxo,",, 1:16",,1,2015
26,,162,120.0,+1:26,,Archbold Shane,120,Bora - Argon 18,",, 1:16",,1,2015
28,,45,121.0,+1:26,,Hermans Ben,121,BMC Racing Team,",, 1:16",,1,2015
33,,103,122.0,+2:39,,Knees Christian,122,Team Sky,2:29 2:29,,1,2015
34,,113,123.0,+2:39,,Boucher David,123,FDJ,",, 2:29",,1,2015
34,,147,124.0,+2:39,,Plaza Rub\xe9n,124,Lampre - Merida,",, 2:29",,1,2015
25,,172,125.0,+2:39,,Boem Nicola,125,Bardiani - CSF Pro Team,",, 2:29",,1,2015
27,,174,126.0,+2:39,,Pirazzi Stefano,126,Bardiani - CSF Pro Team,",, 2:29",,1,2015
25,,171,127.0,+2:39,,Battaglin Enrico,127,Bardiani - CSF Pro Team,",, 2:29",,1,2015
31,,142,128.0,+2:39,,Bono Matteo,128,Lampre - Merida,",, 2:29",,1,2015
29,,16,129.0,+2:39,,Stamsnijder Tom,129,Team Giant - Alpecin,",, 2:29",,1,2015
29,,17,130.0,+2:39,,Timmer Albert,130,Team Giant - Alpecin,",, 2:29",,1,2015
24,,86,131.0,+2:39,,Van Zyl Johann,131,MTN - Qhubeka,",, 2:29",,1,2015
35,,104,132.0,+2:39,,Pate Danny,132,Team Sky,",, 2:29",,1,2015
21,,177,133.0,+3:00,,Sterbini Simone,133,Bardiani - CSF Pro Team,2:50 2:50,,1,2015
27,,173,134.0,+3:05,,Piechele Andrea,134,Bardiani - CSF Pro Team,2:55 2:55,,1,2015
31,,73,135.0,+4:04,,Chainel Steve,135,"Cofidis, Solutions Cr\xe9dits",3:54 3:54,,1,2015
31,,74,136.0,+4:04,,Lemoine Cyril,136,"Cofidis, Solutions Cr\xe9dits",",, 3:54",,1,2015
24,,75,137.0,+4:04,,Petit Adrien,137,"Cofidis, Solutions Cr\xe9dits",",, 3:54",,1,2015
22,,176,138.0,+5:52,,Sterbini Luca,138,Bardiani - CSF Pro Team,5:44 5:44,,1,2015
25,,146,139.0,+5:54,,Oliveira Nelson,139,Lampre - Merida,",, 5:44",,1,2015
31,,148,140.0,+5:54,,Richeze Ariel Maximiliano,140,Lampre - Merida,",, 5:44",,1,2015
34,,137,141.0,+6:44,,Mouris Jens,141,Orica GreenEDGE,6:34 6:34,,1,2015
27,,61,1.0,+0:00,30.0,Kristoff Alexander,1,Team Katusha,3:49:51 3:49:51,20.0,2,2015
25,,96,4.0,+0:04,18.0,Guardini Andrea,2,Astana Pro Team,",, ,,",14.0,2,2015
29,,46,3.0,+0:03,12.0,Van Avermaet Greg,3,BMC Racing Team,",, ,,",8.0,2,2015
25,,21,7.0,+0:10,7.0,Sagan Peter,4,Tinkoff - Saxo,",, ,,",7.0,2,2015
34,,2,2.0,+0:01,4.0,Boonen Tom,5,Etixx - Quick Step,",, ,,",6.0,2,2015
30,,151,8.0,+0:10,3.0,Haussler Heinrich,6,IAM Cycling,",, ,,",5.0,2,2015
25,,131,13.0,+0:10,2.0,Blythe Adam,7,Orica GreenEDGE,",, ,,",4.0,2,2015
31,,42,6.0,+0:09,1.0,Burghardt Marcus,8,BMC Racing Team,",, ,,",2.0,2,2015
22,,36,9.0,+0:10,,Stuyven Jasper,9,Trek Factory Racing,",, ,,",,2,2015
27,,106,12.0,+0:10,,Stannard Ian,10,Team Sky,",, ,,",,2,2015
30,,1,5.0,+0:08,,Terpstra Niki,11,Etixx - Quick Step,",, ,,",,2,2015
29,,22,10.0,+0:10,,Bodnar Maciej,12,Tinkoff - Saxo,",, ,,",,2,2015
24,,105,11.0,+0:10,,Rowe Luke,13,Team Sky,",, ,,",,2,2015
28,,4,14.0,+0:14,,Maes Nikolas,14,Etixx - Quick Step,0:06 0:06,,2,2015
27,,97,15.0,+0:16,,Tleubayev Ruslan,15,Astana Pro Team,",, 0:06",,2,2015
25,,66,25.0,+0:43,,Kuznetsov Viacheslav,16,Team Katusha,0:15 0:15,,2,2015
29,,114,17.0,+0:25,,Delage Micka\xebl,17,FDJ,",, 0:15",,2,2015
23,,62,31.0,+0:58,,Bystr\xf8m Sven Erik,18,Team Katusha,",, 0:15",,2,2015
26,,124,30.0,+0:55,,Salomein Jarl,19,Topsport Vlaanderen - Baloise,",, 0:15",,2,2015
25,,5,22.0,+0:25,,Trentin Matteo,20,Etixx - Quick Step,",, 0:15",,2,2015
32,,41,21.0,+0:25,,Gilbert Philippe,21,BMC Racing Team,",, 0:15",,2,2015
28,,132,27.0,+0:50,,Docker Mitchell,22,Orica GreenEDGE,",, 0:15",,2,2015
38,,67,32.0,+0:58,,Paolini Luca,23,Team Katusha,",, 0:15",,2,2015
31,,94,19.0,+0:25,,Grivko Andrei,24,Astana Pro Team,",, 0:15",,2,2015
30,,18,18.0,+0:25,,Veelers Tom,25,Team Giant - Alpecin,",, 0:15",,2,2015
36,,133,16.0,+0:23,,Hayman Mathew,26,Orica GreenEDGE,",, 0:15",,2,2015
25,,123,20.0,+0:25,,Declercq Tim,27,Topsport Vlaanderen - Baloise,",, 0:15",,2,2015
26,,165,26.0,+0:43,,Schorn Daniel,28,Bora - Argon 18,",, 0:15",,2,2015
29,,156,28.0,+0:50,,Kluge Roger,29,IAM Cycling,",, 0:15",,2,2015
24,,102,33.0,+1:41,,Fenn Andrew,30,Team Sky,",, 0:15",,2,2015
23,,12,29.0,+0:54,,Arndt Nikias,31,Team Giant - Alpecin,",, 0:15",,2,2015
28,,118,23.0,+0:25,,Offredo Yoann,32,FDJ,",, 0:15",,2,2015
25,,164,24.0,+0:25,,Matzka Ralf,33,Bora - Argon 18,",, 0:15",,2,2015
30,,13,34.0,+1:56,,de Backer Bert,34,Team Giant - Alpecin,0:30 0:30,,2,2015
26,,135,35.0,+2:16,,Keukeleire Jens,35,Orica GreenEDGE,0:50 0:50,,2,2015
32,,76,50.0,+3:51,,Rollin Dominique,36,"Cofidis, Solutions Cr\xe9dits",3:08 3:08,,2,2015
33,,157,49.0,+3:38,,Reynes Vicente,37,IAM Cycling,",, 3:08",,2,2015
34,,51,39.0,+3:18,,Valverde Alejandro,38,Movistar Team,",, 3:08",,2,2015
29,,28,57.0,+4:34,,Trusov Nikolay,39,Tinkoff - Saxo,",, 3:08",,2,2015
24,,161,37.0,+3:18,,Bennett Sam,40,Bora - Argon 18,",, 3:08",,2,2015
24,,167,42.0,+3:18,,Thwaites Scott,41,Bora - Argon 18,",, 3:08",,2,2015
23,,6,51.0,+3:51,,van Keirsbulck Guillaume,42,Etixx - Quick Step,",, 3:08",,2,2015
