Rnk,Rider,Age,Team,Pnt,GC,GC-Time,Time,Time won/lost,year,stage
22,Wrolich Peter,34,Milram,,22,+5:05,5:05 5:05,+5:05,2009,6
23,Gajek Artur,23,Milram,,23,+6:00,6:00 6:00,+6:00,2009,6
24,Duijn Huub,24,Team Garmin - Slipstream,,24,+6:14,6:14 6:14,+6:14,2009,6
25,Posthuma Joost,27,Rabobank ProTeam,,25,+6:18,6:18 6:18,+6:18,2009,6
26,Velo Marco,34,Quickstep - Innergetic,,26,+7:46,7:46 7:46,+7:46,2009,6
27,de Kort Koen,26,Skil - Shimano,,27,+7:57,7:57 7:57,+7:57,2009,6
28,F\xf6rster Robert,31,Milram,,28,+8:30,8:30 8:30,+8:30,2009,6
29,Flecha Juan Antonio,31,Rabobank ProTeam,,29,+8:42,8:42 8:42,+8:42,2009,6
30,Reynes Vicente,27,Team Columbia - HTC,,30,+8:58,8:58 8:58,+8:58,2009,6
31,Napolitano Danilo,28,Team Katusha,,31,+9:11,9:11 9:11,+9:11,2009,6
32,Weylandt Wouter,24,Quickstep - Innergetic,,32,+9:20,9:20 9:20,+9:20,2009,6
33,de Maar Marc,24,Rabobank ProTeam,,33,+9:23,9:23 9:23,+9:23,2009,6
34,Friedman Michael,26,Team Garmin - Slipstream,,34,+9:24,9:24 9:24,+9:24,2009,6
35,Kohler Martin,23,BMC Racing Team,,35,+9:35,9:35 9:35,+9:35,2009,6
36,Henderson Gregory,32,Team Columbia - HTC,,36,+10:19,10:19 10:19,+10:19,2009,6
37,Curvers Roy,29,Skil - Shimano,,37,+10:28,10:28 10:28,+10:28,2009,6
38,Hulsmans Kevin,30,Quickstep - Innergetic,,38,+10:34,10:34 10:34,+10:34,2009,6
39,Barry Michael,33,Team Columbia - HTC,,39,+10:45,10:45 10:45,+10:45,2009,6
40,Oss Daniel,22,Liquigas,,40,+10:46,10:46 10:46,+10:46,2009,6
41,Mikhailov Guennady,34,Team Katusha,,41,+11:10,11:10 11:10,+11:10,2009,6
42,Bandiera Marco,24,Lampre - NGC,,42,+11:31,11:31 11:31,+11:31,2009,6
43,Lang Sebastian,29,Silence - Lotto,,43,+11:42,11:42 11:42,+11:42,2009,6
44,Schr\xf6der Bjorn,28,Milram,,44,+11:59,11:59 11:59,+11:59,2009,6
45,Tankink Bram,30,Rabobank ProTeam,,45,+12:06,12:06 12:06,+12:06,2009,6
46,Shaw Stuart,31,Drapac - Porsche Cycling,,46,+12:12,12:12 12:12,+12:12,2009,6
47,Markov Alexei,29,Team Katusha,,47,+12:21,12:21 12:21,+12:21,2009,6
48,Docker Mitchell,22,Skil - Shimano,,48,+12:53,12:53 12:53,+12:53,2009,6
49,Pollock Rhys,28,Drapac - Porsche Cycling,,49,+13:17,13:17 13:17,+13:17,2009,6
50,Knaven Servais,37,Milram,,50,+13:29,13:29 13:29,+13:29,2009,6
51,Vansummeren Johan,28,Silence - Lotto,,51,+13:42,13:42 13:42,+13:42,2009,6
52,Ignatyev Mikhail,23,Team Katusha,,52,+14:42,14:42 14:42,+14:42,2009,6
53,Sentjens Roy,28,Silence - Lotto,,53,+15:44,15:44 15:44,+15:44,2009,6
54,Da Dalto Mauro,27,Lampre - NGC,,54,+15:46,15:46 15:46,+15:46,2009,6
55,Lemoine Cyril,25,Skil - Shimano,,55,+15:54,15:54 15:54,+15:54,2009,6
56,Dekkers Hans,27,Team Garmin - Slipstream,,56,+16:21,16:21 16:21,+16:21,2009,6
