Rnk,BIB,Rider,Age,Team,UCI,Pnt,GC,GC-Time,Time,year,stage
29,88,Veelers Tom,28,Team Argos - Shimano,,,31.0,+0:42,",, ,,",2013,4
30,12,Eisel Bernhard,31,Sky Procycling,,,7.0,+0:13,",, ,,",2013,4
31,18,Thomas Geraint,26,Sky Procycling,,,10.0,+0:17,",, ,,",2013,4
32,147,Selig R\xfcdiger,23,Team Katusha,,,69.0,+4:09,",, ,,",2013,4
33,65,Guarnieri Jacopo,25,Astana Pro Team,,,18.0,+0:29,",, ,,",2013,4
34,173,Mori Kazuhiro,30,Japan,,,106.0,+18:02,",, ,,",2013,4
35,118,Mouris Jens,32,Orica GreenEDGE,,,75.0,+16:37,",, ,,",2013,4
36,16,Stannard Ian,25,Sky Procycling,,,28.0,+0:38,",, ,,",2013,4
37,116,Keukeleire Jens,24,Orica GreenEDGE,,,22.0,+0:35,",, ,,",2013,4
38,126,Mol Wouter,30,Vacansoleil - DCM,,,101.0,+17:47,",, ,,",2013,4
39,72,Bandiera Marco,28,IAM Cycling,,,112.0,+18:12,",, ,,",2013,4
40,98,Sabatini Fabio,27,Cannondale Pro Cycling Team,,,88.0,+17:08,",, ,,",2013,4
41,152,Feng Chun Kai,24,Champion System Pro Cycling Team,,,107.0,+18:02,",, ,,",2013,4
42,6,van Keirsbulck Guillaume,21,Omega Pharma - Quick-Step,,,40.0,+0:55,",, ,,",2013,4
43,47,Rollin Dominique,30,FDJ.fr,,,30.0,+0:41,",, ,,",2013,4
44,155,Jiao Pengda,26,Champion System Pro Cycling Team,,,111.0,+18:12,",, ,,",2013,4
45,37,Van Avermaet Greg,27,BMC Racing Team,,,5.0,+0:12,",, ,,",2013,4
46,145,Kuchynski Aliaksandr,33,Team Katusha,,,133.0,+20:28,",, ,,",2013,4
47,42,Boucher David,32,FDJ.fr,,,102.0,+17:49,",, ,,",2013,4
48,77,Hollenstein Reto,27,IAM Cycling,,,43.0,+1:00,",, ,,",2013,4
49,26,Rast Gregory,33,RadioShack - Leopard,,,50.0,+1:34,",, ,,",2013,4
50,31,Phinney Taylor,22,BMC Racing Team,,,3.0,+0:08,",, ,,",2013,4
51,96,Koren Kristijan,26,Cannondale Pro Cycling Team,,,100.0,+17:45,",, ,,",2013,4
52,54,Jorgensen Jonas Aaen,26,Team Saxo - Tinkoff,,,27.0,+0:38,",, ,,",2013,4
53,122,Kreder Wesley,22,Vacansoleil - DCM,,,94.0,+17:13,",, ,,",2013,4
54,171,Sano Junya,31,Japan,,,124.0,+19:07,",, ,,",2013,4
55,154,Jang Chan Jae,24,Champion System Pro Cycling Team,,,96.0,+17:28,",, ,,",2013,4
56,43,Fischer Murilo Antonio,33,FDJ.fr,,,56.0,+1:47,",, ,,",2013,4
57,148,Smukulis Gatis,25,Team Katusha,,,38.0,+0:45,",, ,,",2013,4
58,142,Brutt Pavel,31,Team Katusha,,,59.0,+2:21,",, ,,",2013,4
59,144,Isaychev Vladimir,26,Team Katusha,,,119.0,+18:46,",, ,,",2013,4
60,63,Grivko Andrei,29,Astana Pro Team,,,20.0,+0:34,",, ,,",2013,4
61,67,Kamyshev Arman,21,Astana Pro Team,,,110.0,+18:07,",, ,,",2013,4
62,25,Popovych Yaroslav,33,RadioShack - Leopard,,,49.0,+1:25,",, ,,",2013,4
63,22,Devolder Stijn,33,RadioShack - Leopard,,,73.0,+16:25,",, ,,",2013,4
64,23,Gallopin Tony,24,RadioShack - Leopard,,,14.0,+0:23,",, ,,",2013,4
65,24,Irizar Markel,33,RadioShack - Leopard,,,35.0,+0:44,",, ,,",2013,4
66,28,Oliveira Nelson,23,RadioShack - Leopard,,,87.0,+17:02,",, ,,",2013,4
67,156,Othman Muhamad Adiq Husaine,21,Champion System Pro Cycling Team,,,122.0,+19:02,",, ,,",2013,4
68,51,Bennati Daniele,32,Team Saxo - Tinkoff,,,42.0,+0:59,",, ,,",2013,4
69,83,Curvers Roy,33,Team Argos - Shimano,,,45.0,+1:03,",, ,,",2013,4
70,82,Arndt Nikias,21,Team Argos - Shimano,,,67.0,+3:27,",, ,,",2013,4
71,138,Voss Paul,26,Team NetApp \u2013 Endura,,,41.0,+0:56,",, ,,",2013,4
72,132,Dempster Zakkari,25,Team NetApp \u2013 Endura,,,52.0,+1:38,",, ,,",2013,4
73,162,Canola Marco,24,Bardiani Valvole - CSF Inox,,,93.0,+17:13,",, ,,",2013,4
74,76,Hinault S\xe9bastien,38,IAM Cycling,,,60.0,+2:22,",, ,,",2013,4
75,74,Fumeaux Jonathan,24,IAM Cycling,,,129.0,+19:30,",, ,,",2013,4
76,121,Flecha Juan Antonio,35,Vacansoleil - DCM,,,47.0,+1:03,",, ,,",2013,4
77,127,Ruijgh Rob,26,Vacansoleil - DCM,,,46.0,+1:03,",, ,,",2013,4
78,176,Suzuki Yuzuru,27,Japan,,,114.0,+18:17,",, ,,",2013,4
79,153,Friedemann Matthias,28,Champion System Pro Cycling Team,,,109.0,+18:03,",, ,,",2013,4
80,73,Elmiger Martin,34,IAM Cycling,,,33.0,+0:43,",, ,,",2013,4
81,21,Cancellara Fabian,31,RadioShack - Leopard,,,55.0,+1:43,",, ,,",2013,4
82,27,Roulston Hayden,32,RadioShack - Leopard,,,99.0,+17:40,",, ,,",2013,4
83,58,Tosatto Matteo,38,Team Saxo - Tinkoff,,,48.0,+1:20,",, ,,",2013,4
84,56,Kump Marko,24,Team Saxo - Tinkoff,,,130.0,+19:42,",, ,,",2013,4
85,134,Eichler Markus,30,Team NetApp \u2013 Endura,,,104.0,+17:59,",, ,,",2013,4
86,68,Muravyev Dmitriy,33,Astana Pro Team,,,65.0,+3:19,",, ,,",2013,4
87,92,Bodnar Maciej,27,Cannondale Pro Cycling Team,,,78.0,+16:46,",, ,,",2013,4
88,14,Rasch Gabriel,36,Sky Procycling,,,63.0,+2:54,",, ,,",2013,4
89,123,Lagutin Sergey,32,Vacansoleil - DCM,,,51.0,+1:36,",, ,,",2013,4
90,45,Le Bon Johan,22,FDJ.fr,,,58.0,+2:17,",, ,,",2013,4
91,136,Schillinger Andreas,29,Team NetApp \u2013 Endura,,,66.0,+3:23,",, ,,",2013,4
92,33,Bookwalter Brent,28,BMC Racing Team,,,2.0,+0:02,",, ,,",2013,4
93,34,Cummings Stephen,31,BMC Racing Team,,,128.0,+19:29,1:30 1:30,2013,4
94,35,Eijssen Yannick,23,BMC Racing Team,,,85.0,+16:53,0:00 0:00,2013,4
95,36,Schar Michael,26,BMC Racing Team,,,6.0,+0:12,",, 0:00",2013,4
96,38,Warbasse Larry,22,BMC Racing Team,,,79.0,+16:46,",, 0:00",2013,4
97,177,Uchima Kohei,24,Japan,,,126.0,+19:21,",, 0:00",2013,4
98,57,Lund Anders,27,Team Saxo - Tinkoff,,,132.0,+20:27,",, 0:00",2013,4
99,8,Velits Martin,27,Omega Pharma - Quick-Step,,,61.0,+2:22,",, 0:00",2013,4
100,94,Dall'Antonia Tiziano,29,Cannondale Pro Cycling Team,,,25.0,+0:36,",, 0:00",2013,4
101,97,Ratto Daniele,23,Cannondale Pro Cycling Team,,,103.0,+17:50,",, 0:00",2013,4
102,137,Schorn Daniel,24,Team NetApp \u2013 Endura,,,68.0,+4:00,1:34 1:34,2013,4
103,146,Porsev Alexander,26,Team Katusha,,,17.0,+0:27,0:00 0:00,2013,4
104,7,Vandenbergh Stijn,28,Omega Pharma - Quick-Step,,,34.0,+0:43,",, 0:00",2013,4
105,2,Keisse Iljo,30,Omega Pharma - Quick-Step,,,57.0,+2:06,",, 0:00",2013,4
106,3,Stybar Zdenek,27,Omega Pharma - Quick-Step,,,13.0,+0:22,",, 0:00",2013,4
107,78,Lang Pirmin,28,IAM Cycling,,,70.0,+4:58,1:49 1:49,2013,4
108,166,di Corrado Andrea,24,Bardiani Valvole - CSF Inox,,,118.0,+18:34,0:00 0:00,2013,4
109,172,Hatanaka Yusuke,27,Japan,,,117.0,+18:34,",, 0:00",2013,4
110,66,Huffman Evan,23,Astana Pro Team,,,134.0,+20:41,1:53 1:53,2013,4
111,108,Minard S\xe9bastien,30,AG2R La Mondiale,,,54.0,+1:39,0:00 0:00,2013,4
112,64,Gruzdev Dmitriy,26,Astana Pro Team,,,125.0,+19:16,",, 0:00",2013,4
113,124,Marcato Marco,28,Vacansoleil - DCM,,,136.0,+21:56,1:55 1:55,2013,4
114,62,Bozic Borut,32,Astana Pro Team,,,115.0,+18:26,0:00 0:00,2013,4
115,101,Hutarovich Yauheni,29,AG2R La Mondiale,,,64.0,+2:57,2:12 2:12,2013,4
116,106,Houle Hugo,22,AG2R La Mondiale,,,121.0,+18:59,0:00 0:00,2013,4
117,117,Lancaster Brett,33,Orica GreenEDGE,,,120.0,+18:48,",, 0:00",2013,4
118,115,Davis Allan,32,Orica GreenEDGE,,,135.0,+21:16,2:28 2:28,2013,4
119,5,Trentin Matteo,23,Omega Pharma - Quick-Step,,,116.0,+18:26,0:00 0:00,2013,4
120,87,Stamsnijder Tom,27,Team Argos - Shimano,,,71.0,+7:17,2:31 2:31,2013,4
121,44,Ladagnous Matthieu,28,FDJ.fr,,,23.0,+0:35,0:00 0:00,2013,4
122,163,Colbrelli Sonny,22,Bardiani Valvole - CSF Inox,,,98.0,+17:36,",, 0:00",2013,4
123,133,Downing Russell,34,Team NetApp \u2013 Endura,,,95.0,+17:16,",, 0:00",2013,4
124,86,Sinkeldam Ramon,23,Team Argos - Shimano,,,62.0,+2:29,",, 0:00",2013,4
125,85,Mezgec Luka,24,Team Argos - Shimano,,,89.0,+17:11,",, 0:00",2013,4
126,151,Brammeier Matthew,27,Champion System Pro Cycling Team,,,53.0,+1:39,",, 0:00",2013,4
127,157,Traksel Bobbie,31,Champion System Pro Cycling Team,,,97.0,+17:30,",, 0:00",2013,4
128,46,Offredo Yoann,26,FDJ.fr,,,36.0,+0:44,",, 0:00",2013,4
129,107,Iglinskiy Valentin,28,AG2R La Mondiale,,,113.0,+18:16,",, 0:00",2013,4
130,75,Goddaert Kristof,26,IAM Cycling,,,83.0,+16:51,",, 0:00",2013,4
131,112,Beppu Fumiyuki,29,Orica GreenEDGE,,,76.0,+16:37,",, 0:00",2013,4
132,175,Shimizu Miyataka,31,Japan,,,108.0,+18:02,",, 0:00",2013,4
133,104,B\xe9rard Julien,25,AG2R La Mondiale,,,138.0,+23:13,4:57 4:57,2013,4
