Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,103,131,+21:10,38.0,Kerby Jordan,37,Drapac Professional Cycling,20:49 20:49,\u25b21,2,2016
23,107,132,+21:12,39.0,Spokes Samuel,38,Drapac Professional Cycling,20:51 20:51,\u25b21,2,2016
21,21,6,+0:48,2.0,Andersen S\xf8ren Kragh,1,Team Giant - Alpecin,6:54:23 6:54:23,\u25b21,3,2016
24,2,7,+1:02,1.0,Bystr\xf8m Sven Erik,2,Team Katusha,0:14 0:14,\u25bc1,3,2016
21,7,20,+2:37,8.0,Politt Nils,3,Team Katusha,1:49 1:49,\u25b25,3,2016
24,81,23,+2:59,5.0,Hofland Moreno,4,Team LottoNL-Jumbo,2:11 2:11,\u25b21,3,2016
22,154,24,+3:05,9.0,Eaton Daniel,5,UnitedHealthcare Pro Cycling Team,2:17 2:17,\u25b24,3,2016
24,92,29,+3:15,6.0,Antonini Simone,6,Wanty - Groupe Gobert,2:27 2:27,-,3,2016
25,173,32,+3:21,3.0,Haddi Soufiane,7,Skydive Dubai Pro Cycling Team - Al Ahli Club,2:33 2:33,\u25bc4,3,2016
24,14,38,+3:29,4.0,Debesay Mekseb,8,Team Dimension Data,2:41 2:41,\u25bc4,3,2016
21,177,44,+3:47,7.0,Kamberaj Giuliano,9,Skydive Dubai Pro Cycling Team - Al Ahli Club,2:59 2:59,\u25bc2,3,2016
24,45,53,+8:01,10.0,P\xf6stlberger Lukas,10,Bora - Argon 18,7:13 7:13,-,3,2016
23,84,55,+8:55,13.0,Teunissen Mike,11,Team LottoNL-Jumbo,8:07 8:07,\u25b22,3,2016
23,83,61,+9:38,12.0,Roosen Timo,12,Team LottoNL-Jumbo,8:50 8:50,-,3,2016
24,76,65,+9:58,11.0,Van Meirhaeghe Jef,13,Topsport Vlaanderen - Baloise,9:10 9:10,\u25bc2,3,2016
24,25,66,+10:48,14.0,Waeytens Zico,14,Team Giant - Alpecin,10:00 10:00,-,3,2016
22,58,68,+11:02,15.0,Vall\xe9e Boris,15,Fortuneo - Vital Concept,10:14 10:14,-,3,2016
22,77,69,+12:21,16.0,Van Rooy Kenneth,16,Topsport Vlaanderen - Baloise,11:33 11:33,-,3,2016
22,38,71,+12:56,24.0,Zabel Rick,17,BMC Racing Team,12:08 12:08,\u25b27,3,2016
20,166,74,+13:01,27.0,Pedersen Mads,18,St\xf6lting Service Group,12:13 12:13,\u25b29,3,2016
23,163,77,+13:13,21.0,Kirsch Alex,19,St\xf6lting Service Group,12:25 12:25,\u25b22,3,2016
24,127,78,+13:17,23.0,van Goethem Brian,20,Roompot - Oranje Peloton,12:29 12:29,\u25b23,3,2016
24,102,79,+13:18,28.0,Jones Brenton,21,Drapac Professional Cycling,12:30 12:30,\u25b27,3,2016
24,68,80,+13:24,20.0,Zakharov Artyom,22,Astana Pro Team,12:36 12:36,\u25bc2,3,2016
22,137,81,+13:24,19.0,Pibernik Luka,23,Lampre - Merida,",, 12:36",\u25bc4,3,2016
21,105,82,+13:28,29.0,Lowndes Jason,24,Drapac Professional Cycling,12:40 12:40,\u25b25,3,2016
24,4,87,+13:33,31.0,Haller Marco,25,Team Katusha,12:45 12:45,\u25b26,3,2016
22,123,90,+13:42,22.0,Kerkhof Tim,26,Roompot - Oranje Peloton,12:54 12:54,\u25bc4,3,2016
24,73,92,+13:45,25.0,De Tier Floris,27,Topsport Vlaanderen - Baloise,12:57 12:57,\u25bc2,3,2016
21,168,94,+13:47,18.0,Carbel Michael,28,St\xf6lting Service Group,12:59 12:59,\u25bc10,3,2016
20,124,107,+14:03,17.0,Looij Andre,29,Roompot - Oranje Peloton,13:15 13:15,\u25bc12,3,2016
22,126,111,+14:38,26.0,Slik Ivar,30,Roompot - Oranje Peloton,13:50 13:50,\u25bc4,3,2016
22,72,115,+15:32,32.0,Capiot Amaury,31,Topsport Vlaanderen - Baloise,14:44 14:44,\u25b21,3,2016
21,138,122,+20:58,33.0,Zurlo Federico,32,Lampre - Merida,20:10 20:10,\u25b21,3,2016
24,56,123,+21:11,34.0,McLay Daniel,33,Fortuneo - Vital Concept,20:23 20:23,\u25b21,3,2016
23,103,127,+21:36,37.0,Kerby Jordan,34,Drapac Professional Cycling,20:48 20:48,\u25b23,3,2016
24,156,129,+21:54,35.0,Keough Luke,35,UnitedHealthcare Pro Cycling Team,21:06 21:06,-,3,2016
23,165,130,+22:31,36.0,Mager Christian,36,St\xf6lting Service Group,21:43 21:43,-,3,2016
23,107,131,+22:51,38.0,Spokes Samuel,37,Drapac Professional Cycling,22:03 22:03,\u25b21,3,2016
21,21,6,+0:30,1.0,Andersen S\xf8ren Kragh,1,Team Giant - Alpecin,10:51:43 10:51:43,-,4,2016
24,2,8,+0:49,2.0,Bystr\xf8m Sven Erik,2,Team Katusha,0:19 0:19,-,4,2016
24,81,19,+2:42,4.0,Hofland Moreno,3,Team LottoNL-Jumbo,2:12 2:12,\u25b21,4,2016
21,7,23,+3:06,3.0,Politt Nils,4,Team Katusha,2:36 2:36,\u25bc1,4,2016
22,154,25,+3:24,5.0,Eaton Daniel,5,UnitedHealthcare Pro Cycling Team,2:54 2:54,-,4,2016
24,92,27,+3:34,6.0,Antonini Simone,6,Wanty - Groupe Gobert,3:04 3:04,-,4,2016
25,173,29,+3:40,7.0,Haddi Soufiane,7,Skydive Dubai Pro Cycling Team - Al Ahli Club,3:10 3:10,-,4,2016
21,177,35,+4:06,9.0,Kamberaj Giuliano,8,Skydive Dubai Pro Cycling Team - Al Ahli Club,3:36 3:36,\u25b21,4,2016
24,14,50,+8:08,8.0,Debesay Mekseb,9,Team Dimension Data,7:38 7:38,\u25bc1,4,2016
23,84,51,+9:03,11.0,Teunissen Mike,10,Team LottoNL-Jumbo,8:33 8:33,\u25b21,4,2016
23,83,54,+9:46,12.0,Roosen Timo,11,Team LottoNL-Jumbo,9:16 9:16,\u25b21,4,2016
22,58,58,+11:32,15.0,Vall\xe9e Boris,12,Fortuneo - Vital Concept,11:02 11:02,\u25b23,4,2016
24,25,59,+11:38,14.0,Waeytens Zico,13,Team Giant - Alpecin,11:08 11:08,\u25b21,4,2016
24,45,60,+12:40,10.0,P\xf6stlberger Lukas,14,Bora - Argon 18,12:10 12:10,\u25bc4,4,2016
22,77,62,+13:02,16.0,Van Rooy Kenneth,15,Topsport Vlaanderen - Baloise,12:32 12:32,\u25b21,4,2016
24,127,65,+13:27,20.0,van Goethem Brian,16,Roompot - Oranje Peloton,12:57 12:57,\u25b24,4,2016
22,38,69,+13:37,17.0,Zabel Rick,17,BMC Racing Team,13:07 13:07,-,4,2016
22,137,71,+13:43,23.0,Pibernik Luka,18,Lampre - Merida,13:13 13:13,\u25b25,4,2016
24,102,72,+13:48,21.0,Jones Brenton,19,Drapac Professional Cycling,13:18 13:18,\u25b22,4,2016
24,68,76,+14:02,22.0,Zakharov Artyom,20,Astana Pro Team,13:32 13:32,\u25b22,4,2016
20,124,78,+14:06,29.0,Looij Andre,21,Roompot - Oranje Peloton,13:36 13:36,\u25b28,4,2016
21,168,79,+14:06,28.0,Carbel Michael,22,St\xf6lting Service Group,",, 13:36",\u25b26,4,2016
22,123,81,+14:12,26.0,Kerkhof Tim,23,Roompot - Oranje Peloton,13:42 13:42,\u25b23,4,2016
24,4,88,+14:30,25.0,Haller Marco,24,Team Katusha,14:00 14:00,\u25b21,4,2016
24,76,91,+14:37,13.0,Van Meirhaeghe Jef,25,Topsport Vlaanderen - Baloise,14:07 14:07,\u25bc12,4,2016
22,126,95,+15:08,30.0,Slik Ivar,26,Roompot - Oranje Peloton,14:38 14:38,\u25b24,4,2016
22,72,98,+15:51,31.0,Capiot Amaury,27,Topsport Vlaanderen - Baloise,15:21 15:21,\u25b24,4,2016
20,166,99,+15:58,18.0,Pedersen Mads,28,St\xf6lting Service Group,15:28 15:28,\u25bc10,4,2016
23,163,100,+16:07,19.0,Kirsch Alex,29,St\xf6lting Service Group,15:37 15:37,\u25bc10,4,2016
21,105,108,+18:07,24.0,Lowndes Jason,30,Drapac Professional Cycling,17:37 17:37,\u25bc6,4,2016
24,73,110,+18:24,27.0,De Tier Floris,31,Topsport Vlaanderen - Baloise,17:54 17:54,\u25bc4,4,2016
21,138,120,+21:42,32.0,Zurlo Federico,32,Lampre - Merida,21:12 21:12,-,4,2016
