Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
27,6,+1:00,28.0,Veelers Tom,6,Argos - Shimano,1:00 1:00,+0:17,,\u25b222,4,2012
30,7,+1:06,31.0,Cancellara Fabian,7,RadioShack - Nissan,1:06 1:06,+0:09,,\u25b224,4,2012
24,8,+1:09,13.0,Navardauskas Ramunas,8,Team Garmin - Barracuda,1:09 1:09,+0:50,,\u25b25,4,2012
25,9,+1:10,14.0,Kruopis Aidis,9,Orica GreenEDGE,1:10 1:10,+0:49,,\u25b25,4,2012
22,10,+1:14,10.0,Blythe Adam,10,BMC Racing Team,1:14 1:14,+0:55,,-,4,2012
26,11,+1:15,3.0,Cavendish Mark,11,Sky Procycling,1:15 1:15,+1:07,,\u25bc8,4,2012
31,12,+1:19,4.0,Vansummeren Johan,12,Team Garmin - Barracuda,1:19 1:19,+1:07,,\u25bc8,4,2012
27,13,+1:19,5.0,Dekker Thomas,13,Team Garmin - Barracuda,",, 1:19",+1:07,,\u25bc8,4,2012
33,14,+1:20,19.0,Cooke Baden,14,Orica GreenEDGE,1:20 1:20,+0:55,,\u25b25,4,2012
29,15,+1:32,18.0,Renshaw Mark,15,Rabobank Cycling Team,1:32 1:32,+1:07,,\u25b23,4,2012
23,16,+1:33,21.0,Gallopin Tony,16,RadioShack - Nissan,1:33 1:33,+1:07,,\u25b25,4,2012
23,17,+1:40,26.0,Degenkolb John,17,Argos - Shimano,1:40 1:40,+1:07,,\u25b29,4,2012
32,18,+1:45,24.0,Willems Frederik,18,Lotto Belisol Team,1:45 1:45,+1:16,,\u25b26,4,2012
22,19,+2:02,29.0,Sinkeldam Ramon,19,Argos - Shimano,2:02 2:02,+1:13,,\u25b210,4,2012
26,20,+2:15,7.0,Ignatyev Mikhail,20,Team Katusha,2:15 2:15,+1:58,,\u25bc13,4,2012
22,21,+2:16,9.0,Selig R\xfcdiger,21,Team Katusha,2:16 2:16,+1:58,,\u25bc12,4,2012
20,22,+2:17,12.0,van Keirsbulck Guillaume,22,Omega Pharma - Quick-Step,2:17 2:17,+1:58,,\u25bc10,4,2012
27,23,+2:19,33.0,Friedemann Matthias,23,Champion System Pro Cycling Team,2:19 2:19,+1:07,,\u25b210,4,2012
32,24,+2:19,15.0,Kuchynski Aliaksandr,24,Team Katusha,",, 2:19",+1:58,,\u25bc9,4,2012
29,25,+2:23,20.0,Gilbert Philippe,25,BMC Racing Team,2:23 2:23,+1:58,,\u25bc5,4,2012
29,26,+2:27,23.0,Wynants Maarten,26,Rabobank Cycling Team,2:27 2:27,+1:58,,\u25bc3,4,2012
25,27,+2:28,69.0,Offredo Yoann,27,FDJ - BigMat,2:28 2:28,+0:27,,\u25b242,4,2012
31,28,+2:30,25.0,Boucher David,28,FDJ - BigMat,2:30 2:30,+1:58,,\u25bc3,4,2012
34,29,+2:34,27.0,Tjallingii Maarten,29,Rabobank Cycling Team,2:34 2:34,+1:58,,\u25bc2,4,2012
24,30,+2:47,63.0,Stannard Ian,30,Sky Procycling,2:47 2:47,+0:49,,\u25b233,4,2012
31,31,+2:52,38.0,Chicchi Francesco,31,Omega Pharma - Quick-Step,2:52 2:52,+1:07,,\u25b27,4,2012
34,32,+2:55,30.0,Tuft Svein,32,Orica GreenEDGE,2:55 2:55,+1:58,,\u25bc2,4,2012
27,33,+2:55,32.0,Langeveld Sebastian,33,Orica GreenEDGE,",, 2:55",+1:58,,\u25bc1,4,2012
25,34,+2:58,47.0,Oss Daniel,34,Liquigas - Cannondale,2:58 2:58,+1:07,,\u25b213,4,2012
23,35,+2:59,52.0,Nizzolo Giacomo,35,RadioShack - Nissan,2:59 2:59,+1:07,,\u25b217,4,2012
23,36,+3:01,57.0,Lodewyck Klaas,36,BMC Racing Team,3:01 3:01,+1:07,,\u25b221,4,2012
