Age,GC,GC-Time,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
31,1,+0:00,,Boonen Tom,1,Omega Pharma - Quick-Step,3:11:22 3:11:22,+0:00,10.0,,1,2012
22,2,+0:04,,Blythe Adam,2,BMC Racing Team,0:04 0:04,+0:04,,,1,2012
22,3,+0:06,,Sagan Peter,3,Liquigas - Cannondale,0:06 0:06,+0:06,,,1,2012
27,4,+0:07,,Farrar Tyler,4,Team Garmin - Barracuda,0:07 0:07,+0:07,,,1,2012
30,5,+0:07,,Hansen Adam,5,Lotto Belisol Team,",, 0:07",+0:07,,,1,2012
22,6,+0:08,,Appollonio Davide,6,Sky Procycling,0:08 0:08,+0:08,,,1,2012
20,7,+0:08,,Haller Marco,7,Team Katusha,",, 0:08",+0:08,,,1,2012
29,8,+0:09,,Renshaw Mark,8,Rabobank Cycling Team,0:09 0:09,+0:09,,,1,2012
25,9,+0:09,,Maes Nikolas,9,Omega Pharma - Quick-Step,",, 0:09",+0:09,,,1,2012
25,10,+0:10,,Oss Daniel,10,Liquigas - Cannondale,0:10 0:10,+0:10,,,1,2012
24,11,+0:10,,Kristoff Alexander,11,Team Katusha,",, 0:10",+0:10,,,1,2012
25,12,+0:10,,van Genechten Jonas,12,Lotto Belisol Team,",, 0:10",+0:10,,,1,2012
28,13,+0:10,,Wagner Robert,13,RadioShack - Nissan,",, 0:10",+0:10,,,1,2012
20,14,+0:10,,D\xe9mare Arnaud,14,FDJ - BigMat,",, 0:10",+0:10,,,1,2012
23,15,+0:10,,Nizzolo Giacomo,15,RadioShack - Nissan,",, 0:10",+0:10,,,1,2012
31,16,+0:10,,Chicchi Francesco,16,Omega Pharma - Quick-Step,",, 0:10",+0:10,,,1,2012
29,17,+0:10,,Sieberg Marcel,17,Lotto Belisol Team,",, 0:10",+0:10,,,1,2012
31,18,+0:10,,Steegmans Gert,18,Omega Pharma - Quick-Step,",, 0:10",+0:10,,,1,2012
23,19,+0:10,,Degenkolb John,19,Argos - Shimano,",, 0:10",+0:10,,,1,2012
23,20,+0:10,,Soupe Geoffrey,20,FDJ - BigMat,",, 0:10",+0:10,,,1,2012
33,21,+0:10,,Cooke Baden,21,Orica GreenEDGE,",, 0:10",+0:10,,,1,2012
20,22,+0:10,,van Keirsbulck Guillaume,22,Omega Pharma - Quick-Step,",, 0:10",+0:10,,,1,2012
32,23,+0:10,,Bak Lars Ytting,23,Lotto Belisol Team,",, 0:10",+0:10,,,1,2012
34,24,+0:10,,Hushovd Thor,24,BMC Racing Team,",, 0:10",+0:10,,,1,2012
26,25,+0:10,,Sabatini Fabio,25,Liquigas - Cannondale,",, 0:10",+0:10,,,1,2012
27,26,+0:10,,Friedemann Matthias,26,Champion System Pro Cycling Team,",, 0:10",+0:10,,,1,2012
25,27,+0:10,,Isaychev Vladimir,27,Team Katusha,",, 0:10",+0:10,,,1,2012
30,28,+0:10,,Eisel Bernhard,28,Sky Procycling,",, 0:10",+0:10,,,1,2012
24,29,+0:10,,Smukulis Gatis,29,Team Katusha,",, 0:10",+0:10,,,1,2012
32,30,+0:10,,Curvers Roy,30,Argos - Shimano,",, 0:10",+0:10,,,1,2012
29,31,+0:10,,Rollin Dominique,31,FDJ - BigMat,",, 0:10",+0:10,,,1,2012
24,32,+0:10,,van Winden Dennis,32,Rabobank Cycling Team,",, 0:10",+0:10,,,1,2012
31,33,+0:10,,Boucher David,33,FDJ - BigMat,",, 0:10",+0:10,,,1,2012
24,34,+0:10,,Stannard Ian,34,Sky Procycling,",, 0:10",+0:10,,,1,2012
32,35,+0:10,,Kuchynski Aliaksandr,35,Team Katusha,",, 0:10",+0:10,,,1,2012
27,36,+0:10,,Veelers Tom,36,Argos - Shimano,",, 0:10",+0:10,,,1,2012
39,37,+0:10,,McEwen Robbie,37,Orica GreenEDGE,",, 0:10",+0:10,,,1,2012
25,38,+0:10,,Kruopis Aidis,38,Orica GreenEDGE,",, 0:10",+0:10,,,1,2012
26,39,+0:10,,Delage Micka\xebl,39,FDJ - BigMat,",, 0:10",+0:10,,,1,2012
34,40,+0:10,,Tuft Svein,40,Orica GreenEDGE,",, 0:10",+0:10,,,1,2012
21,41,+0:10,,Phinney Taylor,41,BMC Racing Team,",, 0:10",+0:10,,,1,2012
31,42,+0:10,,Gardeyn Gorik,42,Champion System Pro Cycling Team,",, 0:10",+0:10,,,1,2012
29,43,+0:10,,Wynants Maarten,43,Rabobank Cycling Team,",, 0:10",+0:10,,,1,2012
28,44,+0:10,,Beppu Fumiyuki,44,Orica GreenEDGE,",, 0:10",+0:10,,,1,2012
26,45,+0:10,,Kluge Roger,45,Argos - Shimano,",, 0:10",+0:10,,,1,2012
31,46,+0:10,,Vansummeren Johan,46,Team Garmin - Barracuda,",, 0:10",+0:10,,,1,2012
36,47,+0:10,,Barry Michael,47,Sky Procycling,",, 0:10",+0:10,,,1,2012
28,48,+0:10,,Kemps Aaron,48,Champion System Pro Cycling Team,",, 0:10",+0:10,,,1,2012
30,49,+0:10,,Sohrabi Mehdi,49,Lotto Belisol Team,",, 0:10",+0:10,,,1,2012
35,50,+0:10,,Rasch Gabriel,50,FDJ - BigMat,",, 0:10",+0:10,,,1,2012
26,51,+0:10,,Cavendish Mark,51,Sky Procycling,",, 0:10",+0:10,,,1,2012
24,52,+0:10,,Navardauskas Ramunas,52,Team Garmin - Barracuda,",, 0:10",+0:10,,,1,2012
25,53,+0:10,,Schar Michael,53,BMC Racing Team,",, 0:10",+0:10,,,1,2012
34,54,+0:10,,Flecha Juan Antonio,54,Sky Procycling,",, 0:10",+0:10,,,1,2012
30,55,+0:10,,Shimizu Miyataka,55,Team Bridgestone Anchor,",, 0:10",+0:10,,,1,2012
32,56,+0:10,,Rast Gregory,56,RadioShack - Nissan,",, 0:10",+0:10,,,1,2012
25,57,+0:10,,Offredo Yoann,57,FDJ - BigMat,",, 0:10",+0:10,,,1,2012
22,58,+0:10,,Selig R\xfcdiger,58,Team Katusha,",, 0:10",+0:10,,,1,2012
30,59,+0:10,,Da Dalto Mauro,59,Liquigas - Cannondale,",, 0:10",+0:10,,,1,2012
26,60,+0:10,,Wyss Danilo,60,BMC Racing Team,",, 0:10",+0:10,,,1,2012
27,61,+0:10,,Marangoni Alan,61,Liquigas - Cannondale,",, 0:10",+0:10,,,1,2012
32,62,+0:10,,Brown Graeme,62,Rabobank Cycling Team,",, 0:10",+0:10,,,1,2012
31,63,+0:10,,Longo Borghini Paolo,63,Liquigas - Cannondale,",, 0:10",+0:10,,,1,2012
33,64,+0:10,,Hulsmans Kevin,64,Farnese Vini-Neri-Sottoli,",, 0:10",+0:10,,,1,2012
29,65,+0:10,,de Kort Koen,65,Argos - Shimano,",, 0:10",+0:10,,,1,2012
22,66,+0:10,,Sinkeldam Ramon,66,Argos - Shimano,",, 0:10",+0:10,,,1,2012
38,67,+0:10,,McCann David,67,RTS Racing Team,",, 0:10",+0:10,,,1,2012
31,68,+0:10,,Mouris Jens,68,Orica GreenEDGE,",, 0:10",+0:10,,,1,2012
26,69,+0:10,,Bodnar Maciej,69,Liquigas - Cannondale,",, 0:10",+0:10,,,1,2012
23,70,+0:10,,Gallopin Tony,70,RadioShack - Nissan,",, 0:10",+0:10,,,1,2012
32,71,+0:10,,Willems Frederik,71,Lotto Belisol Team,",, 0:10",+0:10,,,1,2012
32,72,+0:10,,Popovych Yaroslav,72,RadioShack - Nissan,",, 0:10",+0:10,,,1,2012
30,73,+0:10,,Ojavee Mart,73,Champion System Pro Cycling Team,",, 0:10",+0:10,,,1,2012
30,74,+0:10,,Cancellara Fabian,74,RadioShack - Nissan,",, 0:10",+0:10,,,1,2012
20,75,+0:10,,Rathe Jacob,75,Team Garmin - Barracuda,",, 0:10",+0:10,,,1,2012
29,76,+0:10,,Gilbert Philippe,76,BMC Racing Team,",, 0:10",+0:10,,,1,2012
26,77,+0:10,,Ignatyev Mikhail,77,Team Katusha,",, 0:10",+0:10,,,1,2012
30,78,+0:10,,Knees Christian,78,Sky Procycling,",, 0:10",+0:10,,,1,2012
27,79,+0:10,,Dekker Thomas,79,Team Garmin - Barracuda,",, 0:10",+0:10,,,1,2012
26,80,+0:10,,Kohler Martin,80,BMC Racing Team,",, 0:10",+0:10,,,1,2012
26,81,+0:10,,van Emden Jos,81,Rabobank Cycling Team,",, 0:10",+0:10,,,1,2012
28,82,+0:10,,Crawford Jai,82,Genesys Wealth Advisers,",, 0:10",+0:10,,,1,2012
28,83,+0:10,,Ascani Luca,83,Farnese Vini-Neri-Sottoli,",, 0:10",+0:10,,,1,2012
22,84,+0:10,,Guardini Andrea,84,Farnese Vini-Neri-Sottoli,",, 0:10",+0:10,,,1,2012
30,85,+0:10,,Pozzato Filippo,85,Farnese Vini-Neri-Sottoli,",, 0:10",+0:10,,,1,2012
35,86,+0:10,,Henderson Gregory,86,Lotto Belisol Team,",, 0:10",+0:10,,,1,2012
26,87,+0:10,,Lebas Thomas,87,Team Bridgestone Anchor,",, 0:10",+0:10,,,1,2012
32,88,+0:10,,Irizar Markel,88,RadioShack - Nissan,",, 0:10",+0:10,,,1,2012
23,89,+0:10,,Lemair Alexandre,89,Team Bridgestone Anchor,",, 0:10",+0:10,,,1,2012
27,90,+0:10,,Ladagnous Matthieu,90,FDJ - BigMat,",, 0:10",+0:10,,,1,2012
34,91,+0:10,,Tjallingii Maarten,91,Rabobank Cycling Team,",, 0:10",+0:10,,,1,2012
34,92,+0:10,,Hunter Robert,92,Team Garmin - Barracuda,",, 0:10",+0:10,,,1,2012
26,93,+0:10,,Sonnery Blaise,93,Team Bridgestone Anchor,",, 0:10",+0:10,,,1,2012
28,94,+0:10,,Rabon Frantisek,94,Omega Pharma - Quick-Step,",, 0:10",+0:10,,,1,2012
28,95,+0:10,,Coutts Alex,95,RTS Racing Team,",, 0:10",+0:10,,,1,2012
23,96,+0:10,,Lodewyck Klaas,96,BMC Racing Team,",, 0:10",+0:10,,,1,2012
39,97,+0:10,,Rodgers Lee,97,CCN Cycling Team,",, 0:10",+0:10,,,1,2012
31,98,+0:10,,Vanotti Alessandro,98,Liquigas - Cannondale,",, 0:10",+0:10,,,1,2012
26,99,+0:10,,Brammeier Matthew,99,Omega Pharma - Quick-Step,",, 0:10",+0:10,,,1,2012
27,100,+0:10,,Langeveld Sebastian,100,Orica GreenEDGE,",, 0:10",+0:10,,,1,2012
30,101,+0:10,,Posthuma Joost,101,RadioShack - Nissan,",, 0:10",+0:10,,,1,2012
30,102,+0:10,,Inoue Kazuo,102,Team Bridgestone Anchor,",, 0:10",+0:10,,,1,2012
25,103,+0:10,,Jiao Pengda,103,Champion System Pro Cycling Team,",, 0:10",+0:10,,,1,2012
26,104,+0:10,,Leezer Tom,104,Rabobank Cycling Team,",, 0:10",+0:10,,,1,2012
37,105,+0:10,,Hunt Jeremy,105,Sky Procycling,",, 0:10",+0:10,,,1,2012
26,106,+0:10,,Timmer Albert,106,Argos - Shimano,",, 0:10",+0:10,,,1,2012
25,107,+0:10,,Klemme Dominic,107,Argos - Shimano,",, 0:10",+0:10,,,1,2012
30,108,+0:10,,Caccia Diego,108,Farnese Vini-Neri-Sottoli,",, 0:10",+0:10,,,1,2012
23,109,+0:31,,Bertolini Thomas,109,Farnese Vini-Neri-Sottoli,0:31 0:31,+0:31,,,1,2012
25,110,+0:33,,De Negri Pier Paolo,110,Farnese Vini-Neri-Sottoli,0:33 0:33,+0:33,,,1,2012
22,111,+0:41,,Yoshida Hayato,111,Team Bridgestone Anchor,0:41 0:41,+0:41,,,1,2012
24,112,+0:43,,Avery Clinton,112,Champion System Pro Cycling Team,0:43 0:43,+0:43,,,1,2012
25,113,+0:47,,Sys Klaas,113,Team Bridgestone Anchor,0:47 0:47,+0:47,,,1,2012
27,114,+0:47,,Vandenbergh Stijn,114,Omega Pharma - Quick-Step,",, 0:47",+0:47,,,1,2012
32,115,+0:54,,Fischer Murilo Antonio,115,Team Garmin - Barracuda,0:54 0:54,+0:54,,,1,2012
26,116,+0:54,,Bauer Jack,116,Team Garmin - Barracuda,",, 0:54",+0:54,,,1,2012
22,117,+0:54,,Debusschere Jens,117,Lotto Belisol Team,",, 0:54",+0:54,,,1,2012
29,118,+0:59,,Benenati Cristian,118,Farnese Vini-Neri-Sottoli,0:59 0:59,+0:59,,,1,2012
31,119,+1:14,,Davis Allan,119,Orica GreenEDGE,1:14 1:14,+1:14,,,1,2012
28,120,+3:04,,Xu Gang,120,Champion System Pro Cycling Team,3:04 3:04,+3:04,,,1,2012
24,121,+3:04,,Galimzyanov Denis,121,Team Katusha,",, 3:04",+3:04,,,1,2012
24,122,+3:04,,Nishizono Ryota,122,Team Bridgestone Anchor,",, 3:04",+3:04,,,1,2012
23,123,+3:28,,Huang Chin-lung,123,RTS Racing Team,3:28 3:28,+3:28,,,1,2012
21,124,+12:48,,Huang Wen Chung,124,RTS Racing Team,12:48 12:48,+12:48,,,1,2012
33,125,+12:48,,Kudentsov Sergei,125,,",, 12:48",+12:48,,,1,2012
26,126,+12:48,,Chang Wei Kei,126,RTS Racing Team,",, 12:48",+12:48,,,1,2012
31,1,+0:00,1.0,Boonen Tom,1,Omega Pharma - Quick-Step,6:47:49 6:47:49,+0:00,10.0,-,3,2012
27,2,+0:06,2.0,Farrar Tyler,2,Team Garmin - Barracuda,0:06 0:06,+0:06,,-,3,2012
26,3,+0:08,20.0,Cavendish Mark,3,Sky Procycling,0:08 0:08,+-1:56,,\u25b217,3,2012
31,4,+0:12,3.0,Vansummeren Johan,4,Team Garmin - Barracuda,0:12 0:12,+0:09,,\u25bc1,3,2012
27,5,+0:12,5.0,Dekker Thomas,5,Team Garmin - Barracuda,",, 0:12",+0:09,,-,3,2012
34,6,+0:12,6.0,Hunter Robert,6,Team Garmin - Barracuda,",, 0:12",+0:09,,-,3,2012
26,7,+0:17,23.0,Ignatyev Mikhail,7,Team Katusha,0:17 0:17,+0:05,,\u25b216,3,2012
30,8,+0:18,17.0,Eisel Bernhard,8,Sky Procycling,0:18 0:18,+0:06,,\u25b29,3,2012
22,9,+0:18,22.0,Selig R\xfcdiger,9,Team Katusha,",, 0:18",+0:06,,\u25b213,3,2012
22,10,+0:19,25.0,Blythe Adam,10,BMC Racing Team,0:19 0:19,+0:06,,\u25b215,3,2012
31,11,+0:19,9.0,Steegmans Gert,11,Omega Pharma - Quick-Step,",, 0:19",+0:09,,\u25bc2,3,2012
20,12,+0:19,10.0,van Keirsbulck Guillaume,12,Omega Pharma - Quick-Step,",, 0:19",+0:09,,\u25bc2,3,2012
24,13,+0:19,4.0,Navardauskas Ramunas,13,Team Garmin - Barracuda,",, 0:19",+0:16,,\u25bc9,3,2012
25,14,+0:21,41.0,Kruopis Aidis,14,Orica GreenEDGE,0:21 0:21,+0:02,,\u25b227,3,2012
32,15,+0:21,26.0,Kuchynski Aliaksandr,15,Team Katusha,",, 0:21",+0:06,,\u25b211,3,2012
34,16,+0:21,21.0,Flecha Juan Antonio,16,Sky Procycling,",, 0:21",+0:09,,\u25b25,3,2012
28,17,+0:23,32.0,Wagner Robert,17,RadioShack - Nissan,0:23 0:23,+0:06,,\u25b215,3,2012
29,18,+0:25,38.0,Renshaw Mark,18,Rabobank Cycling Team,0:25 0:25,+0:06,,\u25b220,3,2012
33,19,+0:25,39.0,Cooke Baden,19,Orica GreenEDGE,",, 0:25",+0:06,,\u25b220,3,2012
29,20,+0:25,46.0,Gilbert Philippe,20,BMC Racing Team,",, 0:25",+0:06,,\u25b226,3,2012
23,21,+0:26,34.0,Gallopin Tony,21,RadioShack - Nissan,0:26 0:26,+0:09,,\u25b213,3,2012
30,22,+0:26,37.0,Hansen Adam,22,Lotto Belisol Team,",, 0:26",+0:09,,\u25b215,3,2012
29,23,+0:29,53.0,Wynants Maarten,23,Rabobank Cycling Team,0:29 0:29,+0:09,,\u25b230,3,2012
32,24,+0:29,55.0,Willems Frederik,24,Lotto Belisol Team,",, 0:29",+0:09,,\u25b231,3,2012
31,25,+0:32,63.0,Boucher David,25,FDJ - BigMat,0:32 0:32,+0:06,,\u25b238,3,2012
23,26,+0:33,68.0,Degenkolb John,26,Argos - Shimano,0:33 0:33,+0:06,,\u25b242,3,2012
34,27,+0:36,57.0,Tjallingii Maarten,27,Rabobank Cycling Team,0:36 0:36,+0:16,,\u25b230,3,2012
27,28,+0:43,69.0,Veelers Tom,28,Argos - Shimano,0:43 0:43,+0:16,,\u25b241,3,2012
22,29,+0:49,72.0,Sinkeldam Ramon,29,Argos - Shimano,0:49 0:49,+0:22,,\u25b243,3,2012
34,30,+0:57,42.0,Tuft Svein,30,Orica GreenEDGE,0:57 0:57,+0:38,,\u25b212,3,2012
30,31,+0:57,35.0,Cancellara Fabian,31,RadioShack - Nissan,",, 0:57",+0:40,,\u25b24,3,2012
27,32,+0:57,49.0,Langeveld Sebastian,32,Orica GreenEDGE,",, 0:57",+0:38,,\u25b217,3,2012
27,33,+1:12,84.0,Friedemann Matthias,33,Champion System Pro Cycling Team,1:12 1:12,+0:06,,\u25b251,3,2012
30,34,+1:21,87.0,Ojavee Mart,34,Champion System Pro Cycling Team,1:21 1:21,+0:15,,\u25b253,3,2012
23,35,+1:29,95.0,Lemair Alexandre,35,Team Bridgestone Anchor,1:29 1:29,+0:15,,\u25b260,3,2012
32,36,+1:38,92.0,Fischer Murilo Antonio,36,Team Garmin - Barracuda,1:38 1:38,+0:25,,\u25b256,3,2012
22,37,+1:45,7.0,Appollonio Davide,37,Sky Procycling,1:45 1:45,+1:35,,\u25bc30,3,2012
