Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,Time won/lost,stage,year
36,,161,,+0:00,,Simoni Gilberto,36,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, 0:20",,2,2008
30,,24,,+0:00,,Colom Antonio,37,Astana,0:31 0:31,,2,2008
35,,27,,+0:00,,Mizurov Andrey,38,Astana,",, 0:31",,2,2008
26,,212,,+0:00,,Kiryienka Vasil,39,Tinkoff Credit Systems,",, 0:31",,2,2008
36,,196,,+0:00,,Voigt Jens,40,CSC ProTeam,",, 0:31",,2,2008
32,,105,,+0:00,,Pinotti Marco,41,Team Highroad,",, 0:31",,2,2008
27,,194,,+0:00,,Larsson Gustav,42,CSC ProTeam,",, 0:31",,2,2008
33,,62,,+0:00,,Baliani Fortunato,43,CSF Group - Navigare,",, 0:31",,2,2008
30,,115,,+0:00,,Szmyd Sylwester,44,Lampre,",, 0:31",,2,2008
25,,69,,+0:00,,Pozzovivo Domenico,45,CSF Group - Navigare,",, 0:31",,2,2008
34,,124,,+0:00,,Miholjevic Vladimir,46,Liquigas,0:34 0:34,,2,2008
21,,116,,+0:00,,Spilak Simon,47,Lampre,",, 0:34",,2,2008
28,,49,,+0:00,,Pasamontes Luis,48,Caisse d'Epargne,",, 0:34",,2,2008
25,,23,,+0:00,,Gusev Vladimir,49,Astana,",, 0:34",,2,2008
31,,11,,+0:00,,Valjavec Tadej,50,AG2R La Mondiale,",, 0:34",,2,2008
28,,179,,+0:00,,Van Huffel Wim,51,Silence - Lotto,",, 0:34",,2,2008
29,,96,,+0:00,,Moletta Andrea,52,Gerolsteiner,",, 0:34",,2,2008
28,,149,,+0:00,,Ardila Mauricio Alberto,53,Rabobank ProTeam,",, 0:34",,2,2008
26,,132,,+0:00,,Efimkin Alexander,54,Quickstep - Innergetic,",, 0:34",,2,2008
29,,169,,+0:00,,Serpa Jose Rodolfo,55,Serramenti PVC Diquigiovanni-Androni Giocattoli,0:38 0:38,,2,2008
24,,13,,+0:00,,Mandri Ren\xe9,56,AG2R La Mondiale,0:47 0:47,,2,2008
29,,211,,+0:00,,Petrov Evgeni,57,Tinkoff Credit Systems,",, 0:47",,2,2008
25,,38,,+0:00,,Soler Juan Mauricio,58,Barloworld,0:54 0:54,,2,2008
24,,12,,+0:00,,Deignan Philip,59,AG2R La Mondiale,",, 0:54",,2,2008
25,,78,,+0:00,,Perez Alan,60,Euskaltel - Euskadi,",, 0:54",,2,2008
26,,136,,+0:00,,Schwab Hubert,61,Quickstep - Innergetic,",, 0:54",,2,2008
23,,123,,+0:00,,Cataldo Dario,62,Liquigas,",, 0:54",,2,2008
35,,33,,+0:00,,Rafael Cardenas F\xe9lix,63,Barloworld,",, 0:54",,2,2008
24,,99,,+0:00,,Russ Matthias,64,Gerolsteiner,",, 0:54",,2,2008
30,,129,,+0:00,,Wegelius Charles,65,Liquigas,",, 0:54",,2,2008
27,,2,,+0:00,,Bailetti Paolo,66,Team LPR Brakes,",, 0:54",,2,2008
27,,121,,+0:00,,Bennati Daniele,67,Liquigas,",, 0:54",,2,2008
28,,79,,+0:00,,Velasco Ivan,68,Euskaltel - Euskadi,",, 0:54",,2,2008
32,,85,,+0:00,,le Boulanger Yoann,69,Fran\xe7aise des Jeux,",, 0:54",,2,2008
27,,218,,+0:00,,Klimov Sergey,70,Tinkoff Credit Systems,",, 0:54",,2,2008
29,,157,,+0:00,,Cama\xf1o Iker,71,Saunier Duval,",, 0:54",,2,2008
