Rnk,BIB,Rider,Age,Team,year,stage
47,12.0,Casarotto Davide,29,,2001,21
48,28.0,Serri Eddy,26,Alexia Alluminio,2001,21
49,108.0,Faresin Gianni,35,Liquigas - Pata,2001,21
50,172.0,Luttenberger Peter,28,Tacconi Sport - Vini Caldirola,2001,21
51,147.0,Nozal Isidro,23,O.N.C.E. - Eroski,2001,21
52,127.0,De Paoli Daniele,27,Mercatone Uno - Stream TV,2001,21
53,66.0,Peron Andrea,29,Fassa Bortolo,2001,21
54,173.0,Bossoni Paolo,24,Tacconi Sport - Vini Caldirola,2001,21
55,154.0,Mori Massimiliano,27,Saeco,2001,21
56,72.0,Bruseghin Marzio,26,Ibanesto.com,2001,21
57,58.0,Varriale Antonio,27,Panaria - Fiordo,2001,21
58,152.0,Conte Biagio,33,Saeco,2001,21
59,119.0,Verbrugghe Ief,25,Lotto - Adecco,2001,21
60,135.0,Gobbi Michele,23,,2001,21
61,86.0,Lopez Joaquin,25,Kelme - Costa Blanca,2001,21
62,,Marin Valencia Ruben,32,,2001,21
63,61.0,Baldato Fabio,32,Fassa Bortolo,2001,21
64,29.0,Villa Marco,32,Alexia Alluminio,2001,21
65,162.0,Joaquin Castelblanco Jos\xe9,31,Selle Italia - Pacific,2001,21
66,,Zinetti Mauro,25,,2001,21
67,186.0,Lunghi Denis,25,Colpack,2001,21
68,44.0,Gentili Massimiliano,29,Cantina Tollo - Acqua e Sapone,2001,21
69,192.0,Elli Alberto,37,Team Telekom,2001,21
70,74.0,Navas David,27,Ibanesto.com,2001,21
71,34.0,Voeckler Thomas,21,Bonjour,2001,21
72,81.0,Desbiens Laurent,31,Kelme - Costa Blanca,2001,21
73,182.0,Carrara Matteo,22,Colpack,2001,21
74,92.0,Camenzind Oscar,29,Lampre - Daikin,2001,21
75,146.0,Hruska Jan,26,O.N.C.E. - Eroski,2001,21
76,2.0,Nocentini Rinaldo,23,Mapei - Quickstep,2001,21
77,188.0,Mazzoleni Renzo,24,Colpack,2001,21
78,54.0,Coppolillo Michele,33,Panaria - Fiordo,2001,21
79,112.0,Brandt Christophe,24,Lotto - Adecco,2001,21
80,126.0,Mondini Gianpaolo,28,Mercatone Uno - Stream TV,2001,21
81,123.0,Brignoli Ermanno,31,Mercatone Uno - Stream TV,2001,21
82,139.0,Gualdi Domenico,27,,2001,21
83,16.0,Ivanov Ruslan,27,Alessio,2001,21
84,4.0,Bramati Davide,32,Mapei - Quickstep,2001,21
85,67.0,Petito Roberto,30,Fassa Bortolo,2001,21
86,18.0,Shefer Alexandre,29,Alessio,2001,21
87,84.0,Leon Mane Francisco,28,Kelme - Costa Blanca,2001,21
88,153.0,Dufaux Laurent,32,Saeco,2001,21
89,24.0,Magnani Marco,26,Alexia Alluminio,2001,21
90,75.0,Latasa lasa David,27,Ibanesto.com,2001,21
91,15.0,Hvastija Martin,31,Alessio,2001,21
92,21.0,Andriotto Dario,28,Alexia Alluminio,2001,21
