Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
23,23,164.0,+2:36,,22.0,Felline Fabio,38,Androni Giocattoli - Venezuela,2:36 2:36,\u25bc16,2,2013
23,42,167.0,+2:37,,35.0,Battaglin Enrico,39,Bardiani Valvole - CSF Inox,2:37 2:37,\u25bc4,2,2013
23,82,174.0,+2:50,,44.0,Avila Edwin,40,Team Colombia,2:50 2:50,\u25b24,2,2013
23,62,176.0,+2:58,,4.0,Blythe Adam,41,BMC Racing Team,2:58 2:58,\u25bc37,2,2013
25,64,177.0,+2:58,,41.0,Lodewyck Klaas,42,BMC Racing Team,",, 2:58",\u25bc1,2,2013
24,136,180.0,+3:21,,23.0,Dockx Gert,43,Lotto Belisol Team,3:21 3:21,\u25bc20,2,2013
23,159,193.0,+3:53,,49.0,Vermote Julien,44,Omega Pharma - Quick-Step,3:53 3:53,\u25b25,2,2013
25,213,195.0,+3:56,,45.0,Keizer Martijn,45,Vacansoleil - DCM,3:56 3:56,-,2,2013
25,133,196.0,+4:03,,48.0,Bulgac Brian,46,Lotto Belisol Team,4:03 4:03,\u25b22,2,2013
22,100,200.0,+5:02,,2.0,Bouhanni Nacer,47,FDJ.fr,5:02 5:02,\u25bc45,2,2013
24,215,203.0,+5:37,,47.0,Ligthart Pim,48,Vacansoleil - DCM,5:37 5:37,\u25bc1,2,2013
23,52,204.0,+6:09,,46.0,Bobridge Jack,49,Blanco Pro Cycling Team,6:09 6:09,\u25bc3,2,2013
36,111,,,29.0,14.0,Paolini Luca,1,Team Katusha,,\u25b213,3,2013
27,151,,,28.0,1.0,Cavendish Mark,2,Omega Pharma - Quick-Step,,\u25bc1,3,2013
36,61,,,20.0,,Evans Cadel,3,BMC Racing Team,,-,3,2013
24,78,,,20.0,2.0,Viviani Elia,4,Cannondale Pro Cycling Team,,\u25bc2,3,2013
32,1,,,16.0,,Hesjedal Ryder,5,Garmin Sharp,,-,3,2013
22,100,,,16.0,3.0,Bouhanni Nacer,6,FDJ.fr,,\u25bc3,3,2013
28,228,,,,,Santambrogio Mauro,7*,Vini Fantini,,-,3,2013
24,175,,,14.0,4.0,Nizzolo Giacomo,7,RadioShack - Leopard,,\u25bc3,3,2013
39,172,,,14.0,5.0,Hondo Danilo,8,RadioShack - Leopard,,\u25bc3,3,2013
23,219,,,13.0,,Wauters Willem,9,Vacansoleil - DCM,,-,3,2013
29,193,,,12.0,,de Backer Bert,10,Team Argos - Shimano,,-,3,2013
26,203,,,12.0,,Boaro Manuele,11,Team Saxo - Tinkoff,,-,3,2013
26,161,,,12.0,6.0,Goss Matthew,12,Orica GreenEDGE,,\u25bc6,3,2013
35,91,,,12.0,,S\xe1nchez Samuel,13,Euskaltel - Euskadi,,-,3,2013
32,114,,,12.0,,Caruso Giampaolo,14,Team Katusha,,-,3,2013
31,148,,,10.0,7.0,Ventoso Francisco,15,Movistar Team,,\u25bc8,3,2013
23,62,,,10.0,8.0,Blythe Adam,16,BMC Racing Team,,\u25bc8,3,2013
32,169,,,9.0,,Weening Pieter,17,Orica GreenEDGE,,-,3,2013
33,181,,,9.0,,Wiggins Bradley,18,Sky Procycling,,-,3,2013
29,79,,,8.0,9.0,Wurf Cameron,19,Cannondale Pro Cycling Team,,\u25bc10,3,2013
23,163,,,8.0,10.0,Howard Leigh,20,Orica GreenEDGE,,\u25bc10,3,2013
27,145,,,8.0,,Intxausti Be\xf1at,21,Movistar Team,,-,3,2013
26,51,,,7.0,,Gesink Robert,22,Blanco Pro Cycling Team,,-,3,2013
33,165,,,6.0,11.0,Lancaster Brett,23,Orica GreenEDGE,,\u25bc12,3,2013
26,173,,,6.0,,Ki\u0161erlovski Robert,24,RadioShack - Leopard,,-,3,2013
24,191,,,5.0,12.0,Degenkolb John,25,Team Argos - Shimano,,\u25bc13,3,2013
29,211,,,5.0,13.0,Marcato Marco,26,Vacansoleil - DCM,,\u25bc13,3,2013
35,2,,,4.0,,Danielson Thomas,27,Garmin Sharp,,-,3,2013
29,68,,,4.0,,Santaromita Ivan,28,BMC Racing Team,,-,3,2013
29,132,,,3.0,,Bellemakers Dirk,29,Lotto Belisol Team,,-,3,2013
32,96,,,3.0,15.0,Tamouridis Ioannis,30,Euskaltel - Euskadi,,\u25bc15,3,2013
26,188,,,3.0,,Uran Rigoberto,31,Sky Procycling,,-,3,2013
