Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
33,19,2.0,21.0,Montaguti Matteo,22,AG2R La Mondiale,,\u25bc1,6,2017
25,199,2.0,,Stuyven Jasper,23,Trek - Segafredo,,-,6,2017
24,121,1.0,22.0,Yates Adam,24,ORICA-Scott,,\u25bc2,6,2017
30,3,1.0,23.0,Boaro Manuele,25,Bahrain Merida Pro Cycling Team,,\u25bc2,6,2017
29,96,1.0,24.0,Rovny Ivan,26,Gazprom-RusVelo,,\u25bc2,6,2017
26,215,1.0,25.0,Koshevoy Ilia,27,Wilier Triestina - Selle Italia,,\u25bc2,6,2017
33,72,1.0,26.0,Bialoblocki Marcin,28,CCC Sprandi Polkowice,,\u25bc2,6,2017
25,209,44.0,,Polanc Jan,1,UAE Team Emirates,,,8,2017
28,148,23.0,,Teklehaimanot Daniel,2,Team Dimension Data,,,8,2017
33,27,18.0,,Sanchez Luis Leon,3,Astana Pro Team,,,8,2017
27,151,18.0,,Zakarin Ilnur,4,Team Katusha - Alpecin,,,8,2017
29,146,15.0,,Janse van Rensburg Jacques,5,Team Dimension Data,,,8,2017
23,33,15.0,,Andreetta Simone,6,Bardiani - CSF,,,8,2017
30,179,12.0,,Thomas Geraint,7,Team Sky,,,8,2017
29,52,9.0,,Benedetti Cesare,8,BORA - hansgrohe,,,8,2017
26,81,9.0,,Pinot Thibaut,9,FDJ,,,8,2017
26,144,9.0,,Fraile Omar,10,Team Dimension Data,,,8,2017
25,58,8.0,,P\xf6stlberger Lukas,11,BORA - hansgrohe,,,8,2017
34,9,8.0,,Visconti Giovanni,12,Bahrain Merida Pro Cycling Team,,,8,2017
35,92,7.0,,Brutt Pavel,13,Gazprom-RusVelo,,,8,2017
25,68,7.0,,Villella Davide,14,Cannondale-Drapac Pro Cycling Team,,,8,2017
32,22,6.0,,Cataldo Dario,15,Astana Pro Team,,,8,2017
30,61,6.0,,Rolland Pierre,16,Cannondale-Drapac Pro Cycling Team,,,8,2017
26,43,6.0,,Dillier Silvan,17,BMC Racing Team,,,8,2017
27,219,6.0,,Zhupa Eugert,18,Wilier Triestina - Selle Italia,,,8,2017
25,98,6.0,,Shalunov Evgeny,19,Gazprom-RusVelo,,,8,2017
26,181,4.0,,Dumoulin Tom,20,Team Sunweb,,,8,2017
32,194,4.0,,Didier Laurent,21,Trek - Segafredo,,,8,2017
26,192,4.0,,Alafaci Eugenio,22,Trek - Segafredo,,,8,2017
30,75,3.0,,Paterski Maciej,23,CCC Sprandi Polkowice,,,8,2017
27,79,3.0,,Tratnik Jan,24,CCC Sprandi Polkowice,,,8,2017
25,214,3.0,,Fonzi Giuseppe,25,Wilier Triestina - Selle Italia,,,8,2017
29,96,3.0,,Rovny Ivan,26,Gazprom-RusVelo,,,8,2017
24,131,2.0,,Jungels Bob,27,Quick-Step Floors,,,8,2017
24,202,2.0,,Conti Valerio,28,UAE Team Emirates,,,8,2017
33,19,2.0,,Montaguti Matteo,29,AG2R La Mondiale,,,8,2017
25,199,2.0,,Stuyven Jasper,30,Trek - Segafredo,,,8,2017
33,94,2.0,,Kozonchuk Dmitry,31,Gazprom-RusVelo,,,8,2017
24,121,1.0,,Yates Adam,32,ORICA-Scott,,,8,2017
30,3,1.0,,Boaro Manuele,33,Bahrain Merida Pro Cycling Team,,,8,2017
31,77,1.0,,Samoilau Branislau,34,CCC Sprandi Polkowice,,,8,2017
26,215,1.0,,Koshevoy Ilia,35,Wilier Triestina - Selle Italia,,,8,2017
33,72,1.0,,Bialoblocki Marcin,36,CCC Sprandi Polkowice,,,8,2017
25,209,44.0,1.0,Polanc Jan,1,UAE Team Emirates,,-,9,2017
27,111,35.0,,Quintana Nairo,2,Movistar Team,,-,9,2017
26,81,27.0,9.0,Pinot Thibaut,3,FDJ,,\u25b26,9,2017
28,148,23.0,2.0,Teklehaimanot Daniel,4,Team Dimension Data,,\u25bc2,9,2017
27,151,19.0,4.0,Zakarin Ilnur,5,Team Katusha - Alpecin,,\u25bc1,9,2017
33,27,18.0,3.0,Sanchez Luis Leon,6,Astana Pro Team,,\u25bc3,9,2017
26,181,16.0,20.0,Dumoulin Tom,7,Team Sunweb,,\u25b213,9,2017
29,146,15.0,5.0,Janse van Rensburg Jacques,8,Team Dimension Data,,\u25bc3,9,2017
23,33,15.0,6.0,Andreetta Simone,9,Bardiani - CSF,,\u25bc3,9,2017
30,179,12.0,7.0,Thomas Geraint,10,Team Sky,,\u25bc3,9,2017
29,52,9.0,8.0,Benedetti Cesare,11,BORA - hansgrohe,,\u25bc3,9,2017
30,191,9.0,,Mollema Bauke,12,Trek - Segafredo,,-,9,2017
26,144,9.0,10.0,Fraile Omar,13,Team Dimension Data,,\u25bc3,9,2017
25,58,8.0,11.0,P\xf6stlberger Lukas,14,BORA - hansgrohe,,\u25bc3,9,2017
