Age,BIB,Pnt,Prev,Rider,Rnk,Team,\u25bc\u25b2,stage,year
41,148,14.0,16.0,Petacchi Alessandro,20,Southeast,\u25bc4,5,2015
37,28,12.0,17.0,Tiralongo Paolo,21,Astana Pro Team,\u25bc4,5,2015
25,215,12.0,18.0,Felline Fabio,22,Trek Factory Racing,\u25bc4,5,2015
24,36,10.0,19.0,Colbrelli Sonny,23,Bardiani - CSF Pro Team,\u25bc4,5,2015
32,201,10.0,34.0,Contador Alberto,24,Tinkoff - Saxo,\u25b210,5,2015
23,122,10.0,21.0,Berlato Giacomo,25,Nippo - Vini Fantini,\u25bc4,5,2015
25,56,10.0,20.0,Owsian Lukasz,26,CCC Sprandi Polkowice,\u25bc6,5,2015
25,12,8.0,23.0,Appollonio Davide,27,Androni Giocattoli - Sidermec,\u25bc4,5,2015
30,191,7.0,41.0,Porte Richie,28,Team Sky,\u25b213,5,2015
30,22,7.0,32.0,Cataldo Dario,29,Astana Pro Team,\u25b23,5,2015
34,175,7.0,25.0,Lagutin Sergey,30,Team Katusha,\u25bc5,5,2015
33,124,7.0,24.0,Colli Daniele,31,Nippo - Vini Fantini,\u25bc7,5,2015
25,133,6.0,26.0,Chaves Johan Esteban,32,Orica GreenEDGE,\u25bc6,5,2015
27,185,6.0,27.0,Keizer Martijn,33,Team LottoNL-Jumbo,\u25bc6,5,2015
24,4,6.0,,Domont Axel,34,AG2R La Mondiale,-,5,2015
25,24,5.0,,Landa Mikel,35,Astana Pro Team,-,5,2015
29,52,5.0,28.0,Bole Grega,36,CCC Sprandi Polkowice,\u25bc8,5,2015
38,171,5.0,29.0,Paolini Luca,37,Team Katusha,\u25bc8,5,2015
30,146,4.0,30.0,Gavazzi Francesco,38,Southeast,\u25bc8,5,2015
29,205,3.0,31.0,Kreuziger Roman,39,Tinkoff - Saxo,\u25bc8,5,2015
31,177,3.0,,Trofimov Yuri,40,Team Katusha,-,5,2015
24,46,3.0,36.0,Dillier Silvan,41,BMC Racing Team,\u25bc5,5,2015
25,33,3.0,33.0,Battaglin Enrico,42,Bardiani - CSF Pro Team,\u25bc9,5,2015
27,45,2.0,,Caruso Damiano,43,BMC Racing Team,-,5,2015
31,8,2.0,39.0,Montaguti Matteo,44,AG2R La Mondiale,\u25bc5,5,2015
31,27,2.0,38.0,Sanchez Luis Leon,45,Astana Pro Team,\u25bc7,5,2015
30,54,2.0,37.0,Matysiak Bart\u0142omiej,46,CCC Sprandi Polkowice,\u25bc9,5,2015
26,166,2.0,40.0,Haga Chad,47,Team Giant - Alpecin,\u25bc7,5,2015
27,217,2.0,35.0,van Poppel Boy,48,Trek Factory Racing,\u25bc13,5,2015
28,112,1.0,43.0,Amador Andrey,49,Movistar Team,\u25bc6,5,2015
27,42,1.0,,Atapuma John Darwin,50,BMC Racing Team,-,5,2015
26,214,1.0,44.0,Coledan Marco,51,Trek Factory Racing,\u25bc7,5,2015
29,176,1.0,42.0,Porsev Alexander,52,Team Katusha,\u25bc10,5,2015
32,104,75.0,9.0,Greipel Andr\xe9,1,Lotto Soudal,\u25b28,6,2015
26,199,73.0,1.0,Viviani Elia,2,Team Sky,\u25bc1,6,2015
30,15,40.0,2.0,Frapporti Marco,3,Androni Giocattoli - Sidermec,\u25bc1,6,2015
26,211,40.0,17.0,Nizzolo Giacomo,4,Trek Factory Racing,\u25b213,6,2015
23,184,40.0,3.0,Hofland Moreno,5,Team LottoNL-Jumbo,\u25bc2,6,2015
26,86,35.0,,Pelucchi Matteo,6,IAM Cycling,-,6,2015
23,97,34.0,4.0,Polanc Jan,7,Lampre - Merida,\u25bc3,6,2015
22,156,26.0,5.0,Formolo Davide,8,Team Cannondale - Garmin,\u25bc3,6,2015
32,41,26.0,6.0,Gilbert Philippe,9,BMC Racing Team,\u25bc3,6,2015
28,134,26.0,7.0,Clarke Simon,10,Orica GreenEDGE,\u25bc3,6,2015
41,148,26.0,20.0,Petacchi Alessandro,11,Southeast,\u25b29,6,2015
26,161,26.0,15.0,Mezgec Luka,12,Team Giant - Alpecin,\u25b23,6,2015
24,131,25.0,8.0,Matthews Michael,13,Orica GreenEDGE,\u25bc5,6,2015
27,94,25.0,,Modolo Sacha,14,Lampre - Merida,-,6,2015
22,126,24.0,,Grosu Eduard Michael,15,Nippo - Vini Fantini,-,6,2015
34,57,24.0,,Rutkiewicz Marek,16,CCC Sprandi Polkowice,-,6,2015
35,81,23.0,10.0,Chavanel Sylvain,17,IAM Cycling,\u25bc7,6,2015
24,21,21.0,11.0,Aru Fabio,18,Astana Pro Team,\u25bc7,6,2015
26,18,20.0,12.0,Tvetcov Serghei,19,Androni Giocattoli - Sidermec,\u25bc7,6,2015
30,13,20.0,,Bandiera Marco,20,Androni Giocattoli - Sidermec,-,6,2015
25,186,20.0,14.0,Lindeman Bert-Jan,21,Team LottoNL-Jumbo,\u25bc7,6,2015
25,149,20.0,13.0,Zhupa Eugert,22,Southeast,\u25bc9,6,2015
29,141,18.0,,Belletti Manuel,23,Southeast,-,6,2015
33,48,17.0,16.0,Moinard Ama\xebl,24,BMC Racing Team,\u25bc8,6,2015
25,147,16.0,18.0,Monsalve Yonathan,25,Southeast,\u25bc7,6,2015
32,119,14.0,19.0,Visconti Giovanni,26,Movistar Team,\u25bc7,6,2015
25,12,14.0,27.0,Appollonio Davide,27,Androni Giocattoli - Sidermec,-,6,2015
37,28,12.0,21.0,Tiralongo Paolo,28,Astana Pro Team,\u25bc7,6,2015
25,215,12.0,22.0,Felline Fabio,29,Trek Factory Racing,\u25bc7,6,2015
24,36,10.0,23.0,Colbrelli Sonny,30,Bardiani - CSF Pro Team,\u25bc7,6,2015
32,201,10.0,24.0,Contador Alberto,31,Tinkoff - Saxo,\u25bc7,6,2015
23,122,10.0,25.0,Berlato Giacomo,32,Nippo - Vini Fantini,\u25bc7,6,2015
25,56,10.0,26.0,Owsian Lukasz,33,CCC Sprandi Polkowice,\u25bc7,6,2015
24,4,8.0,34.0,Domont Axel,34,AG2R La Mondiale,-,6,2015
27,128,8.0,,Malaguti Alessandro,35,Nippo - Vini Fantini,-,6,2015
30,191,7.0,28.0,Porte Richie,36,Team Sky,\u25bc8,6,2015
30,22,7.0,29.0,Cataldo Dario,37,Astana Pro Team,\u25bc8,6,2015
34,175,7.0,30.0,Lagutin Sergey,38,Team Katusha,\u25bc8,6,2015
24,38,7.0,,Ruffoni Nicola,39,Bardiani - CSF Pro Team,-,6,2015
25,133,6.0,32.0,Chaves Johan Esteban,40,Orica GreenEDGE,\u25bc8,6,2015
27,185,6.0,33.0,Keizer Martijn,41,Team LottoNL-Jumbo,\u25bc8,6,2015
