Age,Avg,BIB,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,Time won/lost,stage,year
36,,28,,+0:00,,Rubiera Jos\xe9 Luis,41,Astana,",, ,,",,2,2009
37,,21,,+0:00,,Armstrong Lance,42,Astana,",, ,,",,2,2009
27,,181,,+0:00,,Pozzato Filippo,43,Team Katusha,",, ,,",,2,2009
29,,88,,+0:00,,Wiggins Bradley,44,Team Garmin - Slipstream,",, ,,",,2,2009
26,,164,,+0:00,,Gilbert Philippe,45,Silence - Lotto,",, ,,",,2,2009
27,,105,,+0:00,,Gasparotto Enrico,46,Lampre - NGC,",, ,,",,2,2009
25,,123,,+0:00,,Chiarini Riccardo,47,LPR Brakes - Farnese Vini,",, ,,",,2,2009
28,,143,,+0:00,,ten Dam Laurens,48,Rabobank ProTeam,",, ,,",,2,2009
30,,187,,+0:00,,Petrov Evgeni,49,Team Katusha,",, ,,",,2,2009
36,,35,,+0:00,,Rafael Cardenas F\xe9lix,50,Barloworld - Bianchi,",, ,,",,2,2009
21,,172,,+0:00,,Boasson Hagen Edvald,51,Team Columbia - HTC,",, ,,",,2,2009
31,,125,,+0:00,,Gol\u010der Jure,52,LPR Brakes - Farnese Vini,0:10 0:10,,2,2009
31,,111,,+0:00,,Basso Ivan,53,Liquigas,0:13 0:13,,2,2009
34,,145,,+0:00,,de Groot Bram,54,Rabobank ProTeam,",, 0:13",,2,2009
35,,65,,+0:00,,Hunt Jeremy,55,Cervelo Test Team,",, 0:13",,2,2009
34,,93,,+0:00,,Cioni Dario,56,ISD Cycling Team,",, 0:13",,2,2009
30,,14,,+0:00,,Krivtsov Yuriy,57,AG2R La Mondiale,",, 0:13",,2,2009
31,,16,,+0:00,,Dion Renaud,58,AG2R La Mondiale,",, 0:13",,2,2009
30,,166,,+0:00,,Ljungblad Jonas,59,Silence - Lotto,",, 0:13",,2,2009
29,,27,,+0:00,,Popovych Yaroslav,60,Astana,",, 0:13",,2,2009
33,,54,,+0:00,,Lastras Pablo,61,Caisse d'Epargne,",, 0:13",,2,2009
31,,81,,+0:00,,Danielson Thomas,62,Team Garmin - Slipstream,",, 0:13",,2,2009
28,,78,,+0:00,,Kessiakoff Fredrik,63,Fuji-Servetto,",, 0:13",,2,2009
29,,153,,+0:00,,Scarponi Michele,64,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, 0:13",,2,2009
34,,146,,+0:00,,Horrillo Pedro,65,Rabobank ProTeam,",, 0:13",,2,2009
36,,3,,+0:00,,Codol Massimo,66,Acqua & Sapone,",, 0:13",,2,2009
22,,138,,+0:00,,Seeldraeyers Kevin,67,Quickstep - Innergetic,",, 0:13",,2,2009
35,,114,,+0:00,,Miholjevic Vladimir,68,Liquigas,",, 0:13",,2,2009
28,,68,,+0:00,,Lloyd Daniel,69,Cervelo Test Team,",, 0:13",,2,2009
28,,128,,+0:00,,Pietropolli Daniele,70,LPR Brakes - Farnese Vini,",, 0:13",,2,2009
21,,139,,+0:00,,Malacarne Davide,71,Quickstep - Innergetic,",, 0:13",,2,2009
22,,32,,+0:00,,Augustyn John Lee,72,Barloworld - Bianchi,",, 0:13",,2,2009
27,,74,,+0:00,,Gomez Gomez Angel,73,Fuji-Servetto,",, 0:13",,2,2009
31,,213,,+0:00,,Garcia David,74,Xacobeo-Galicia,",, 0:13",,2,2009
27,,43,,+0:00,,Gene Yohann,75,Bbox Bouygues Telekom,",, 0:13",,2,2009
29,,207,,+0:00,,Bak Lars Ytting,76,Saxo Bank,",, 0:13",,2,2009
29,,58,,+0:00,,Rodr\xedguez Joaquim,77,Caisse d'Epargne,",, 0:13",,2,2009
25,,22,,+0:00,,Brajkovi\u010d Janez,78,Astana,",, 0:13",,2,2009
24,,162,,+0:00,,de Greef Francis,79,Silence - Lotto,",, 0:13",,2,2009
30,,79,,+0:00,,Serrano Ricardo,80,Fuji-Servetto,",, 0:13",,2,2009
29,,49,,+0:00,,Voeckler Thomas,81,Bbox Bouygues Telekom,",, 0:13",,2,2009
27,,217,,+0:00,,Mayoz Echeverria Iban,82,Xacobeo-Galicia,",, 0:13",,2,2009
29,,51,,+0:00,,Arroyo David,83,Caisse d'Epargne,",, 0:13",,2,2009
28,,63,,+0:00,,Gerrans Simon,84,Cervelo Test Team,",, 0:13",,2,2009
21,,94,,+0:00,,Stannard Ian,85,ISD Cycling Team,",, 0:13",,2,2009
30,,156,,+0:00,,Bertogliati Rubens,86,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, 0:13",,2,2009
36,,117,,+0:00,,Stangelj Gorazd,87,Liquigas,",, 0:13",,2,2009
31,,152,,+0:00,,Bertagnolli Leonardo,88,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, 0:13",,2,2009
25,,147,,+0:00,,Kozonchuk Dmitry,89,Rabobank ProTeam,",, 0:13",,2,2009
24,,112,,+0:00,,Agnoli Valerio,90,Liquigas,",, 0:13",,2,2009
23,,37,,+0:00,,Froome Christopher,91,Barloworld - Bianchi,",, 0:13",,2,2009
33,,175,,+0:00,,Pinotti Marco,92,Team Columbia - HTC,",, 0:13",,2,2009
21,,19,,+0:00,,Bonnafond Guillaume,93,AG2R La Mondiale,",, 0:13",,2,2009
28,,122,,+0:00,,Bosisio Gabriele,94,LPR Brakes - Farnese Vini,",, 0:13",,2,2009
22,,208,,+0:00,,Goss Matthew,95,Saxo Bank,",, 0:13",,2,2009
32,,64,,+0:00,,Gustov Volodymyr,96,Cervelo Test Team,",, 0:13",,2,2009
35,,24,,+0:00,,Leipheimer Levi,97,Astana,",, 0:13",,2,2009
26,,135,,+0:00,,Facci Mauro,98,Quickstep - Innergetic,",, 0:13",,2,2009
30,,56,,+0:00,,Perez Francisco,99,Caisse d'Epargne,",, 0:13",,2,2009
30,,71,,+0:00,,Cama\xf1o Iker,100,Fuji-Servetto,",, 0:13",,2,2009
26,,41,,+0:00,,Belgy Julien,101,Bbox Bouygues Telekom,",, 0:13",,2,2009
24,,18,,+0:00,,Sonnery Blaise,102,AG2R La Mondiale,",, 0:13",,2,2009
23,,216,,+0:00,,Fernandez Delio,103,Xacobeo-Galicia,",, 0:13",,2,2009
28,,185,,+0:00,,Klimov Sergey,104,Team Katusha,",, 0:13",,2,2009
26,,136,,+0:00,,Reda Francesco,105,Quickstep - Innergetic,",, 0:13",,2,2009
25,,102,,+0:00,,Bono Matteo,106,Lampre - NGC,",, 0:13",,2,2009
23,,148,,+0:00,,Stamsnijder Tom,107,Rabobank ProTeam,",, 0:13",,2,2009
29,,33,,+0:00,,Bellotti Francesco,108,Barloworld - Bianchi,",, 0:13",,2,2009
34,,129,,+0:00,,Spezialetti Alessandro,109,LPR Brakes - Farnese Vini,",, 0:13",,2,2009
28,,119,,+0:00,,Vanotti Alessandro,110,Liquigas,0:31 0:31,,2,2009
31,,137,,+0:00,,Hulsmans Kevin,111,Quickstep - Innergetic,",, 0:31",,2,2009
28,,201,,+0:00,,Cancellara Fabian,112,Saxo Bank,",, 0:31",,2,2009
34,,82,,+0:00,,Dean Julian,113,Team Garmin - Slipstream,0:33 0:33,,2,2009
31,,99,,+0:00,,Pidgornyy Ruslan,114,ISD Cycling Team,0:47 0:47,,2,2009
25,,69,,+0:00,,Pauwels Serge,115,Cervelo Test Team,",, 0:47",,2,2009
32,,161,,+0:00,,Brandt Christophe,116,Silence - Lotto,",, 0:47",,2,2009
27,,47,,+0:00,,Sprick Matthieu,117,Bbox Bouygues Telekom,",, 0:47",,2,2009
24,,215,,+0:00,,Rabunal Rios Gonzalo,118,Xacobeo-Galicia,",, 0:47",,2,2009
37,,23,,+0:00,,Horner Chris,119,Astana,",, 0:47",,2,2009
35,,186,,+0:00,,Mazzanti Luca,120,Team Katusha,",, 0:47",,2,2009
28,,97,,+0:00,,Huzarski Bartosz,121,ISD Cycling Team,0:49 0:49,,2,2009
23,,8,,+0:00,,Masciarelli Francesco,122,Acqua & Sapone,",, 0:49",,2,2009
35,,13,,+0:00,,Hinault S\xe9bastien,123,AG2R La Mondiale,",, 0:49",,2,2009
29,,116,,+0:00,,Quinziato Manuel,124,Liquigas,",, 0:49",,2,2009
26,,91,,+0:00,,Visconti Giovanni,125,ISD Cycling Team,",, 0:49",,2,2009
31,,109,,+0:00,,Tiralongo Paolo,126,Lampre - NGC,",, 0:49",,2,2009
27,,182,,+0:00,,Brutt Pavel,127,Team Katusha,",, 0:49",,2,2009
22,,165,,+0:00,,Jacobs Pieter,128,Silence - Lotto,",, 0:49",,2,2009
26,,179,,+0:00,,Siutsou Kanstantsin,129,Team Columbia - HTC,",, 0:49",,2,2009
22,,72,,+0:00,,Capecchi Eros,130,Fuji-Servetto,",, 0:49",,2,2009
29,,212,,+0:00,,Veloso Gustavo Cesar,131,Xacobeo-Galicia,",, 0:49",,2,2009
24,,144,,+0:00,,van Emden Jos,132,Rabobank ProTeam,",, 0:49",,2,2009
26,,31,,+0:00,,Soler Juan Mauricio,133,Barloworld - Bianchi,",, 0:49",,2,2009
31,,118,,+0:00,,Szmyd Sylwester,134,Liquigas,",, 0:49",,2,2009
26,,7,,+0:00,,Masciarelli Andrea,135,Acqua & Sapone,0:54 0:54,,2,2009
32,,85,,+0:00,,Millar David,136,Team Garmin - Slipstream,1:01 1:01,,2,2009
29,,59,,+0:00,,Charteau Anthony,137,Caisse d'Epargne,1:04 1:04,,2,2009
22,,29,,+0:00,,Zeits Andrey,138,Astana,",, 1:04",,2,2009
26,,183,,+0:00,,Eskov Nikita,139,Team Katusha,",, 1:04",,2,2009
26,,188,,+0:00,,Serov Alexander,140,Team Katusha,",, 1:04",,2,2009
33,,9,,+0:00,,Palumbo Giuseppe,141,Acqua & Sapone,",, 1:04",,2,2009
21,,191,,+0:00,,Barla Luca,142,Milram,",, 1:04",,2,2009
27,,12,,+0:00,,Efimkin Alexander,143,AG2R La Mondiale,",, 1:04",,2,2009
27,,53,,+0:00,,Kiryienka Vasil,144,Caisse d'Epargne,",, 1:04",,2,2009
28,,158,,+0:00,,Ochoa Carlos Jos\xe9,145,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, 1:04",,2,2009
28,,199,,+0:00,,Schr\xf6der Bjorn,146,Milram,",, 1:04",,2,2009
30,,155,,+0:00,,Serpa Jose Rodolfo,147,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, 1:04",,2,2009
31,,149,,+0:00,,Tjallingii Maarten,148,Rabobank ProTeam,",, 1:04",,2,2009
25,,26,,+0:00,,Navarro Daniel,149,Astana,",, 1:04",,2,2009
31,,198,,+0:00,,Scholz Ronny,150,Milram,",, 1:04",,2,2009
24,,203,,+0:00,,Lund Anders,151,Saxo Bank,",, 1:04",,2,2009
24,,184,,+0:00,,Ignatyev Mikhail,152,Team Katusha,",, 1:04",,2,2009
28,,107,,+0:00,,Marzano Marco,153,Lampre - NGC,",, 1:04",,2,2009
26,,44,,+0:00,,Haddou Sa\xefd,154,Bbox Bouygues Telekom,",, 1:04",,2,2009
27,,55,,+0:00,,Lopez David,155,Caisse d'Epargne,",, 1:04",,2,2009
23,,52,,+0:00,,Jeannesson Arnold,156,Caisse d'Epargne,",, 1:04",,2,2009
27,,157,,+0:00,,de Bonis Francesco,157,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, 1:04",,2,2009
22,,218,,+0:00,,Garc\xeda Marcos,158,Xacobeo-Galicia,",, 1:04",,2,2009
31,,169,,+0:00,,Wegelius Charles,159,Silence - Lotto,",, 1:04",,2,2009
23,,67,,+0:00,,Konovalovas Ignatas,160,Cervelo Test Team,",, 1:04",,2,2009
24,,45,,+0:00,,Le Floch Guillaume,161,Bbox Bouygues Telekom,",, 1:04",,2,2009
26,,66,,+0:00,,King Edward,162,Cervelo Test Team,",, 1:04",,2,2009
25,,209,,+0:00,,Klostergaard Kasper,163,Saxo Bank,",, 1:04",,2,2009
27,,34,,+0:00,,Caccia Diego,164,Barloworld - Bianchi,",, 1:04",,2,2009
25,,5,,+0:00,,Failli Francesco,165,Acqua & Sapone,",, 1:04",,2,2009
23,,214,,+0:00,,Isaychev Vladimir,166,Xacobeo-Galicia,",, 1:04",,2,2009
28,,124,,+0:00,,Ermeti Giairo,167,LPR Brakes - Farnese Vini,",, 1:04",,2,2009
24,,168,,+0:00,,Vanendert Jelle,168,Silence - Lotto,",, 1:04",,2,2009
31,,192,,+0:00,,F\xf6rster Robert,169,Milram,",, 1:04",,2,2009
29,,36,,+0:00,,Cheula Giampaolo,170,Barloworld - Bianchi,",, 1:04",,2,2009
35,,204,,+0:00,,McCartney Jason,171,Saxo Bank,",, 1:04",,2,2009
28,,206,,+0:00,,van Goolen Jurgen,172,Saxo Bank,1:19 1:19,,2,2009
30,,89,,+0:00,,Zabriskie David,173,Team Garmin - Slipstream,1:30 1:30,,2,2009
26,,167,,+0:00,,Kaisen Olivier,174,Silence - Lotto,2:12 2:12,,2,2009
23,,17,,+0:00,,Senac Jean-Charles,175,AG2R La Mondiale,2:19 2:19,,2,2009
24,,15,,+0:00,,Loubet Julien,176,AG2R La Mondiale,",, 2:19",,2,2009
27,,75,,+0:00,,Del Nero Jes\xfas,177,Fuji-Servetto,",, 2:19",,2,2009
26,,48,,+0:00,,Tschopp Johann,178,Bbox Bouygues Telekom,",, 2:19",,2,2009
25,,211,,+0:00,,Martinez Serafin,179,Xacobeo-Galicia,",, 2:19",,2,2009
35,,195,,+0:00,,M\xfcller Martin,180,Milram,",, 2:19",,2,2009
24,,46,,+0:00,,Sokolov Evgeny,181,Bbox Bouygues Telekom,",, 2:19",,2,2009
33,,171,,+0:00,,Barry Michael,182,Team Columbia - HTC,",, 2:19",,2,2009
30,,86,,+0:00,,Pate Danny,183,Team Garmin - Slipstream,",, 2:19",,2,2009
21,,84,,+0:00,,Meyer Cameron,184,Team Garmin - Slipstream,",, 2:19",,2,2009
30,,4,,+0:00,,Donati Alessandro,185,Acqua & Sapone,",, 2:19",,2,2009
31,,134,,+0:00,,Engels Addy,186,Quickstep - Innergetic,3:09 3:09,,2,2009
27,,163,,+0:00,,Dockx Bart,187,Silence - Lotto,",, 3:09",,2,2009
26,,25,,+0:00,,Morabito Steve,188,Astana,",, 3:09",,2,2009
32,,38,,+0:00,,Hunter Robert,189,Barloworld - Bianchi,3:15 3:15,,2,2009
36,,2,,+0:00,,Andriotto Dario,190,Acqua & Sapone,",, 3:15",,2,2009
24,,77,,+0:00,,Fernandez Alberto,191,Fuji-Servetto,",, 3:15",,2,2009
22,,76,,+0:00,,Gonzalez Baeza Hector,192,Fuji-Servetto,",, 3:15",,2,2009
24,,176,,+0:00,,Possoni Morris,193,Team Columbia - HTC,",, 3:15",,2,2009
37,,154,,+0:00,,Bertolini Alessandro,194,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, 3:15",,2,2009
32,,113,,+0:00,,Carlstr\xf6m Kjell,195,Liquigas,",, 3:15",,2,2009
24,,57,,+0:00,,Perget Mathieu,196,Caisse d'Epargne,5:32 5:32,,2,2009
34,,98,,+0:00,,Scarselli Leonardo,197,ISD Cycling Team,10:35 10:35,,2,2009
25,,197,,+0:00,,Russ Matthias,DNF,Milram,-3:43:07 -3:43:07,,2,2009
35,,127,1.0,+0:00,80.0,Petacchi Alessandro,1,LPR Brakes - Farnese Vini,4:45:27 4:45:27,,3,2009
24,,83,,+0:00,50.0,Farrar Tyler,2,Team Garmin - Slipstream,",, ,,",,3,2009
24,,106,,+0:00,35.0,Gavazzi Francesco,3,Lampre - NGC,",, ,,",,3,2009
24,,132,,+0:00,25.0,Cataldo Dario,4,Quickstep - Innergetic,",, ,,",,3,2009
27,,101,,+0:00,18.0,Cunego Damiano,5,Lampre - NGC,",, ,,",,3,2009
26,,164,,+0:00,15.0,Gilbert Philippe,6,Silence - Lotto,",, ,,",,3,2009
24,,92,,+0:00,12.0,Gatto Oscar,7,ISD Cycling Team,",, ,,",,3,2009
29,,178,,+0:00,10.0,Rogers Michael,8,Team Columbia - HTC,",, ,,",,3,2009
24,,203,,+0:00,8.0,Lund Anders,9,Saxo Bank,",, ,,",,3,2009
35,,1,,+0:00,6.0,Garzelli Stefano,10,Acqua & Sapone,",, ,,",,3,2009
27,,105,,+0:00,5.0,Gasparotto Enrico,11,Lampre - NGC,",, ,,",,3,2009
33,,121,,+0:00,,Di Luca Danilo,12*,LPR Brakes - Farnese Vini,",, ,,",,3,2009
37,,202,,+0:00,3.0,Voigt Jens,13,Saxo Bank,",, ,,",,3,2009
26,,219,,+0:00,2.0,Vorganov Eduard,14,Xacobeo-Galicia,",, ,,",,3,2009
26,,196,,+0:00,1.0,Rohregger Thomas,15,Milram,",, ,,",,3,2009
25,,62,,+0:00,,Deignan Philip,16,Cervelo Test Team,",, ,,",,3,2009
24,,159,,+0:00,,Rodriguez Jackson,17,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, ,,",,3,2009
29,,27,,+0:00,,Popovych Yaroslav,18,Astana,",, ,,",,3,2009
22,,138,,+0:00,,Seeldraeyers Kevin,19,Quickstep - Innergetic,",, ,,",,3,2009
33,,54,,+0:00,,Lastras Pablo,20,Caisse d'Epargne,",, ,,",,3,2009
37,,151,,+0:00,,Simoni Gilberto,21,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, ,,",,3,2009
29,,153,,+0:00,,Scarponi Michele,22,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, ,,",,3,2009
25,,174,,+0:00,,L\xf6fkvist Thomas,23,Team Columbia - HTC,",, ,,",,3,2009
30,,155,,+0:00,,Serpa Jose Rodolfo,24,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, ,,",,3,2009
26,,179,,+0:00,,Siutsou Kanstantsin,25,Team Columbia - HTC,",, ,,",,3,2009
31,,115,,+0:00,,Pellizotti Franco,26*,Liquigas,",, ,,",,3,2009
31,,152,,+0:00,,Bertagnolli Leonardo,27*,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, ,,",,3,2009
35,,186,,+0:00,,Mazzanti Luca,27,Katyusha,",, ,,",,3,2009
27,,157,,+0:00,,de Bonis Francesco,28,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, ,,",,3,2009
37,,23,,+0:00,,Horner Chris,29,Astana,",, ,,",,3,2009
34,,103,,+0:00,,Bruseghin Marzio,30,Lampre - NGC,",, ,,",,3,2009
22,,32,,+0:00,,Augustyn John Lee,31,Barloworld - Bianchi,",, ,,",,3,2009
31,,111,,+0:00,,Basso Ivan,32,Liquigas,",, ,,",,3,2009
28,,108,,+0:00,,Mori Manuele,33,Lampre - NGC,",, ,,",,3,2009
31,,109,,+0:00,,Tiralongo Paolo,34,Lampre - NGC,",, ,,",,3,2009
25,,5,,+0:00,,Failli Francesco,35,Acqua & Sapone,",, ,,",,3,2009
23,,37,,+0:00,,Froome Christopher,36,Barloworld - Bianchi,",, ,,",,3,2009
29,,51,,+0:00,,Arroyo David,37,Caisse d'Epargne,",, ,,",,3,2009
32,,11,,+0:00,,Valjavec Tadej,39*,AG2R La Mondiale,",, ,,",,3,2009
29,,49,,+0:00,,Voeckler Thomas,39,Bbox Bouygues Telekom,",, ,,",,3,2009
36,,35,,+0:00,,Rafael Cardenas F\xe9lix,40,Barloworld - Bianchi,",, ,,",,3,2009
25,,95,,+0:00,,Grivko Andrei,41,ISD Cycling Team,",, ,,",,3,2009
36,,3,,+0:00,,Codol Massimo,42,Acqua & Sapone,",, ,,",,3,2009
35,,24,,+0:00,,Leipheimer Levi,43,Astana,",, ,,",,3,2009
32,,113,,+0:00,,Carlstr\xf6m Kjell,44,Liquigas,",, ,,",,3,2009
34,,61,,+0:00,,Sastre Carlos,45,Cervelo Test Team,",, ,,",,3,2009
22,,29,,+0:00,,Zeits Andrey,46,Astana,",, ,,",,3,2009
23,,67,,+0:00,,Konovalovas Ignatas,47,Cervelo Test Team,",, ,,",,3,2009
28,,104,,+0:00,,Da Dalto Mauro,48,Lampre - NGC,",, ,,",,3,2009
37,,21,,+0:00,,Armstrong Lance,49,Astana,",, ,,",,3,2009
25,,26,,+0:00,,Navarro Daniel,50,Astana,",, ,,",,3,2009
28,,128,,+0:00,,Pietropolli Daniele,51,LPR Brakes - Farnese Vini,",, ,,",,3,2009
34,,129,,+0:00,,Spezialetti Alessandro,52,LPR Brakes - Farnese Vini,",, ,,",,3,2009
28,,122,,+0:00,,Bosisio Gabriele,53,LPR Brakes - Farnese Vini,",, ,,",,3,2009
26,,183,,+0:00,,Eskov Nikita,54,Katyusha,",, ,,",,3,2009
21,,139,,+0:00,,Malacarne Davide,55,Quickstep - Innergetic,",, ,,",,3,2009
27,,181,,+0:00,,Pozzato Filippo,56,Katyusha,",, ,,",,3,2009
26,,91,,+0:00,,Visconti Giovanni,57,ISD Cycling Team,0:13 0:13,,3,2009
26,,7,,+0:00,,Masciarelli Andrea,58,Acqua & Sapone,0:19 0:19,,3,2009
32,,161,,+0:00,,Brandt Christophe,59,Silence - Lotto,",, 0:19",,3,2009
29,,58,,+0:00,,Rodr\xedguez Joaquim,60,Caisse d'Epargne,",, 0:19",,3,2009
31,,141,,+0:00,,Menchov Denis,61,Rabobank ProTeam,0:24 0:24,,3,2009
28,,107,,+0:00,,Marzano Marco,62,Lampre - NGC,",, 0:24",,3,2009
30,,187,,+0:00,,Petrov Evgeni,63,Katyusha,0:46 0:46,,3,2009
28,,63,,+0:00,,Gerrans Simon,64,Cervelo Test Team,",, 0:46",,3,2009
28,,119,,+0:00,,Vanotti Alessandro,65,Liquigas,1:18 1:18,,3,2009
27,,193,,+0:00,,Fothen Markus,66,Milram,1:25 1:25,,3,2009
28,,78,,+0:00,,Kessiakoff Fredrik,67,Fuji-Servetto,",, 1:25",,3,2009
31,,16,,+0:00,,Dion Renaud,68,AG2R La Mondiale,",, 1:25",,3,2009
30,,156,,+0:00,,Bertogliati Rubens,69,Serramenti PVC Diquigiovanni-Androni Giocattoli,",, 1:25",,3,2009
28,,143,,+0:00,,ten Dam Laurens,70,Rabobank ProTeam,",, 1:25",,3,2009
27,,74,,+0:00,,Gomez Gomez Angel,71,Fuji-Servetto,",, 1:25",,3,2009
28,,185,,+0:00,,Klimov Sergey,72,Katyusha,",, 1:25",,3,2009
24,,162,,+0:00,,de Greef Francis,73,Silence - Lotto,",, 1:25",,3,2009
22,,72,,+0:00,,Capecchi Eros,74,Fuji-Servetto,",, 1:25",,3,2009
22,,208,,+0:00,,Goss Matthew,75,Saxo Bank,",, 1:25",,3,2009
29,,59,,+0:00,,Charteau Anthony,76,Caisse d'Epargne,",, 1:25",,3,2009
31,,149,,+0:00,,Tjallingii Maarten,77,Rabobank ProTeam,",, 1:25",,3,2009
31,,99,,+0:00,,Pidgornyy Ruslan,78,ISD Cycling Team,",, 1:25",,3,2009
29,,88,,+0:00,,Wiggins Bradley,79,Team Garmin - Slipstream,",, 1:25",,3,2009
21,,172,,+0:00,,Boasson Hagen Edvald,80,Team Columbia - HTC,",, 1:25",,3,2009
31,,213,,+0:00,,Garcia David,81,Xacobeo-Galicia,",, 1:25",,3,2009
27,,135,,+0:00,,Facci Mauro,82,Quickstep - Innergetic,",, 1:25",,3,2009
28,,131,,+0:00,,Davis Allan,83,Quickstep - Innergetic,",, 1:25",,3,2009
23,,173,,+0:00,,Cavendish Mark,84,Team Columbia - HTC,",, 1:25",,3,2009
23,,8,,+0:00,,Masciarelli Francesco,85,Acqua & Sapone,",, 1:25",,3,2009
33,,6,,+0:00,,Marzoli Ruggero,86,Acqua & Sapone,",, 1:25",,3,2009
28,,124,,+0:00,,Ermeti Giairo,87,LPR Brakes - Farnese Vini,",, 1:25",,3,2009
27,,217,,+0:00,,Mayoz Echeverria Iban,88,Xacobeo-Galicia,",, 1:25",,3,2009
