Rnk,BIB,Rider,Age,Team,year,stage
45,19,Schorn Daniel,23,Team Netapp,2012,20
46,209,Sergent Jesse,23,RadioShack - Nissan,2012,20
47,144,Santaromita Ivan,28,BMC Racing Team,2012,20
48,47,Larsson Gustav,31,Vacansoleil - DCM,2012,20
49,162,Kaisen Olivier,29,Lotto Belisol Team,2012,20
50,3,Pirazzi Stefano,25,Colnago CSF Bardiani,2012,20
51,96,Haedo Lucas Sebastian,29,Team Saxo Bank - Tinkoff Bank,2012,20
52,103,Flecha Juan Antonio,34,Sky Procycling,2012,20
53,175,Txurruka Amets,29,Euskaltel - Euskadi,2012,20
54,22,Beppu Fumiyuki,29,Orica GreenEDGE,2012,20
55,88,Herrada Jos\xe9,26,Movistar Team,2012,20
56,125,Sabatini Fabio,27,Liquigas - Cannondale,2012,20
57,37,Moreno Daniel,30,Team Katusha,2012,20
58,206,Bakelants Jan,26,RadioShack - Nissan,2012,20
59,145,Frank Mathias,25,BMC Racing Team,2012,20
60,12,Benedetti Cesare,24,Team Netapp,2012,20
61,196,Delage Micka\xebl,26,FDJ - BigMat,2012,20
62,33,Losada Alberto,30,Team Katusha,2012,20
63,219,Navardauskas Ramunas,24,Team Garmin - Barracuda,2012,20
64,178,Minguez Miguel,23,Euskaltel - Euskadi,2012,20
65,51,Maes Nikolas,26,Omega Pharma - Quick-Step,2012,20
66,135,Mazzanti Luca,38,Farnese Vini-Neri-Sottoli,2012,20
67,75,Dyachenko Alexandr,28,Astana Pro Team,2012,20
68,143,Wyss Danilo,26,BMC Racing Team,2012,20
69,134,De Negri Pier Paolo,25,Farnese Vini-Neri-Sottoli,2012,20
70,157,Serpa Jose Rodolfo,33,Androni Giocattoli - Venezuela,2012,20
71,161,Vanendert Dennis,23,Lotto Belisol Team,2012,20
72,118,Bonnafond Guillaume,24,AG2R La Mondiale,2012,20
73,156,Rodriguez Jackson,27,Androni Giocattoli - Venezuela,2012,20
74,55,Kwiatkowski Michal,21,Omega Pharma - Quick-Step,2012,20
75,187,Slagter Tom-Jelte,22,Rabobank Cycling Team,2012,20
76,133,Failli Francesco,28,Farnese Vini-Neri-Sottoli,2012,20
77,124,Bodnar Maciej,27,Liquigas - Cannondale,2012,20
78,106,Eisel Bernhard,31,Sky Procycling,2012,20
79,72,Seeldraeyers Kevin,25,Astana Pro Team,2012,20
80,98,Roberts Luke,35,Team Saxo Bank - Tinkoff Bank,2012,20
81,204,Oliveira Nelson,23,RadioShack - Nissan,2012,20
82,141,Tschopp Johann,29,BMC Racing Team,2012,20
83,202,Hermans Ben,25,RadioShack - Nissan,2012,20
84,8,Colbrelli Sonny,22,Colnago CSF Bardiani,2012,20
85,24,Tuft Svein,35,Orica GreenEDGE,2012,20
86,65,Spezialetti Alessandro,37,Lampre - ISD,2012,20
87,119,Montaguti Matteo,28,AG2R La Mondiale,2012,20
88,35,Smukulis Gatis,25,Team Katusha,2012,20
89,57,Vermote Julien,22,Omega Pharma - Quick-Step,2012,20
90,163,Hansen Adam,31,Lotto Belisol Team,2012,20
91,213,Bauer Jack,27,Team Garmin - Barracuda,2012,20
92,44,Selvaggi Mirko,27,Vacansoleil - DCM,2012,20
93,95,Jorgensen Jonas Aaen,26,Team Saxo Bank - Tinkoff Bank,2012,20
94,104,Stannard Ian,25,Sky Procycling,2012,20
95,114,Dupont Hubert,31,AG2R La Mondiale,2012,20
96,217,Vande Velde Christian,36,Team Garmin - Barracuda,2012,20
97,129,Capecchi Eros,25,Liquigas - Cannondale,2012,20
