Rnk,BIB,Rider,Age,Team,year,stage
47,64,Leukemans Bjorn,27,Davitamon - Lotto,2005,20
48,69,Vogels Henk,31,Davitamon - Lotto,2005,20
49,144,Caruso Giampaolo,24,Liberty Seguros - W\xfcrth Team,2005,20
50,176,Moreni Cristian,32,Quickstep - Innergetic,2005,20
51,33,Fofonov Dimitri,28,Cofidis,2005,20
52,47,Schnyder Philippe,27,Colombia - Selle Italia,2005,20
53,203,Schleck Fr\xe4nk,25,CSC ProTeam,2005,20
54,192,Gomez Gomez Angel,24,Saunier Duval - Prodir,2005,20
55,174,Engels Addy,27,Quickstep - Innergetic,2005,20
56,181,Dekker Thomas,20,Rabobank ProTeam,2005,20
57,118,Casar Sandy,26,Fran\xe7aise des Jeux,2005,20
58,116,Renshaw Mark,22,Fran\xe7aise des Jeux,2005,20
59,142,Baranowski Dariusz,32,Liberty Seguros - W\xfcrth Team,2005,20
60,106,Ongarato Alberto,29,Fassa Bortolo,2005,20
61,195,Pinotti Marco,29,Saunier Duval - Prodir,2005,20
62,184,Niermann Grischa,29,Rabobank ProTeam,2005,20
63,152,Andriotto Dario,32,Liquigas,2005,20
64,146,Hruska Jan,30,Liberty Seguros - W\xfcrth Team,2005,20
65,193,Lobato Ruben,26,Saunier Duval - Prodir,2005,20
66,38,Vasseur C\xe9dric,34,Cofidis,2005,20
67,86,Ivanov Ruslan,31,Domina Vacanze,2005,20
68,213,Korff Andre,31,T-Mobile Team,2005,20
69,173,Christensen Mads,21,Quickstep - Innergetic,2005,20
70,186,Sentjens Roy,24,Rabobank ProTeam,2005,20
71,111,Da Cruz Carlos,30,Fran\xe7aise des Jeux,2005,20
72,57,Talabardon Yannick,23,Cr\xe9dit Agricole,2005,20
73,124,Moletta Andrea,26,Gerolsteiner,2005,20
74,77,Joachim Benoit,29,Discovery Channel,2005,20
75,99,S\xe1nchez Samuel,27,Euskaltel - Euskadi,2005,20
76,183,Kolobnev Alexandr,24,Rabobank ProTeam,2005,20
77,182,Eltink Theo,23,Rabobank ProTeam,2005,20
78,158,Noe Andrea,36,Liquigas,2005,20
79,107,Sacchi Fabio,31,Fassa Bortolo,2005,20
80,46,Scarselli Leonardo,30,Colombia - Selle Italia,2005,20
81,211,Baumann Eric,25,T-Mobile Team,2005,20
82,147,Ramirez Javier,27,Liberty Seguros - W\xfcrth Team,2005,20
83,17,Martias Rony,24,Bouygues Telecom,2005,20
84,16,Lefevre Laurent,28,Bouygues Telecom,2005,20
85,141,Andrle Ren\xe9,31,Liberty Seguros - W\xfcrth Team,2005,20
86,206,Blaudzun Michael,32,CSC ProTeam,2005,20
87,128,Strauss Marcel,28,Gerolsteiner,2005,20
88,39,White Matthew,31,Cofidis,2005,20
89,108,Tosatto Matteo,31,Fassa Bortolo,2005,20
90,162,Gutierrez Ignacio,27,Phonak Hearing Systems,2005,20
