Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,UCI,\u25bc\u25b2,stage,year
26,3,89.0,+3:31,,106.0,Haas Nathan,89,Team Cannondale - Garmin,3:31 3:31,+0:43,,\u25b217,3,2015
32,132,90.0,+3:38,,110.0,Clement Stef,90,IAM Cycling,3:38 3:38,+0:50,,\u25b220,3,2015
30,36,91.0,+3:42,,111.0,van Emden Jos,91,Team LottoNL-Jumbo,3:42 3:42,+0:54,,\u25b220,3,2015
27,34,92.0,+3:42,,114.0,Keizer Martijn,92,Team LottoNL-Jumbo,",, 3:42",+0:54,,\u25b222,3,2015
26,195,93.0,+3:45,,60.0,Janse van Rensburg Reinardt,93,MTN - Qhubeka,3:45 3:45,+3:45,,\u25bc33,3,2015
28,63,94.0,+3:47,,131.0,Boeckmans Kris,94,Lotto Soudal,3:47 3:47,+0:59,,\u25b237,3,2015
34,47,95.0,+3:48,,109.0,Vansummeren Johan,95,AG2R La Mondiale,3:48 3:48,+1:00,,\u25b214,3,2015
22,55,96.0,+3:49,,120.0,Cort Nielsen Magnus,96,Orica GreenEDGE,3:49 3:49,+1:01,,\u25b224,3,2015
27,44,97.0,+3:52,,56.0,Gastauer Ben,97,AG2R La Mondiale,3:52 3:52,+3:52,,\u25bc41,3,2015
25,87,98.0,+3:53,,101.0,Tsatevich Alexey,98,Team Katusha,3:53 3:53,+1:05,,\u25b23,3,2015
38,88,99.0,+3:53,,130.0,Vicioso \xc1ngel,99,Team Katusha,",, 3:53",+1:05,,\u25b231,3,2015
35,94,100.0,+3:55,,48.0,Quinziato Manuel,100,BMC Racing Team,3:55 3:55,+3:55,,\u25bc52,3,2015
37,96,101.0,+3:55,,75.0,S\xe1nchez Samuel,101,BMC Racing Team,",, 3:55",+3:55,,\u25bc26,3,2015
27,194,102.0,+3:55,,119.0,Janse van Rensburg Jacques,102,MTN - Qhubeka,",, 3:55",+1:07,,\u25b217,3,2015
27,155,103.0,+3:56,,117.0,Nauleau Bryan,103,Team Europcar,3:56 3:56,+1:08,,\u25b214,3,2015
27,157,104.0,+3:56,,121.0,Sicard Romain,104,Team Europcar,",, 3:56",+1:08,,\u25b217,3,2015
35,158,105.0,+3:56,,126.0,Voeckler Thomas,105,Team Europcar,",, 3:56",+1:08,,\u25b221,3,2015
24,162,106.0,+3:58,,3.0,Bouhanni Nacer,106,"Cofidis, Solutions Cr\xe9dits",3:58 3:58,+4:08,,\u25bc103,3,2015
35,114,107.0,+4:03,,104.0,Irizar Markel,107,Trek Factory Racing,4:03 4:03,+1:15,,\u25bc3,3,2015
26,186,108.0,+4:06,,102.0,Mezgec Luka,108,Team Giant - Alpecin,4:06 4:06,+1:18,,\u25bc6,3,2015
29,183,109.0,+4:06,,122.0,Geschke Simon,109,Team Giant - Alpecin,",, 4:06",+1:18,,\u25b213,3,2015
26,184,110.0,+4:06,,129.0,Haga Chad,110,Team Giant - Alpecin,",, 4:06",+1:18,,\u25b219,3,2015
27,168,111.0,+4:08,,19.0,Soupe Geoffrey,111,"Cofidis, Solutions Cr\xe9dits",4:08 4:08,+4:08,,\u25bc92,3,2015
28,97,112.0,+4:09,,55.0,Schar Michael,112,BMC Racing Team,4:09 4:09,+4:09,,\u25bc57,3,2015
30,136,113.0,+4:11,,35.0,Tanner David,113,IAM Cycling,4:11 4:11,+4:11,,\u25bc78,3,2015
23,98,114.0,+4:16,,149.0,Teuns Dylan,114,BMC Racing Team,4:16 4:16,+0:00,,\u25b235,3,2015
27,177,115.0,+4:24,,113.0,R\xe9za K\xe9vin,115,FDJ,4:24 4:24,+1:36,,\u25bc2,3,2015
22,164,116.0,+4:37,,112.0,Laporte Christophe,116,"Cofidis, Solutions Cr\xe9dits",4:37 4:37,+1:49,,\u25bc4,3,2015
27,163,117.0,+4:37,,125.0,Edet Nicolas,117,"Cofidis, Solutions Cr\xe9dits",",, 4:37",+1:49,,\u25b28,3,2015
31,165,118.0,+4:37,,127.0,Mat\xe9 Luis \xc1ngel,118,"Cofidis, Solutions Cr\xe9dits",",, 4:37",+1:49,,\u25b29,3,2015
34,43,119.0,+4:42,,4.0,Dumoulin Samuel,119,AG2R La Mondiale,4:42 4:42,+4:48,,\u25bc115,3,2015
31,13,120.0,+4:51,,140.0,Deignan Philip,120,Team Sky,4:51 4:51,+0:35,,\u25b220,3,2015
