Age,BIB,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
22,133,15.0,+1:19,,4.0,Hamilton Lucas,4,Mitchelton-Scott,1:16 1:16,-,3,2018
23,23,16.0,+1:37,,18.0,Geoghegan Hart Tao,5,Team Sky,1:34 1:34,\u25b213,3,2018
24,91,19.0,+1:51,,3.0,Soler Marc,6,Movistar Team,1:48 1:48,\u25bc3,3,2018
24,35,23.0,+1:55,,9.0,Latour Pierre,7,AG2R La Mondiale,1:52 1:52,\u25b22,3,2018
22,117,24.0,+1:56,,6.0,Vincent L\xe9o,8,Groupama - FDJ,1:53 1:53,\u25bc2,3,2018
25,96,25.0,+1:56,,8.0,Roson Jaime,9,Movistar Team,",, 1:53",\u25bc1,3,2018
23,174,36.0,+2:16,,11.0,Gebreigzabhier Amanuel,10,Team Dimension Data,2:13 2:13,\u25b21,3,2018
24,181,42.0,+2:47,,16.0,Tolhoek Antwan,11,Team LottoNL-Jumbo,2:44 2:44,\u25b25,3,2018
25,13,44.0,+2:55,,10.0,Conti Valerio,12,UAE-Team Emirates,2:52 2:52,\u25bc2,3,2018
21,185,47.0,+3:05,,17.0,Powless Neilson,13,Team LottoNL-Jumbo,3:02 3:02,\u25b24,3,2018
24,161,59.0,+3:56,,14.0,Martin Guillaume,14,Wanty - Groupe Gobert,3:53 3:53,-,3,2018
23,164,61.0,+4:02,,15.0,Eiking Odd Christian,15,Wanty - Groupe Gobert,3:59 3:59,-,3,2018
24,62,62.0,+4:02,,5.0,Ackermann Pascal,16,BORA - hansgrohe,",, 3:59",\u25bc11,3,2018
24,16,63.0,+4:03,,12.0,Ravasi Edward,17,UAE-Team Emirates,4:00 4:00,\u25bc5,3,2018
25,34,71.0,+5:25,,20.0,Gougeard Alexis,18,AG2R La Mondiale,5:22 5:22,\u25b22,3,2018
23,184,73.0,+5:46,,21.0,Kuss Sepp,19,Team LottoNL-Jumbo,5:43 5:43,\u25b22,3,2018
25,167,75.0,+6:42,,19.0,Smith Dion,20,Wanty - Groupe Gobert,6:39 6:39,\u25bc1,3,2018
23,127,77.0,+6:51,,22.0,Restrepo Jhonatan,21,Team Katusha - Alpecin,6:48 6:48,\u25b21,3,2018
25,15,83.0,+7:42,,23.0,Petilli Simone,22,UAE-Team Emirates,7:39 7:39,\u25b21,3,2018
22,53,93.0,+9:08,,24.0,Garcia Cortina Ivan,23,Bahrain Merida Pro Cycling Team,9:05 9:05,\u25b21,3,2018
23,123,99.0,+10:05,,25.0,Fabbro Matteo,24,Team Katusha - Alpecin,10:02 10:02,\u25b21,3,2018
22,116,106.0,+11:43,,28.0,Thomas Benjamin,25,Groupama - FDJ,11:40 11:40,\u25b23,3,2018
24,87,108.0,+12:12,,27.0,Turgis Anthony,26,"Cofidis, Solutions Cr\xe9dits",12:09 12:09,\u25b21,3,2018
23,93,114.0,+13:00,,29.0,Carretero H\xe9ctor,27,Movistar Team,12:57 12:57,\u25b22,3,2018
22,94,117.0,+14:13,,30.0,Castrillo Jaime,28,Movistar Team,14:10 14:10,\u25b22,3,2018
22,105,118.0,+14:32,,26.0,Knox James,29,Quick-Step Floors,14:29 14:29,\u25bc3,3,2018
24,132,119.0,+14:38,,32.0,Edmondson Alexander,30,Mitchelton-Scott,14:35 14:35,\u25b22,3,2018
24,112,127.0,+16:13,,33.0,Armirail Bruno,31,Groupama - FDJ,16:10 16:10,\u25b22,3,2018
24,43,130.0,+17:10,,36.0,Bohli Tom,32,BMC Racing Team,17:07 17:07,\u25b24,3,2018
24,57,131.0,+17:11,,35.0,Pibernik Luka,33,Bahrain Merida Pro Cycling Team,17:08 17:08,\u25b22,3,2018
21,111,135.0,+18:11,,34.0,Gaudu David,34,Groupama - FDJ,18:08 18:08,-,3,2018
21,103,137.0,+18:39,,31.0,Jakobsen Fabio,35,Quick-Step Floors,18:36 18:36,\u25bc4,3,2018
24,197,142.0,+21:24,,37.0,Tusveld Martijn,36,Team Sunweb,21:21 21:21,\u25b21,3,2018
23,215,144.0,+24:24,,38.0,Manzin Lorrenzo,37,Vital Concept Cycling Club,24:21 24:21,\u25b21,3,2018
22,213,147.0,+27:43,,40.0,Ermenault Corentin,38,Vital Concept Cycling Club,27:40 27:40,\u25b22,3,2018
23,192,148.0,+28:19,,39.0,Bauhaus Phil,39,Team Sunweb,28:16 28:16,-,3,2018
33,135,,,45.0,1.0,Impey Daryl,1,Mitchelton-Scott,,-,4,2018
24,62,,,45.0,2.0,Ackermann Pascal,2,BORA - hansgrohe,,-,4,2018
25,101,,,37.0,4.0,Alaphilippe Julian,3,Quick-Step Floors,,\u25b21,4,2018
28,24,,,31.0,3.0,Kwiatkowski Michal,4,Team Sky,,\u25bc1,4,2018
31,171,,,22.0,5.0,Boasson Hagen Edvald,5,Team Dimension Data,,-,4,2018
24,71,,,19.0,7.0,Benoot Tiesj,6,Lotto Soudal,,\u25b21,4,2018
29,74,,,19.0,6.0,Keukeleire Jens,7,Lotto Soudal,,\u25bc1,4,2018
27,36,,,18.0,8.0,Naesen Oliver,8,AG2R La Mondiale,,-,4,2018
27,42,,,16.0,9.0,Bevin Patrick,9,BMC Racing Team,,-,4,2018
27,81,,,14.0,10.0,Herrada Jes\xfas,10,"Cofidis, Solutions Cr\xe9dits",,-,4,2018
32,85,,,14.0,11.0,Simon Julien,11,"Cofidis, Solutions Cr\xe9dits",,-,4,2018
24,25,,,12.0,15.0,Moscon Gianni,12,Team Sky,,\u25b23,4,2018
30,41,,,12.0,12.0,Caruso Damiano,13,BMC Racing Team,,\u25bc1,4,2018
31,11,,,12.0,,Martin Daniel,14,UAE-Team Emirates,,-,4,2018
25,167,,,12.0,13.0,Smith Dion,15,Wanty - Groupe Gobert,,\u25bc2,4,2018
32,21,,,10.0,,Thomas Geraint,16,Team Sky,,-,4,2018
26,165,,,10.0,16.0,Meurisse Xandro,17,Wanty - Groupe Gobert,,\u25bc1,4,2018
27,31,,,8.0,,Bardet Romain,18,AG2R La Mondiale,,-,4,2018
26,207,,,8.0,17.0,Skuji\u0146\u0161 Toms,19,Trek - Segafredo,,\u25bc2,4,2018
25,191,,,8.0,18.0,Teunissen Mike,20,Team Sunweb,,\u25bc2,4,2018
26,72,,,8.0,19.0,Campenaerts Victor,21,Lotto Soudal,,\u25bc2,4,2018
24,35,,,6.0,,Latour Pierre,22,AG2R La Mondiale,,-,4,2018
25,96,,,6.0,20.0,Roson Jaime,23,Movistar Team,,\u25bc3,4,2018
29,144,,,6.0,21.0,Hardy Romain,24,Team Fortuneo - Samsic,,\u25bc3,4,2018
25,131,,,5.0,,Yates Adam,25,Mitchelton-Scott,,-,4,2018
28,203,,,5.0,22.0,Br\xe4ndle Matthias,26,Trek - Segafredo,,\u25bc4,4,2018
25,104,,,4.0,23.0,Jungels Bob,27,Quick-Step Floors,,\u25bc4,4,2018
25,61,,,4.0,,Buchmann Emanuel,28,BORA - hansgrohe,,-,4,2018
24,161,,,3.0,,Martin Guillaume,29,Wanty - Groupe Gobert,,-,4,2018
31,22,,,2.0,24.0,Castroviejo Jonathan,30,Team Sky,,\u25bc6,4,2018
34,44,,,1.0,25.0,Bookwalter Brent,31,BMC Racing Team,,\u25bc6,4,2018
33,135,,,45.0,1.0,Impey Daryl,1,Mitchelton-Scott,,-,5,2018
24,62,,,45.0,2.0,Ackermann Pascal,2,BORA - hansgrohe,,-,5,2018
25,101,,,37.0,3.0,Alaphilippe Julian,3,Quick-Step Floors,,-,5,2018
28,24,,,31.0,4.0,Kwiatkowski Michal,4,Team Sky,,-,5,2018
31,11,,,27.0,14.0,Martin Daniel,5,UAE-Team Emirates,,\u25b29,5,2018
32,21,,,22.0,16.0,Thomas Geraint,6,Team Sky,,\u25b210,5,2018
31,171,,,22.0,5.0,Boasson Hagen Edvald,7,Team Dimension Data,,\u25bc2,5,2018
24,71,,,19.0,6.0,Benoot Tiesj,8,Lotto Soudal,,\u25bc2,5,2018
29,74,,,19.0,7.0,Keukeleire Jens,9,Lotto Soudal,,\u25bc2,5,2018
27,36,,,18.0,8.0,Naesen Oliver,10,AG2R La Mondiale,,\u25bc2,5,2018
30,41,,,16.0,13.0,Caruso Damiano,11,BMC Racing Team,,\u25b22,5,2018
27,42,,,16.0,9.0,Bevin Patrick,12,BMC Racing Team,,\u25bc3,5,2018
25,131,,,15.0,25.0,Yates Adam,13,Mitchelton-Scott,,\u25b212,5,2018
27,81,,,14.0,10.0,Herrada Jes\xfas,14,"Cofidis, Solutions Cr\xe9dits",,\u25bc4,5,2018
32,85,,,14.0,11.0,Simon Julien,15,"Cofidis, Solutions Cr\xe9dits",,\u25bc4,5,2018
27,31,,,13.0,18.0,Bardet Romain,16,AG2R La Mondiale,,\u25b22,5,2018
24,25,,,12.0,12.0,Moscon Gianni,17,Team Sky,,\u25bc5,5,2018
25,61,,,12.0,28.0,Buchmann Emanuel,18,BORA - hansgrohe,,\u25b210,5,2018
25,167,,,12.0,15.0,Smith Dion,19,Wanty - Groupe Gobert,,\u25bc4,5,2018
26,165,,,10.0,17.0,Meurisse Xandro,20,Wanty - Groupe Gobert,,\u25bc3,5,2018
26,207,,,8.0,19.0,Skuji\u0146\u0161 Toms,21,Trek - Segafredo,,\u25bc2,5,2018
25,191,,,8.0,20.0,Teunissen Mike,22,Team Sunweb,,\u25bc2,5,2018
26,72,,,8.0,21.0,Campenaerts Victor,23,Lotto Soudal,,\u25bc2,5,2018
24,35,,,6.0,22.0,Latour Pierre,24,AG2R La Mondiale,,\u25bc2,5,2018
34,84,,,6.0,,Navarro Daniel,25,"Cofidis, Solutions Cr\xe9dits",,-,5,2018
25,96,,,6.0,23.0,Roson Jaime,26,Movistar Team,,\u25bc3,5,2018
29,144,,,6.0,24.0,Hardy Romain,27,Team Fortuneo - Samsic,,\u25bc3,5,2018
24,161,,,5.0,29.0,Martin Guillaume,28,Wanty - Groupe Gobert,,\u25b21,5,2018
28,203,,,5.0,26.0,Br\xe4ndle Matthias,29,Trek - Segafredo,,\u25bc3,5,2018
25,104,,,4.0,27.0,Jungels Bob,30,Quick-Step Floors,,\u25bc3,5,2018
28,121,,,3.0,,Zakarin Ilnur,31,Team Katusha - Alpecin,,-,5,2018
31,22,,,2.0,30.0,Castroviejo Jonathan,32,Team Sky,,\u25bc2,5,2018
24,181,,,1.0,,Tolhoek Antwan,33,Team LottoNL-Jumbo,,-,5,2018
34,44,,,1.0,31.0,Bookwalter Brent,34,BMC Racing Team,,\u25bc3,5,2018
33,135,,,45.0,1.0,Impey Daryl,1,Mitchelton-Scott,,-,6,2018
24,62,,,45.0,2.0,Ackermann Pascal,2,BORA - hansgrohe,,-,6,2018
31,11,,,37.0,5.0,Martin Daniel,3,UAE-Team Emirates,,\u25b22,6,2018
25,101,,,37.0,3.0,Alaphilippe Julian,4,Quick-Step Floors,,\u25bc1,6,2018
32,21,,,34.0,6.0,Thomas Geraint,5,Team Sky,,\u25b21,6,2018
28,24,,,31.0,4.0,Kwiatkowski Michal,6,Team Sky,,\u25bc2,6,2018
31,171,,,22.0,7.0,Boasson Hagen Edvald,7,Team Dimension Data,,-,6,2018
25,131,,,21.0,13.0,Yates Adam,8,Mitchelton-Scott,,\u25b25,6,2018
27,31,,,21.0,16.0,Bardet Romain,9,AG2R La Mondiale,,\u25b27,6,2018
24,71,,,19.0,8.0,Benoot Tiesj,10,Lotto Soudal,,\u25bc2,6,2018
29,74,,,19.0,9.0,Keukeleire Jens,11,Lotto Soudal,,\u25bc2,6,2018
27,36,,,18.0,10.0,Naesen Oliver,12,AG2R La Mondiale,,\u25bc2,6,2018
25,61,,,17.0,18.0,Buchmann Emanuel,13,BORA - hansgrohe,,\u25b25,6,2018
30,41,,,16.0,11.0,Caruso Damiano,14,BMC Racing Team,,\u25bc3,6,2018
27,42,,,16.0,12.0,Bevin Patrick,15,BMC Racing Team,,\u25bc3,6,2018
28,1,,,15.0,,Bilbao Pello,16,Astana Pro Team,,-,6,2018
27,81,,,14.0,14.0,Herrada Jes\xfas,17,"Cofidis, Solutions Cr\xe9dits",,\u25bc3,6,2018
32,85,,,14.0,15.0,Simon Julien,18,"Cofidis, Solutions Cr\xe9dits",,\u25bc3,6,2018
24,25,,,12.0,17.0,Moscon Gianni,19,Team Sky,,\u25bc2,6,2018
25,167,,,12.0,19.0,Smith Dion,20,Wanty - Groupe Gobert,,\u25bc1,6,2018
26,165,,,10.0,20.0,Meurisse Xandro,21,Wanty - Groupe Gobert,,\u25bc1,6,2018
24,35,,,9.0,24.0,Latour Pierre,22,AG2R La Mondiale,,\u25b22,6,2018
26,207,,,8.0,21.0,Skuji\u0146\u0161 Toms,23,Trek - Segafredo,,\u25bc2,6,2018
25,191,,,8.0,22.0,Teunissen Mike,24,Team Sunweb,,\u25bc2,6,2018
26,72,,,8.0,23.0,Campenaerts Victor,25,Lotto Soudal,,\u25bc2,6,2018
28,121,,,7.0,31.0,Zakarin Ilnur,26,Team Katusha - Alpecin,,\u25b25,6,2018
34,84,,,6.0,25.0,Navarro Daniel,27,"Cofidis, Solutions Cr\xe9dits",,\u25bc2,6,2018
25,96,,,6.0,26.0,Roson Jaime,28,Movistar Team,,\u25bc2,6,2018
29,144,,,6.0,27.0,Hardy Romain,29,Team Fortuneo - Samsic,,\u25bc2,6,2018
25,161,,,5.0,28.0,Martin Guillaume,30,Wanty - Groupe Gobert,,\u25bc2,6,2018
28,203,,,5.0,29.0,Br\xe4ndle Matthias,31,Trek - Segafredo,,\u25bc2,6,2018
25,104,,,4.0,30.0,Jungels Bob,32,Quick-Step Floors,,\u25bc2,6,2018
23,23,,,2.0,,Geoghegan Hart Tao,33,Team Sky,,-,6,2018
31,22,,,2.0,32.0,Castroviejo Jonathan,34,Team Sky,,\u25bc2,6,2018
24,181,,,1.0,33.0,Tolhoek Antwan,35,Team LottoNL-Jumbo,,\u25bc2,6,2018
25,13,,,1.0,,Conti Valerio,36,UAE-Team Emirates,,-,6,2018
34,44,,,1.0,34.0,Bookwalter Brent,37,BMC Racing Team,,\u25bc3,6,2018
33,135,,,45.0,1.0,Impey Daryl,1,Mitchelton-Scott,,-,7,2018
31,11,,,42.0,3.0,Martin Daniel,2,UAE-Team Emirates,,\u25b21,7,2018
32,21,,,40.0,5.0,Thomas Geraint,3,Team Sky,,\u25b22,7,2018
25,101,,,37.0,4.0,Alaphilippe Julian,4,Quick-Step Floors,,-,7,2018
25,131,,,36.0,8.0,Yates Adam,5,Mitchelton-Scott,,\u25b23,7,2018
28,24,,,31.0,6.0,Kwiatkowski Michal,6,Team Sky,,-,7,2018
27,31,,,31.0,9.0,Bardet Romain,7,AG2R La Mondiale,,\u25b22,7,2018
25,61,,,25.0,13.0,Buchmann Emanuel,8,BORA - hansgrohe,,\u25b25,7,2018
31,171,,,22.0,7.0,Boasson Hagen Edvald,9,Team Dimension Data,,\u25bc2,7,2018
30,41,,,20.0,14.0,Caruso Damiano,10,BMC Racing Team,,\u25b24,7,2018
24,71,,,19.0,10.0,Benoot Tiesj,11,Lotto Soudal,,\u25bc1,7,2018
29,74,,,19.0,11.0,Keukeleire Jens,12,Lotto Soudal,,\u25bc1,7,2018
34,84,,,18.0,27.0,Navarro Daniel,13,"Cofidis, Solutions Cr\xe9dits",,\u25b214,7,2018
27,36,,,18.0,12.0,Naesen Oliver,14,AG2R La Mondiale,,\u25bc2,7,2018
27,42,,,16.0,15.0,Bevin Patrick,15,BMC Racing Team,,-,7,2018
28,1,,,15.0,16.0,Bilbao Pello,16,Astana Pro Team,,-,7,2018
27,81,,,14.0,17.0,Herrada Jes\xfas,17,"Cofidis, Solutions Cr\xe9dits",,-,7,2018
32,85,,,14.0,18.0,Simon Julien,18,"Cofidis, Solutions Cr\xe9dits",,-,7,2018
24,25,,,12.0,19.0,Moscon Gianni,19,Team Sky,,-,7,2018
25,167,,,12.0,20.0,Smith Dion,20,Wanty - Groupe Gobert,,-,7,2018
24,35,,,11.0,22.0,Latour Pierre,21,AG2R La Mondiale,,\u25b21,7,2018
26,165,,,10.0,21.0,Meurisse Xandro,22,Wanty - Groupe Gobert,,\u25bc1,7,2018
25,161,,,8.0,30.0,Martin Guillaume,23,Wanty - Groupe Gobert,,\u25b27,7,2018
26,207,,,8.0,23.0,Skuji\u0146\u0161 Toms,24,Trek - Segafredo,,\u25bc1,7,2018
26,72,,,8.0,25.0,Campenaerts Victor,25,Lotto Soudal,,-,7,2018
25,191,,,8.0,24.0,Teunissen Mike,26,Team Sunweb,,\u25bc2,7,2018
28,121,,,7.0,26.0,Zakarin Ilnur,27,Team Katusha - Alpecin,,\u25bc1,7,2018
25,96,,,6.0,28.0,Roson Jaime,28,Movistar Team,,-,7,2018
29,144,,,6.0,29.0,Hardy Romain,29,Team Fortuneo - Samsic,,-,7,2018
28,203,,,5.0,31.0,Br\xe4ndle Matthias,30,Trek - Segafredo,,\u25b21,7,2018
25,104,,,4.0,32.0,Jungels Bob,31,Quick-Step Floors,,\u25b21,7,2018
23,23,,,2.0,33.0,Geoghegan Hart Tao,32,Team Sky,,\u25b21,7,2018
31,22,,,2.0,34.0,Castroviejo Jonathan,33,Team Sky,,\u25b21,7,2018
31,151,,,1.0,,Rolland Pierre,34,Team EF Education First-Drapac p/b Cannondale,,-,7,2018
24,181,,,1.0,35.0,Tolhoek Antwan,35,Team LottoNL-Jumbo,,-,7,2018
25,13,,,1.0,36.0,Conti Valerio,36,UAE-Team Emirates,,-,7,2018
34,44,,,1.0,37.0,Bookwalter Brent,37,BMC Racing Team,,-,7,2018
