Age,Avg,GC,GC-Time,Pnt,Rider,Rnk,Team,Time,UCI,stage,year
29,46.507,,+0:00,,Vandborg Brian,131,Saxo Bank - Sungard,",, 0:40",,0,2011
32,46.396,,+0:00,,Veuchelen Frederik,132,Vacansoleil - DCM,0:41 0:41,,0,2011
29,46.396,,+0:00,,Vaitkus Tomas,133,Pro Team Astana,",, 0:41",,0,2011
27,46.396,,+0:00,,de Maar Marc,134,Quickstep Cycling Team,",, 0:41",,0,2011
30,46.396,,+0:00,,Longo Borghini Paolo,135,Liquigas - Cannondale,",, 0:41",,0,2011
37,46.396,,+0:00,,McCartney Jason,136,RadioShack,",, 0:41",,0,2011
24,46.286,,+0:00,,Schar Michael,137,BMC Racing Team,0:42 0:42,,0,2011
30,46.286,,+0:00,,Wegmann Fabian,138,Leopard Trek,",, 0:42",,0,2011
25,46.286,,+0:00,,Bole Grega,139,Lampre - ISD,",, 0:42",,0,2011
24,46.286,,+0:00,,Smukulis Gatis,140,HTC - High Road,",, 0:42",,0,2011
34,46.176,,+0:00,,Fofonov Dimitri,141,Pro Team Astana,0:43 0:43,,0,2011
32,46.176,,+0:00,,Perez Francisco,142,Movistar Team,",, 0:43",,0,2011
24,46.176,,+0:00,,Martin Daniel,143,Team Garmin - Cerv\xe9lo,",, 0:43",,0,2011
24,46.176,,+0:00,,Taaram\xe4e Rein,144,Cofidis Le Credit en Ligne,",, 0:43",,0,2011
31,46.066,,+0:00,,Quinziato Manuel,145,BMC Racing Team,0:44 0:44,,0,2011
32,46.066,,+0:00,,Buffaz Mickael,146,Cofidis Le Credit en Ligne,",, 0:44",,0,2011
30,45.957,,+0:00,,Anza Santo,147,Vacansoleil - DCM,0:45 0:45,,0,2011
27,45.957,,+0:00,,Kondrut Vitaliy,148,Lampre - ISD,",, 0:45",,0,2011
34,45.957,,+0:00,,van de Walle Jurgen,149,Omega Pharma-Lotto,",, 0:45",,0,2011
25,45.957,,+0:00,,Simon Julien,150,Saur - Sojasun,",, 0:45",,0,2011
27,45.849,,+0:00,,Trofimov Yuri,151,Team Katusha,0:46 0:46,,0,2011
26,45.849,,+0:00,,Bandiera Marco,152,Quickstep Cycling Team,",, 0:46",,0,2011
24,45.849,,+0:00,,Seeldraeyers Kevin,153,Quickstep Cycling Team,",, 0:46",,0,2011
26,45.849,,+0:00,,Perget Mathieu,154,AG2R La Mondiale,",, 0:46",,0,2011
29,45.849,,+0:00,,Moinard Ama\xebl,155,BMC Racing Team,",, 0:46",,0,2011
30,45.849,,+0:00,,Szeghalmi Balint,156,Lampre - ISD,",, 0:46",,0,2011
30,45.63399999999999,,+0:00,,Lloyd Daniel,157,Team Garmin - Cerv\xe9lo,0:48 0:48,,0,2011
30,45.63399999999999,,+0:00,,Kolobnev Alexandr,158,Team Katusha,",, 0:48",,0,2011
21,45.527,,+0:00,,Landa Mikel,159,Euskaltel - Euskadi,0:49 0:49,,0,2011
28,45.42100000000001,,+0:00,,Siutsou Kanstantsin,160,HTC - High Road,0:50 0:50,,0,2011
31,45.104,,+0:00,,Niemiec Przemyslaw,161,Lampre - ISD,0:53 0:53,,0,2011
35,45.0,,+0:00,,Kroon Karsten,162,BMC Racing Team,0:54 0:54,,0,2011
30,44.896,,+0:00,,Da Dalto Mauro,163,Liquigas - Cannondale,0:55 0:55,,0,2011
37,44.69,,+0:00,,Hinault S\xe9bastien,164,AG2R La Mondiale,0:57 0:57,,0,2011
