Rnk,Rider,Age,Team,GC,GC-Time,Time,Time won/lost,year,stage
17,Piepoli Leonardo,29.0,Ibanesto.com,17,+5:39,5:39 5:39,+5:39,2001,4
18,Plaza David,30.0,Festina,18,+6:17,6:17 6:17,+6:17,2001,4
19,Demarbaix Sebastien,27.0,AG2R Pr\xe9voyance,19,+6:30,6:30 6:30,+6:30,2001,4
20,Gonzalez Arrieta Jose R\xe1mon,34.0,Euskaltel - Euskadi,20,+6:37,6:37 6:37,+6:37,2001,4
21,Oriol Christophe,28.0,Jean Delatour,21,+7:59,7:59 7:59,+7:59,2001,4
22,Del Olmo Jose Maria,,,22,+8:08,8:08 8:08,+8:08,2001,4
23,McRae William Chann,29.0,US Postal Service,23,+8:42,8:42 8:42,+8:42,2001,4
24,Vogondy Nicolas,23.0,La Fran\xe7aise des Jeux,24,+8:48,8:48 8:48,+8:48,2001,4
25,Brard Florent,25.0,Festina,25,+9:44,9:44 9:44,+9:44,2001,4
26,Mikhailov Guennady,27.0,Lotto - Adecco,26,+9:50,9:50 9:50,+9:50,2001,4
27,Julich Bobby,29.0,Cr\xe9dit Agricole,27,+10:14,10:14 10:14,+10:14,2001,4
28,Teteriouk Andrei,33.0,Mercury - Viatel,28,+10:45,10:45 10:45,+10:45,2001,4
29,Roux Laurent,28.0,Jean Delatour,29,+10:57,10:57 10:57,+10:57,2001,4
30,Bruylandts Dave,24.0,Domo - Farm Frites,30,+11:11,11:11 11:11,+11:11,2001,4
31,Jenner Christopher,26.0,Cr\xe9dit Agricole,31,+11:28,11:28 11:28,+11:28,2001,4
32,Botcharov Alexandre,26.0,AG2R Pr\xe9voyance,32,+11:30,11:30 11:30,+11:30,2001,4
33,Kleynen Steven,23.0,Domo - Farm Frites,33,+11:37,11:37 11:37,+11:37,2001,4
34,Bessy Fr\xe9d\xe9ric,29.0,Cr\xe9dit Agricole,34,+11:39,11:39 11:39,+11:39,2001,4
35,Beneteau Walter,28.0,Bonjour,35,+12:29,12:29 12:29,+12:29,2001,4
36,Trentin Guido,25.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",36,+12:42,12:42 12:42,+12:42,2001,4
37,Lino Pascal,34.0,Festina,37,+13:23,13:23 13:23,+13:23,2001,4
38,Halgand Patrice,27.0,Jean Delatour,38,+13:31,13:31 13:31,+13:31,2001,4
39,Turpin Ludovic,26.0,AG2R Pr\xe9voyance,39,+13:32,13:32 13:32,+13:32,2001,4
40,Lelli Massimiliano,33.0,"Cofidis, le Cr\xe9dit par T\xe9l\xe9phone",40,+13:39,13:39 13:39,+13:39,2001,4
41,Flores Iker,24.0,Euskaltel - Euskadi,41,+15:59,15:59 15:59,+15:59,2001,4
42,Maignan Gilles,32.0,AG2R Pr\xe9voyance,42,+17:20,17:20 17:20,+17:20,2001,4
43,Morin Anthony,26.0,Cr\xe9dit Agricole,43,+17:27,17:27 17:27,+17:27,2001,4
44,Axelsson Niklas,29.0,Mercury - Viatel,44,+17:49,17:49 17:49,+17:49,2001,4
45,Landis Floyd,25.0,Mercury - Viatel,45,+17:54,17:54 17:54,+17:54,2001,4
46,Goubert Stephane,31.0,Jean Delatour,46,+19:20,19:20 19:20,+19:20,2001,4
47,Vermaut Steve,25.0,Lotto - Adecco,47,+19:40,19:40 19:40,+19:40,2001,4
