Age,GC,GC-Time,Pnt,Prev,Rider,Rnk,Team,Time,Time won/lost,\u25bc\u25b2,stage,year
28,21,+9:51,18.0,21.0,Casar Sandy,21,Fran\xe7aise des Jeux,9:51 9:51,+0:00,-,7,2007
29,22,+10:21,16.0,22.0,Pereiro Oscar,22,Caisse d'Epargne,10:21 10:21,+0:00,-,7,2007
23,23,+11:49,14.0,23.0,Sanchez Luis Leon,23,Caisse d'Epargne,11:49 11:49,+0:00,-,7,2007
33,24,+12:46,12.0,24.0,Leipheimer Levi,24,Discovery Channel,12:46 12:46,+0:00,-,7,2007
26,25,+13:17,10.0,25.0,Iglinskiy Maxim,25,Astana,13:17 13:17,+0:00,-,7,2007
20,26,+14:46,9.0,26.0,Seeldraeyers Kevin,26,Quickstep - Innergetic,14:46 14:46,+0:00,-,7,2007
32,27,+15:56,8.0,27.0,Botcharov Alexandre,27,Cr\xe9dit Agricole,15:56 15:56,+0:00,-,7,2007
29,28,+17:48,7.0,28.0,Martinez Egoi,28,Discovery Channel,17:48 17:48,+0:00,-,7,2007
26,29,+18:58,6.0,29.0,Vansummeren Johan,29,Predictor - Lotto,18:58 18:58,+0:00,-,7,2007
26,30,+19:11,5.0,30.0,Weening Pieter,30,Rabobank ProTeam,19:11 19:11,+0:00,-,7,2007
22,31,+19:16,5.0,31.0,Redondo Jose Antonio,31,Astana,19:16 19:16,+0:00,-,7,2007
27,32,+19:24,5.0,32.0,Calzati Sylvain,32,AG2R Pr\xe9voyance,19:24 19:24,+0:00,-,7,2007
38,33,+22:10,5.0,33.0,Cuesta \xcd\xf1igo,33,CSC ProTeam,22:10 22:10,+0:00,-,7,2007
22,34,+24:33,5.0,34.0,Jur\u010do Matej,34,Milram,24:33 24:33,+0:00,-,7,2007
27,35,+24:47,5.0,35.0,Kuchynski Aliaksandr,35,Liquigas,24:47 24:47,+0:00,-,7,2007
33,36,+24:55,5.0,36.0,Rinero Christophe,36,Saunier Duval,24:55 24:55,+0:00,-,7,2007
24,37,+24:58,5.0,37.0,Anton Igor,37,Euskaltel - Euskadi,24:58 24:58,+0:00,-,7,2007
28,38,+25:31,5.0,38.0,Charteau Anthony,38,Cr\xe9dit Agricole,25:31 25:31,+0:00,-,7,2007
27,39,+25:40,5.0,39.0,Voeckler Thomas,39,Bouygues Telecom,25:40 25:40,+0:00,-,7,2007
27,40,+27:32,5.0,40.0,Paulinho S\xe9rgio,40,Discovery Channel,27:32 27:32,+0:00,-,7,2007
23,41,+27:48,5.0,41.0,Rabon Frantisek,41,T-Mobile Team,27:48 27:48,+0:00,-,7,2007
37,42,+28:17,5.0,42.0,Goubert Stephane,42,AG2R Pr\xe9voyance,28:17 28:17,+0:00,-,7,2007
25,43,+28:19,5.0,43.0,Fothen Markus,43,Gerolsteiner,28:19 28:19,+0:00,-,7,2007
24,44,+28:25,5.0,44.0,Gilbert Philippe,44,Fran\xe7aise des Jeux,28:25 28:25,+0:00,-,7,2007
27,45,+28:30,5.0,45.0,Duque Leonardo,45,Cofidis,28:30 28:30,+0:00,-,7,2007
29,46,+29:14,5.0,46.0,Colom Antonio,46,Astana,29:14 29:14,+0:00,-,7,2007
27,47,+31:05,5.0,47.0,Pineau J\xe9rome,47,Bouygues Telecom,31:05 31:05,+0:00,-,7,2007
31,48,+31:22,5.0,48.0,Trentin Guido,48,Saunier Duval,31:22 31:22,+0:00,-,7,2007
26,49,+31:54,5.0,49.0,Wegmann Fabian,49,Gerolsteiner,31:54 31:54,+0:00,-,7,2007
32,50,+32:43,5.0,50.0,S\xf8rensen Nicki,50,CSC ProTeam,32:43 32:43,+0:00,-,7,2007
31,51,+33:01,5.0,51.0,Niermann Grischa,51,Rabobank ProTeam,33:01 33:01,+0:00,-,7,2007
26,52,+33:44,5.0,52.0,Gomez Gomez Angel,52,Saunier Duval,33:44 33:44,+0:00,-,7,2007
28,53,+34:16,5.0,53.0,Davis Scott,53,T-Mobile Team,34:16 34:16,+0:00,-,7,2007
30,54,+36:08,5.0,54.0,Millar David,54,Saunier Duval,36:08 36:08,+0:00,-,7,2007
28,55,+37:04,5.0,55.0,Verdugo Gorka,55,Euskaltel - Euskadi,37:04 37:04,+0:00,-,7,2007
36,56,+38:26,5.0,56.0,Arrieta Jose Luis,56,AG2R Pr\xe9voyance,38:26 38:26,+0:00,-,7,2007
30,57,+39:17,5.0,57.0,Lefevre Laurent,57,Bouygues Telecom,39:17 39:17,+0:00,-,7,2007
30,58,+39:21,5.0,58.0,Landaluze Inigo,58,Euskaltel - Euskadi,39:21 39:21,+0:00,-,7,2007
36,59,+40:51,5.0,59.0,Vasseur C\xe9dric,59,Quickstep - Innergetic,40:51 40:51,+0:00,-,7,2007
28,60,+42:16,5.0,60.0,Cama\xf1o Iker,60,Saunier Duval,42:16 42:16,+0:00,-,7,2007
24,61,+42:51,5.0,61.0,Clement Stef,61,Bouygues Telecom,42:51 42:51,+0:00,-,7,2007
32,62,+44:22,5.0,62.0,Verbrugghe Rik,62,Cofidis,44:22 44:22,+0:00,-,7,2007
28,63,+44:45,5.0,63.0,Noval Benjamin,63,Discovery Channel,44:45 44:45,+0:00,-,7,2007
27,64,+45:11,5.0,64.0,Joly S\xe9bastien,64,Fran\xe7aise des Jeux,45:11 45:11,+0:00,-,7,2007
27,65,+46:51,5.0,65.0,Willems Frederik,65,Liquigas,46:51 46:51,+0:00,-,7,2007
27,66,+47:18,5.0,66.0,Quinziato Manuel,66,Liquigas,47:18 47:18,+0:00,-,7,2007
31,67,+49:20,5.0,67.0,Vande Velde Christian,67,CSC ProTeam,49:20 49:20,+0:00,-,7,2007
26,68,+50:18,5.0,68.0,Mugerli Matej,68,Liquigas,50:18 50:18,+0:00,-,7,2007
22,69,+50:20,5.0,69.0,Possoni Morris,69,Lampre-Fondital,50:20 50:20,+0:00,-,7,2007
